,x,y,z,v
0,16.5,32.5,1.5,-6.03052136095
1,16.5,33.125,1.5,-6.05330541945
2,16.5,33.75,1.5,0.0
3,16.5,34.375,1.5,0.0
4,16.5,35.0,1.5,0.0
5,16.5,35.625,1.5,0.0
6,16.5,36.25,1.5,0.0
7,16.5,36.875,1.5,0.0
8,16.5,37.5,1.5,0.0
9,16.5,38.125,1.5,0.0
10,16.5,38.75,1.5,0.0
11,16.5,39.375,1.5,0.0
12,16.5,40.0,1.5,0.0
13,16.5,40.625,1.5,0.0
14,16.5,41.25,1.5,0.0
15,16.5,41.875,1.5,0.0
16,16.5,42.5,1.5,0.0
17,16.5,43.125,1.5,0.0
18,16.5,43.75,1.5,0.0
19,16.5,44.375,1.5,0.0
20,16.5,45.0,1.5,0.0
21,16.5,45.625,1.5,0.0
22,16.5,46.25,1.5,0.0
23,16.5,46.875,1.5,0.0
24,16.5,47.5,1.5,0.0
25,17.125,32.5,1.5,-6.03559797779
26,17.125,33.125,1.5,-6.05903756177
27,17.125,33.75,1.5,0.0
28,17.125,34.375,1.5,0.0
29,17.125,35.0,1.5,0.0
30,17.125,35.625,1.5,0.0
31,17.125,36.25,1.5,0.0
32,17.125,36.875,1.5,0.0
33,17.125,37.5,1.5,0.0
34,17.125,38.125,1.5,0.0
35,17.125,38.75,1.5,0.0
36,17.125,39.375,1.5,0.0
37,17.125,40.0,1.5,0.0
38,17.125,40.625,1.5,0.0
39,17.125,41.25,1.5,0.0
40,17.125,41.875,1.5,0.0
41,17.125,42.5,1.5,0.0
42,17.125,43.125,1.5,0.0
43,17.125,43.75,1.5,0.0
44,17.125,44.375,1.5,0.0
45,17.125,45.0,1.5,0.0
46,17.125,45.625,1.5,0.0
47,17.125,46.25,1.5,0.0
48,17.125,46.875,1.5,0.0
49,17.125,47.5,1.5,0.0
50,17.75,32.5,1.5,0.0
51,17.75,33.125,1.5,0.0
52,17.75,33.75,1.5,0.0
53,17.75,34.375,1.5,0.0
54,17.75,35.0,1.5,0.0
55,17.75,35.625,1.5,0.0
56,17.75,36.25,1.5,0.0
57,17.75,36.875,1.5,0.0
58,17.75,37.5,1.5,0.0
59,17.75,38.125,1.5,0.0
60,17.75,38.75,1.5,0.0
61,17.75,39.375,1.5,0.0
62,17.75,40.0,1.5,0.0
63,17.75,40.625,1.5,0.0
64,17.75,41.25,1.5,0.0
65,17.75,41.875,1.5,0.0
66,17.75,42.5,1.5,0.0
67,17.75,43.125,1.5,0.0
68,17.75,43.75,1.5,0.0
69,17.75,44.375,1.5,0.0
70,17.75,45.0,1.5,0.0
71,17.75,45.625,1.5,0.0
72,17.75,46.25,1.5,0.0
73,17.75,46.875,1.5,0.0
74,17.75,47.5,1.5,0.0
75,18.375,32.5,1.5,0.0
76,18.375,33.125,1.5,0.0
77,18.375,33.75,1.5,0.0
78,18.375,34.375,1.5,0.0
79,18.375,35.0,1.5,0.0
80,18.375,35.625,1.5,0.0
81,18.375,36.25,1.5,0.0
82,18.375,36.875,1.5,0.0
83,18.375,37.5,1.5,0.0
84,18.375,38.125,1.5,0.0
85,18.375,38.75,1.5,0.0
86,18.375,39.375,1.5,0.0
87,18.375,40.0,1.5,0.0
88,18.375,40.625,1.5,0.0
89,18.375,41.25,1.5,0.0
90,18.375,41.875,1.5,0.0
91,18.375,42.5,1.5,0.0
92,18.375,43.125,1.5,0.0
93,18.375,43.75,1.5,0.0
94,18.375,44.375,1.5,0.0
95,18.375,45.0,1.5,0.0
96,18.375,45.625,1.5,0.0
97,18.375,46.25,1.5,0.0
98,18.375,46.875,1.5,0.0
99,18.375,47.5,1.5,0.0
100,19.0,32.5,1.5,0.0
101,19.0,33.125,1.5,0.0
102,19.0,33.75,1.5,0.0
103,19.0,34.375,1.5,0.0
104,19.0,35.0,1.5,0.0
105,19.0,35.625,1.5,0.0
106,19.0,36.25,1.5,0.0
107,19.0,36.875,1.5,0.0
108,19.0,37.5,1.5,0.0
109,19.0,38.125,1.5,0.0
110,19.0,38.75,1.5,0.0
111,19.0,39.375,1.5,0.0
112,19.0,40.0,1.5,0.0
113,19.0,40.625,1.5,0.0
114,19.0,41.25,1.5,0.0
115,19.0,41.875,1.5,0.0
116,19.0,42.5,1.5,0.0
117,19.0,43.125,1.5,0.0
118,19.0,43.75,1.5,0.0
119,19.0,44.375,1.5,0.0
120,19.0,45.0,1.5,0.0
121,19.0,45.625,1.5,0.0
122,19.0,46.25,1.5,0.0
123,19.0,46.875,1.5,0.0
124,19.0,47.5,1.5,0.0
125,19.625,32.5,1.5,0.0
126,19.625,33.125,1.5,0.0
127,19.625,33.75,1.5,0.0
128,19.625,34.375,1.5,0.0
129,19.625,35.0,1.5,0.0
130,19.625,35.625,1.5,0.0
131,19.625,36.25,1.5,0.0
132,19.625,36.875,1.5,0.0
133,19.625,37.5,1.5,0.0
134,19.625,38.125,1.5,0.0
135,19.625,38.75,1.5,0.0
136,19.625,39.375,1.5,0.0
137,19.625,40.0,1.5,0.0
138,19.625,40.625,1.5,0.0
139,19.625,41.25,1.5,0.0
140,19.625,41.875,1.5,0.0
141,19.625,42.5,1.5,0.0
142,19.625,43.125,1.5,0.0
143,19.625,43.75,1.5,0.0
144,19.625,44.375,1.5,0.0
145,19.625,45.0,1.5,0.0
146,19.625,45.625,1.5,0.0
147,19.625,46.25,1.5,0.0
148,19.625,46.875,1.5,0.0
149,19.625,47.5,1.5,0.0
150,20.25,32.5,1.5,0.0
151,20.25,33.125,1.5,0.0
152,20.25,33.75,1.5,0.0
153,20.25,34.375,1.5,0.0
154,20.25,35.0,1.5,0.0
155,20.25,35.625,1.5,0.0
156,20.25,36.25,1.5,0.0
157,20.25,36.875,1.5,0.0
158,20.25,37.5,1.5,0.0
159,20.25,38.125,1.5,0.0
160,20.25,38.75,1.5,0.0
161,20.25,39.375,1.5,0.0
162,20.25,40.0,1.5,0.0
163,20.25,40.625,1.5,0.0
164,20.25,41.25,1.5,0.0
165,20.25,41.875,1.5,0.0
166,20.25,42.5,1.5,0.0
167,20.25,43.125,1.5,0.0
168,20.25,43.75,1.5,0.0
169,20.25,44.375,1.5,0.0
170,20.25,45.0,1.5,0.0
171,20.25,45.625,1.5,0.0
172,20.25,46.25,1.5,0.0
173,20.25,46.875,1.5,0.0
174,20.25,47.5,1.5,0.0
175,20.875,32.5,1.5,0.0
176,20.875,33.125,1.5,0.0
177,20.875,33.75,1.5,0.0
178,20.875,34.375,1.5,0.0
179,20.875,35.0,1.5,0.0
180,20.875,35.625,1.5,0.0
181,20.875,36.25,1.5,0.0
182,20.875,36.875,1.5,0.0
183,20.875,37.5,1.5,0.0
184,20.875,38.125,1.5,0.0
185,20.875,38.75,1.5,0.0
186,20.875,39.375,1.5,0.0
187,20.875,40.0,1.5,0.0
188,20.875,40.625,1.5,0.0
189,20.875,41.25,1.5,0.0
190,20.875,41.875,1.5,0.0
191,20.875,42.5,1.5,0.0
192,20.875,43.125,1.5,0.0
193,20.875,43.75,1.5,0.0
194,20.875,44.375,1.5,0.0
195,20.875,45.0,1.5,0.0
196,20.875,45.625,1.5,0.0
197,20.875,46.25,1.5,0.0
198,20.875,46.875,1.5,0.0
199,20.875,47.5,1.5,0.0
200,21.5,32.5,1.5,0.0
201,21.5,33.125,1.5,0.0
202,21.5,33.75,1.5,0.0
203,21.5,34.375,1.5,0.0
204,21.5,35.0,1.5,0.0
205,21.5,35.625,1.5,0.0
206,21.5,36.25,1.5,0.0
207,21.5,36.875,1.5,0.0
208,21.5,37.5,1.5,0.0
209,21.5,38.125,1.5,0.0
210,21.5,38.75,1.5,0.0
211,21.5,39.375,1.5,0.0
212,21.5,40.0,1.5,0.0
213,21.5,40.625,1.5,0.0
214,21.5,41.25,1.5,0.0
215,21.5,41.875,1.5,0.0
216,21.5,42.5,1.5,0.0
217,21.5,43.125,1.5,0.0
218,21.5,43.75,1.5,0.0
219,21.5,44.375,1.5,0.0
220,21.5,45.0,1.5,0.0
221,21.5,45.625,1.5,0.0
222,21.5,46.25,1.5,0.0
223,21.5,46.875,1.5,0.0
224,21.5,47.5,1.5,0.0
225,22.125,32.5,1.5,0.0
226,22.125,33.125,1.5,0.0
227,22.125,33.75,1.5,0.0
228,22.125,34.375,1.5,0.0
229,22.125,35.0,1.5,0.0
230,22.125,35.625,1.5,0.0
231,22.125,36.25,1.5,0.0
232,22.125,36.875,1.5,0.0
233,22.125,37.5,1.5,0.0
234,22.125,42.5,1.5,0.0
235,22.125,43.125,1.5,0.0
236,22.125,43.75,1.5,0.0
237,22.125,44.375,1.5,0.0
238,22.125,45.0,1.5,0.0
239,22.125,45.625,1.5,0.0
240,22.125,46.25,1.5,0.0
241,22.125,46.875,1.5,0.0
242,22.125,47.5,1.5,0.0
243,22.75,32.5,1.5,0.0
244,22.75,33.125,1.5,0.0
245,22.75,33.75,1.5,0.0
246,22.75,34.375,1.5,0.0
247,22.75,35.0,1.5,0.0
248,22.75,35.625,1.5,0.0
249,22.75,36.25,1.5,0.0
250,22.75,36.875,1.5,0.0
251,22.75,37.5,1.5,0.0
252,22.75,42.5,1.5,0.0
253,22.75,43.125,1.5,0.0
254,22.75,43.75,1.5,0.0
255,22.75,44.375,1.5,0.0
256,22.75,45.0,1.5,0.0
257,22.75,45.625,1.5,0.0
258,22.75,46.25,1.5,0.0
259,22.75,46.875,1.5,0.0
260,22.75,47.5,1.5,0.0
261,23.375,32.5,1.5,0.0
262,23.375,33.125,1.5,0.0
263,23.375,33.75,1.5,0.0
264,23.375,34.375,1.5,0.0
265,23.375,35.0,1.5,0.0
266,23.375,35.625,1.5,0.0
267,23.375,36.25,1.5,0.0
268,23.375,36.875,1.5,0.0
269,23.375,37.5,1.5,0.0
270,23.375,42.5,1.5,0.0
271,23.375,43.125,1.5,0.0
272,23.375,43.75,1.5,0.0
273,23.375,44.375,1.5,0.0
274,23.375,45.0,1.5,0.0
275,23.375,45.625,1.5,0.0
276,23.375,46.25,1.5,0.0
277,23.375,46.875,1.5,0.0
278,23.375,47.5,1.5,0.0
279,24.0,32.5,1.5,0.0
280,24.0,33.125,1.5,0.0
281,24.0,33.75,1.5,0.0
282,24.0,34.375,1.5,0.0
283,24.0,35.0,1.5,0.0
284,24.0,35.625,1.5,0.0
285,24.0,36.25,1.5,0.0
286,24.0,36.875,1.5,0.0
287,24.0,37.5,1.5,0.0
288,24.0,42.5,1.5,0.0
289,24.0,43.125,1.5,0.0
290,24.0,43.75,1.5,0.0
291,24.0,44.375,1.5,0.0
292,24.0,45.0,1.5,0.0
293,24.0,45.625,1.5,0.0
294,24.0,46.25,1.5,0.0
295,24.0,46.875,1.5,0.0
296,24.0,47.5,1.5,0.0
297,24.625,32.5,1.5,0.0
298,24.625,33.125,1.5,0.0
299,24.625,33.75,1.5,0.0
300,24.625,34.375,1.5,0.0
301,24.625,35.0,1.5,0.0
302,24.625,35.625,1.5,0.0
303,24.625,36.25,1.5,0.0
304,24.625,36.875,1.5,0.0
305,24.625,37.5,1.5,0.0
306,24.625,42.5,1.5,0.0
307,24.625,43.125,1.5,0.0
308,24.625,43.75,1.5,0.0
309,24.625,44.375,1.5,0.0
310,24.625,45.0,1.5,0.0
311,24.625,45.625,1.5,0.0
312,24.625,46.25,1.5,0.0
313,24.625,46.875,1.5,0.0
314,24.625,47.5,1.5,0.0
315,25.25,32.5,1.5,0.0
316,25.25,33.125,1.5,0.0
317,25.25,33.75,1.5,0.0
318,25.25,34.375,1.5,0.0
319,25.25,35.0,1.5,0.0
320,25.25,35.625,1.5,0.0
321,25.25,36.25,1.5,0.0
322,25.25,36.875,1.5,0.0
323,25.25,37.5,1.5,0.0
324,25.25,42.5,1.5,0.0
325,25.25,43.125,1.5,0.0
326,25.25,43.75,1.5,0.0
327,25.25,44.375,1.5,0.0
328,25.25,45.0,1.5,0.0
329,25.25,45.625,1.5,0.0
330,25.25,46.25,1.5,0.0
331,25.25,46.875,1.5,0.0
332,25.25,47.5,1.5,0.0
333,25.875,32.5,1.5,0.0
334,25.875,33.125,1.5,0.0
335,25.875,33.75,1.5,0.0
336,25.875,34.375,1.5,0.0
337,25.875,35.0,1.5,0.0
338,25.875,35.625,1.5,0.0
339,25.875,36.25,1.5,0.0
340,25.875,36.875,1.5,0.0
341,25.875,37.5,1.5,0.0
342,25.875,42.5,1.5,0.0
343,25.875,43.125,1.5,0.0
344,25.875,43.75,1.5,0.0
345,25.875,44.375,1.5,0.0
346,25.875,45.0,1.5,0.0
347,25.875,45.625,1.5,0.0
348,25.875,46.25,1.5,0.0
349,25.875,46.875,1.5,0.0
350,25.875,47.5,1.5,0.0
351,26.5,32.5,1.5,0.0
352,26.5,33.125,1.5,0.0
353,26.5,33.75,1.5,0.0
354,26.5,34.375,1.5,0.0
355,26.5,35.0,1.5,0.0
356,26.5,35.625,1.5,0.0
357,26.5,36.25,1.5,0.0
358,26.5,36.875,1.5,0.0
359,26.5,37.5,1.5,0.0
360,26.5,38.125,1.5,0.0
361,26.5,38.75,1.5,0.0
362,26.5,39.375,1.5,0.0
363,26.5,40.0,1.5,0.0
364,26.5,40.625,1.5,0.0
365,26.5,41.25,1.5,0.0
366,26.5,41.875,1.5,0.0
367,26.5,42.5,1.5,0.0
368,26.5,43.125,1.5,0.0
369,26.5,43.75,1.5,0.0
370,26.5,44.375,1.5,0.0
371,26.5,45.0,1.5,0.0
372,26.5,45.625,1.5,0.0
373,26.5,46.25,1.5,0.0
374,26.5,46.875,1.5,0.0
375,26.5,47.5,1.5,0.0
376,27.125,32.5,1.5,0.0
377,27.125,33.125,1.5,0.0
378,27.125,33.75,1.5,0.0
379,27.125,34.375,1.5,0.0
380,27.125,35.0,1.5,0.0
381,27.125,35.625,1.5,0.0
382,27.125,36.25,1.5,0.0
383,27.125,36.875,1.5,0.0
384,27.125,37.5,1.5,0.0
385,27.125,38.125,1.5,0.0
386,27.125,38.75,1.5,0.0
387,27.125,39.375,1.5,0.0
388,27.125,40.0,1.5,0.0
389,27.125,40.625,1.5,0.0
390,27.125,41.25,1.5,0.0
391,27.125,41.875,1.5,0.0
392,27.125,42.5,1.5,0.0
393,27.125,43.125,1.5,0.0
394,27.125,43.75,1.5,0.0
395,27.125,44.375,1.5,0.0
396,27.125,45.0,1.5,0.0
397,27.125,45.625,1.5,0.0
398,27.125,46.25,1.5,0.0
399,27.125,46.875,1.5,0.0
400,27.125,47.5,1.5,0.0
401,27.75,32.5,1.5,0.0
402,27.75,33.125,1.5,0.0
403,27.75,33.75,1.5,0.0
404,27.75,34.375,1.5,0.0
405,27.75,35.0,1.5,0.0
406,27.75,35.625,1.5,0.0
407,27.75,36.25,1.5,0.0
408,27.75,36.875,1.5,0.0
409,27.75,37.5,1.5,0.0
410,27.75,38.125,1.5,0.0
411,27.75,38.75,1.5,0.0
412,27.75,39.375,1.5,0.0
413,27.75,40.0,1.5,0.0
414,27.75,40.625,1.5,0.0
415,27.75,41.25,1.5,0.0
416,27.75,41.875,1.5,0.0
417,27.75,42.5,1.5,0.0
418,27.75,43.125,1.5,0.0
419,27.75,43.75,1.5,0.0
420,27.75,44.375,1.5,0.0
421,27.75,45.0,1.5,0.0
422,27.75,45.625,1.5,0.0
423,27.75,46.25,1.5,0.0
424,27.75,46.875,1.5,0.0
425,27.75,47.5,1.5,0.0
426,28.375,32.5,1.5,0.0
427,28.375,33.125,1.5,0.0
428,28.375,33.75,1.5,0.0
429,28.375,34.375,1.5,0.0
430,28.375,35.0,1.5,0.0
431,28.375,35.625,1.5,0.0
432,28.375,36.25,1.5,0.0
433,28.375,36.875,1.5,0.0
434,28.375,37.5,1.5,0.0
435,28.375,38.125,1.5,0.0
436,28.375,38.75,1.5,0.0
437,28.375,39.375,1.5,0.0
438,28.375,40.0,1.5,0.0
439,28.375,40.625,1.5,0.0
440,28.375,41.25,1.5,0.0
441,28.375,41.875,1.5,0.0
442,28.375,42.5,1.5,0.0
443,28.375,43.125,1.5,0.0
444,28.375,43.75,1.5,0.0
445,28.375,44.375,1.5,0.0
446,28.375,45.0,1.5,0.0
447,28.375,45.625,1.5,0.0
448,28.375,46.25,1.5,0.0
449,28.375,46.875,1.5,0.0
450,28.375,47.5,1.5,0.0
451,29.0,32.5,1.5,0.0
452,29.0,33.125,1.5,0.0
453,29.0,33.75,1.5,0.0
454,29.0,34.375,1.5,0.0
455,29.0,35.0,1.5,0.0
456,29.0,35.625,1.5,0.0
457,29.0,36.25,1.5,0.0
458,29.0,36.875,1.5,0.0
459,29.0,37.5,1.5,0.0
460,29.0,38.125,1.5,0.0
461,29.0,38.75,1.5,0.0
462,29.0,39.375,1.5,0.0
463,29.0,40.0,1.5,0.0
464,29.0,40.625,1.5,0.0
465,29.0,41.25,1.5,0.0
