,hour,x,y,z,flux,temp,refl,0
1,12.0,27.0,27.0,0.0,121.5782,318.1879,64.9812,ground
2,12.0,28.0,27.0,0.0,121.4914,318.1788,64.9329,ground
3,12.0,29.0,27.0,0.0,121.3497,318.164,64.8376,ground
4,12.0,30.0,27.0,0.0,121.1802,318.1463,64.7197,ground
5,12.0,31.0,27.0,0.0,120.9873,318.1261,64.5721,ground
6,12.0,32.0,27.0,0.0,120.8132,318.1079,64.4274,ground
7,12.0,33.0,27.0,0.0,120.6306,318.0888,64.2527,ground
8,12.0,34.0,27.0,0.0,120.4829,318.0733,64.0977,ground
9,12.0,35.0,27.0,0.0,120.5137,318.0766,64.0954,ground
10,12.0,36.0,27.0,0.0,120.712,318.0973,64.2473,ground
11,12.0,37.0,27.0,0.0,120.9333,318.1205,64.4132,ground
12,12.0,38.0,27.0,0.0,121.1206,318.14,64.545,ground
13,12.0,39.0,27.0,0.0,121.3033,318.1591,64.6878,ground
14,12.0,40.0,27.0,0.0,121.4394,318.1734,64.8098,ground
15,12.0,41.0,27.0,0.0,121.5479,318.1847,64.9135,ground
16,12.0,42.0,27.0,0.0,121.5974,318.1899,64.9736,ground
17,12.0,27.0,28.0,0.0,121.5094,318.1807,64.9319,ground
18,12.0,28.0,28.0,0.0,121.409,318.1702,64.8772,ground
19,12.0,29.0,28.0,0.0,121.2255,318.1511,64.7563,ground
20,12.0,30.0,28.0,0.0,120.9774,318.1251,64.5795,ground
21,12.0,31.0,28.0,0.0,120.7099,318.0971,64.383,ground
22,12.0,32.0,28.0,0.0,120.4562,318.0706,64.1774,ground
23,12.0,33.0,28.0,0.0,120.1781,318.0414,63.9183,ground
24,12.0,34.0,28.0,0.0,119.9497,318.0176,63.6823,ground
25,12.0,35.0,28.0,0.0,119.9965,318.0224,63.6762,ground
26,12.0,36.0,28.0,0.0,120.2977,318.054,63.9044,ground
27,12.0,37.0,28.0,0.0,120.6209,318.0878,64.1498,ground
28,12.0,38.0,28.0,0.0,120.8819,318.1151,64.3407,ground
29,12.0,39.0,28.0,0.0,121.1186,318.1398,64.5357,ground
30,12.0,40.0,28.0,0.0,121.3277,318.1617,64.7191,ground
31,12.0,41.0,28.0,0.0,121.4709,318.1767,64.8523,ground
32,12.0,42.0,28.0,0.0,121.5307,318.1829,64.9222,ground
33,12.0,27.0,29.0,0.0,121.4072,318.17,64.8427,ground
34,12.0,28.0,29.0,0.0,121.2682,318.1555,64.7663,ground
35,12.0,29.0,29.0,0.0,121.0144,318.129,64.6023,ground
36,12.0,30.0,29.0,0.0,120.6319,318.089,64.3383,ground
37,12.0,31.0,29.0,0.0,120.1766,318.0413,64.0125,ground
38,12.0,32.0,29.0,0.0,119.7217,317.9937,63.6515,ground
39,12.0,33.0,29.0,0.0,119.1881,317.9378,63.1684,ground
40,12.0,34.0,29.0,0.0,118.7644,317.8935,62.7302,ground
41,12.0,35.0,29.0,0.0,118.8609,317.9036,62.7148,ground
42,12.0,36.0,29.0,0.0,119.4195,317.9621,63.1332,ground
43,12.0,37.0,29.0,0.0,120.0019,318.023,63.5945,ground
44,12.0,38.0,29.0,0.0,120.4374,318.0685,63.9366,ground
45,12.0,39.0,29.0,0.0,120.8287,318.1095,64.266,ground
46,12.0,40.0,29.0,0.0,121.1493,318.143,64.5443,ground
47,12.0,41.0,29.0,0.0,121.3458,318.1636,64.7293,ground
48,12.0,42.0,29.0,0.0,121.4328,318.1727,64.8293,ground
49,12.0,27.0,30.0,0.0,121.2979,318.1586,64.7393,ground
50,12.0,28.0,30.0,0.0,121.0912,318.137,64.6142,ground
51,12.0,29.0,30.0,0.0,120.7168,318.0979,64.3723,ground
52,12.0,30.0,30.0,0.0,120.1262,318.0361,63.9739,ground
53,12.0,31.0,30.0,0.0,119.3297,317.9528,63.4277,ground
54,12.0,32.0,30.0,0.0,118.4482,317.8604,62.775,ground
55,12.0,33.0,30.0,0.0,117.317,317.7419,61.7871,ground
56,12.0,34.0,30.0,0.0,116.5197,317.6584,60.916,ground
57,12.0,35.0,30.0,0.0,116.7391,317.6814,60.8781,ground
