,x,y,z,v
0,12.5,24.5,1.5,34.4026995434
1,12.5,24.75,1.5,34.3881153297
2,12.5,25.0,1.5,34.3884561152
3,12.5,25.25,1.5,34.3743344213
4,12.5,25.5,1.5,34.3934269755
5,12.5,25.75,1.5,34.4418839968
6,12.5,26.0,1.5,34.5179716211
7,12.5,26.25,1.5,34.6381348804
8,12.5,26.5,1.5,34.7566949712
9,12.5,26.75,1.5,34.8710888981
10,12.5,27.0,1.5,34.9441143778
11,12.5,27.25,1.5,34.9683752565
12,12.5,27.5,1.5,34.9494165762
13,12.5,27.75,1.5,34.8621372824
14,12.5,28.0,1.5,34.7920716465
15,12.5,28.25,1.5,34.7168873972
16,12.5,28.5,1.5,34.6422038445
17,12.5,28.75,1.5,34.5374873132
18,12.5,29.0,1.5,34.479312951
19,12.5,29.25,1.5,34.4304707945
20,12.5,29.5,1.5,34.3909571896
21,12.5,29.75,1.5,34.35966525
22,12.5,30.0,1.5,34.3356420542
23,12.5,30.25,1.5,34.3183059913
24,12.5,30.5,1.5,34.3058813048
25,12.5,30.75,1.5,34.298001066
26,12.5,31.0,1.5,34.2938849067
27,12.5,31.25,1.5,34.2937496653
28,12.5,31.5,1.5,34.2960314781
29,12.5,31.75,1.5,34.2978016618
30,12.5,32.0,1.5,34.2975228499
31,12.5,32.25,1.5,34.2935869841
32,12.5,32.5,1.5,34.2798285039
33,12.5,32.75,1.5,34.2633538429
34,12.5,33.0,1.5,34.2422614983
35,12.5,33.25,1.5,34.2206773129
36,12.5,33.5,1.5,34.2048220097
37,12.5,33.75,1.5,34.2091237309
38,12.5,34.0,1.5,34.2357820436
39,12.5,34.25,1.5,34.2850389721
40,12.5,34.5,1.5,34.3333229714
41,12.5,34.75,1.5,34.3860784637
42,12.5,35.0,1.5,34.4421140162
43,12.5,35.25,1.5,34.4612181345
44,12.5,35.5,1.5,34.4683089269
45,12.75,24.5,1.5,34.2910101937
46,12.75,24.75,1.5,34.270340353
47,12.75,25.0,1.5,34.2657887853
48,12.75,25.25,1.5,34.2360566448
49,12.75,25.5,1.5,34.2484116273
50,12.75,25.75,1.5,34.291578692
51,12.75,26.0,1.5,34.3694086053
52,12.75,26.25,1.5,34.4956441332
53,12.75,26.5,1.5,34.6172044501
54,12.75,26.75,1.5,34.7333361798
55,12.75,27.0,1.5,34.8004208688
56,12.75,27.25,1.5,34.8164332916
57,12.75,27.5,1.5,34.7921684345
58,12.75,27.75,1.5,34.7079533838
59,12.75,28.0,1.5,34.6437253858
60,12.75,28.25,1.5,34.5773610338
61,12.75,28.5,1.5,34.5132793502
62,12.75,28.75,1.5,34.4257081037
63,12.75,29.0,1.5,34.3785457983
64,12.75,29.25,1.5,34.339928178
65,12.75,29.5,1.5,34.3093385217
66,12.75,29.75,1.5,34.2857472236
67,12.75,30.0,1.5,34.2682181077
68,12.75,30.25,1.5,34.256218572
69,12.75,30.5,1.5,34.2484025293
70,12.75,30.75,1.5,34.2444949465
71,12.75,31.0,1.5,34.2432520436
72,12.75,31.25,1.5,34.2449918616
73,12.75,31.5,1.5,34.2483809848
74,12.75,31.75,1.5,34.2499927264
75,12.75,32.0,1.5,34.249836446
76,12.75,32.25,1.5,34.245550837
77,12.75,32.5,1.5,34.2319125072
78,12.75,32.75,1.5,34.2160620086
79,12.75,33.0,1.5,34.19472147
80,12.75,33.25,1.5,34.1711774455
81,12.75,33.5,1.5,34.1514795687
82,12.75,33.75,1.5,34.1529976144
83,12.75,34.0,1.5,34.178832362
84,12.75,34.25,1.5,34.228004575
85,12.75,34.5,1.5,34.2778473047
86,12.75,34.75,1.5,34.3297238053
87,12.75,35.0,1.5,34.3735786094
88,12.75,35.25,1.5,34.3887302993
89,12.75,35.5,1.5,34.3909934065
90,13.0,24.5,1.5,34.1154474601
91,13.0,24.75,1.5,34.0872712973
92,13.0,25.0,1.5,34.0763585369
93,13.0,25.25,1.5,34.0254169152
94,13.0,25.5,1.5,34.0302665409
95,13.0,25.75,1.5,34.0657556819
96,13.0,26.0,1.5,34.1493992736
97,13.0,26.25,1.5,34.2863958967
98,13.0,26.5,1.5,34.4135095994
99,13.0,26.75,1.5,34.5350131861
100,13.0,27.0,1.5,34.5945115605
101,13.0,27.25,1.5,34.6021694287
102,13.0,27.5,1.5,34.5751586125
103,13.0,27.75,1.5,34.5012015577
104,13.0,28.0,1.5,34.4480864645
105,13.0,28.25,1.5,34.3955770519
106,13.0,28.5,1.5,34.3467731961
107,13.0,28.75,1.5,34.282319054
108,13.0,29.0,1.5,34.2493798093
109,13.0,29.25,1.5,34.2232999005
110,13.0,29.5,1.5,34.2035800624
111,13.0,29.75,1.5,34.1891573077
112,13.0,30.0,1.5,34.1795296633
113,13.0,30.25,1.5,34.1741130214
114,13.0,30.5,1.5,34.1718837522
115,13.0,30.75,1.5,34.1724603668
116,13.0,31.0,1.5,34.174845261
117,13.0,31.25,1.5,34.1792093594
118,13.0,31.5,1.5,34.1853274696
119,13.0,31.75,1.5,34.1888942233
120,13.0,32.0,1.5,34.1897879053
121,13.0,32.25,1.5,34.1875095845
122,13.0,32.5,1.5,34.1761103838
123,13.0,32.75,1.5,34.1624439816
124,13.0,33.0,1.5,34.1420030602
125,13.0,33.25,1.5,34.1179933327
126,13.0,33.5,1.5,34.0932379107
127,13.0,33.75,1.5,34.0896553058
128,13.0,34.0,1.5,34.1112170054
129,13.0,34.25,1.5,34.1559535952
130,13.0,34.5,1.5,34.2008727211
131,13.0,34.75,1.5,34.2447474173
132,13.0,35.0,1.5,34.267575586
133,13.0,35.25,1.5,34.2749890264
134,13.0,35.5,1.5,34.269877621
135,13.25,24.5,1.5,33.6485075074
136,13.25,24.75,1.5,33.5991385913
137,13.25,25.0,1.5,33.5694619087
138,13.25,25.25,1.5,33.458810056
139,13.25,25.5,1.5,33.4344762266
140,13.25,25.75,1.5,33.4390434276
141,13.25,26.0,1.5,33.5305822614
142,13.25,26.25,1.5,33.6861900636
143,13.25,26.5,1.5,33.8179120787
144,13.25,26.75,1.5,33.9462156604
145,13.25,27.0,1.5,33.9761582401
146,13.25,27.25,1.5,33.9574869218
147,13.25,27.5,1.5,33.9249925675
148,13.25,27.75,1.5,33.8851673042
149,13.25,28.0,1.5,33.8658842983
150,13.25,28.25,1.5,33.8540857346
151,13.25,28.5,1.5,33.8487316019
152,13.25,28.75,1.5,33.8489956475
153,13.25,29.0,1.5,33.8550374745
154,13.25,29.25,1.5,33.8637602812
155,13.25,29.5,1.5,33.8738725773
156,13.25,29.75,1.5,33.884783135
157,13.25,30.0,1.5,33.8964907332
158,13.25,30.25,1.5,33.9084052075
159,13.25,30.5,1.5,33.9201843444
160,13.25,30.75,1.5,33.931673846
161,13.25,31.0,1.5,33.9420758727
162,13.25,31.25,1.5,33.9522993326
163,13.25,31.5,1.5,33.9636266995
164,13.25,31.75,1.5,33.9699524915
165,13.25,32.0,1.5,33.9735952841
166,13.25,32.25,1.5,33.9750049376
167,13.25,32.5,1.5,33.9709257962
168,13.25,32.75,1.5,33.9642347312
169,13.25,33.0,1.5,33.9484853054
170,13.25,33.25,1.5,33.9241040818
171,13.25,33.5,1.5,33.886381763
172,13.25,33.75,1.5,33.8706253409
173,13.25,34.0,1.5,33.883530346
174,13.25,34.25,1.5,33.9190605859
175,13.25,34.5,1.5,33.9575839644
176,13.25,34.75,1.5,33.9844787101
177,13.25,35.0,1.5,33.9590943736
178,13.25,35.25,1.5,33.9501375158
179,13.25,35.5,1.5,33.9263579385
180,13.5,24.5,1.5,33.1062110348
181,13.5,24.75,1.5,33.0506285473
182,13.5,25.0,1.5,33.0063586715
183,13.5,25.25,1.5,32.8625608581
184,13.5,25.5,1.5,32.8202180984
185,13.5,25.75,1.5,32.7909155067
186,13.5,26.0,1.5,32.9083664239
187,13.5,26.25,1.5,33.063371277
188,13.5,26.5,1.5,33.1812107869
189,13.5,26.75,1.5,33.3031740146
190,13.5,27.0,1.5,33.280801989
191,13.5,27.25,1.5,33.2471223694
192,13.5,27.5,1.5,33.2308108452
193,13.5,27.75,1.5,33.249512124
194,13.5,28.0,1.5,33.2748455048
195,13.5,28.25,1.5,33.3089851426
196,13.5,28.5,1.5,33.3481890124
197,13.5,28.75,1.5,33.4097795878
198,13.5,29.0,1.5,33.4495727656
199,13.5,29.25,1.5,33.4866616454
