,x,y,z,v
0,35632.3819875,40431.0715979,1.5,0.0
1,35632.3819875,40432.3531135,1.5,0.0
2,35632.3819875,40433.6346291,1.5,0.0
3,35632.3819875,40434.9161447,1.5,0.0
4,35632.3819875,40436.1976603,1.5,0.0
5,35632.3819875,40437.4791759,1.5,0.0
6,35632.3819875,40438.7606916,1.5,0.0
7,35632.3819875,40440.0422072,1.5,0.0
8,35632.3819875,40441.3237228,1.5,0.0
9,35632.3819875,40442.6052384,1.5,0.0
10,35632.3819875,40443.886754,1.5,0.0
11,35632.3819875,40445.1682696,1.5,0.0
12,35632.3819875,40446.4497852,1.5,0.0
13,35632.3819875,40447.7313008,1.5,0.0
14,35632.3819875,40449.0128164,1.5,0.0
15,35632.3819875,40450.2943321,1.5,0.0
16,35632.3819875,40451.5758477,1.5,0.0
17,35632.3819875,40452.8573633,1.5,0.0
18,35632.3819875,40454.1388789,1.5,0.0
19,35632.3819875,40455.4203945,1.5,0.0
20,35632.3819875,40456.7019101,1.5,0.0
21,35632.3819875,40457.9834257,1.5,0.0
22,35632.3819875,40459.2649413,1.5,0.0
23,35632.3819875,40460.5464569,1.5,0.0
24,35632.3819875,40461.8279726,1.5,0.0
25,35632.3819875,40463.1094882,1.5,0.0
26,35632.3819875,40464.3910038,1.5,0.0
27,35632.3819875,40465.6725194,1.5,0.0
28,35632.3819875,40466.954035,1.5,0.0
29,35632.3819875,40468.2355506,1.5,0.0
30,35632.3819875,40469.5170662,1.5,0.0
31,35632.3819875,40470.7985818,1.5,0.0
32,35632.3819875,40472.0800974,1.5,0.0
33,35632.3819875,40473.3616131,1.5,0.0
34,35632.3819875,40474.6431287,1.5,0.0
35,35632.3819875,40475.9246443,1.5,0.0
36,35632.3819875,40477.2061599,1.5,0.0
37,35632.3819875,40478.4876755,1.5,0.0
38,35632.3819875,40479.7691911,1.5,0.0
39,35632.3819875,40481.0507067,1.5,0.0
40,35632.3819875,40482.3322223,1.5,0.0
41,35632.3819875,40483.6137379,1.5,0.0
42,35632.3819875,40484.8952536,1.5,0.0
43,35632.3819875,40486.1767692,1.5,0.0
44,35632.3819875,40487.4582848,1.5,0.0
45,35632.3819875,40488.7398004,1.5,0.0
46,35632.3819875,40490.021316,1.5,0.0
47,35632.3819875,40491.3028316,1.5,0.0
48,35632.3819875,40492.5843472,1.5,0.0
49,35632.3819875,40493.8658628,1.5,0.0
50,35632.3819875,40495.1473784,1.5,0.0
51,35632.3819875,40496.4288941,1.5,0.0
52,35632.3819875,40497.7104097,1.5,0.0
53,35632.3819875,40498.9919253,1.5,0.0
54,35632.3819875,40500.2734409,1.5,0.0
55,35632.3819875,40501.5549565,1.5,0.0
56,35632.3819875,40502.8364721,1.5,0.0
57,35632.3819875,40504.1179877,1.5,0.0
58,35632.3819875,40505.3995033,1.5,0.0
59,35632.3819875,40506.6810189,1.5,0.0
60,35632.3819875,40507.9625346,1.5,0.0
61,35632.3819875,40509.2440502,1.5,0.0
62,35632.3819875,40510.5255658,1.5,0.0
63,35632.3819875,40511.8070814,1.5,0.0
64,35632.3819875,40513.088597,1.5,0.0
65,35632.3819875,40514.3701126,1.5,0.0
66,35632.3819875,40515.6516282,1.5,0.0
67,35632.3819875,40516.9331438,1.5,0.0
68,35632.3819875,40518.2146594,1.5,0.0
69,35632.3819875,40519.4961751,1.5,0.0
70,35632.3819875,40520.7776907,1.5,0.0
71,35632.3819875,40522.0592063,1.5,0.0
72,35632.3819875,40523.3407219,1.5,0.0
73,35632.3819875,40524.6222375,1.5,0.0
74,35632.3819875,40525.9037531,1.5,0.0
75,35632.3819875,40527.1852687,1.5,0.0
76,35632.3819875,40528.4667843,1.5,0.0
77,35632.3819875,40529.7482999,1.5,0.0
78,35632.3819875,40531.0298156,1.5,0.0
79,35632.3819875,40532.3113312,1.5,0.0
80,35633.5192397,40431.0715979,1.5,0.0
81,35633.5192397,40432.3531135,1.5,0.0
82,35633.5192397,40433.6346291,1.5,0.0
83,35633.5192397,40434.9161447,1.5,0.0
84,35633.5192397,40436.1976603,1.5,0.0
85,35633.5192397,40437.4791759,1.5,0.0
86,35633.5192397,40438.7606916,1.5,0.0
87,35633.5192397,40440.0422072,1.5,0.0
88,35633.5192397,40441.3237228,1.5,0.0
89,35633.5192397,40442.6052384,1.5,0.0
90,35633.5192397,40443.886754,1.5,0.0
91,35633.5192397,40445.1682696,1.5,0.0
92,35633.5192397,40446.4497852,1.5,0.0
93,35633.5192397,40447.7313008,1.5,0.0
94,35633.5192397,40449.0128164,1.5,0.0
95,35633.5192397,40450.2943321,1.5,0.0
96,35633.5192397,40451.5758477,1.5,0.0
97,35633.5192397,40452.8573633,1.5,0.0
98,35633.5192397,40454.1388789,1.5,0.0
99,35633.5192397,40455.4203945,1.5,0.0
100,35633.5192397,40456.7019101,1.5,0.0
101,35633.5192397,40457.9834257,1.5,0.0
102,35633.5192397,40459.2649413,1.5,0.0
103,35633.5192397,40460.5464569,1.5,0.0
104,35633.5192397,40461.8279726,1.5,0.0
105,35633.5192397,40463.1094882,1.5,0.0
106,35633.5192397,40464.3910038,1.5,0.0
107,35633.5192397,40465.6725194,1.5,0.0
108,35633.5192397,40466.954035,1.5,0.0
109,35633.5192397,40468.2355506,1.5,0.0
110,35633.5192397,40469.5170662,1.5,0.0
111,35633.5192397,40470.7985818,1.5,0.0
112,35633.5192397,40472.0800974,1.5,0.0
113,35633.5192397,40473.3616131,1.5,0.0
114,35633.5192397,40474.6431287,1.5,0.0
115,35633.5192397,40475.9246443,1.5,0.0
116,35633.5192397,40477.2061599,1.5,0.0
117,35633.5192397,40478.4876755,1.5,0.0
118,35633.5192397,40479.7691911,1.5,0.0
119,35633.5192397,40481.0507067,1.5,0.0
120,35633.5192397,40482.3322223,1.5,0.0
121,35633.5192397,40483.6137379,1.5,0.0
122,35633.5192397,40484.8952536,1.5,0.0
123,35633.5192397,40486.1767692,1.5,0.0
124,35633.5192397,40487.4582848,1.5,0.0
125,35633.5192397,40488.7398004,1.5,0.0
126,35633.5192397,40490.021316,1.5,0.0
127,35633.5192397,40491.3028316,1.5,0.0
128,35633.5192397,40492.5843472,1.5,0.0
129,35633.5192397,40493.8658628,1.5,0.0
130,35633.5192397,40495.1473784,1.5,0.0
131,35633.5192397,40496.4288941,1.5,0.0
132,35633.5192397,40497.7104097,1.5,0.0
133,35633.5192397,40498.9919253,1.5,0.0
134,35633.5192397,40500.2734409,1.5,0.0
135,35633.5192397,40501.5549565,1.5,0.0
136,35633.5192397,40502.8364721,1.5,0.0
137,35633.5192397,40504.1179877,1.5,0.0
138,35633.5192397,40505.3995033,1.5,0.0
139,35633.5192397,40506.6810189,1.5,0.0
140,35633.5192397,40507.9625346,1.5,0.0
141,35633.5192397,40509.2440502,1.5,0.0
142,35633.5192397,40510.5255658,1.5,0.0
143,35633.5192397,40511.8070814,1.5,0.0
144,35633.5192397,40513.088597,1.5,0.0
145,35633.5192397,40514.3701126,1.5,0.0
146,35633.5192397,40515.6516282,1.5,0.0
147,35633.5192397,40516.9331438,1.5,0.0
148,35633.5192397,40518.2146594,1.5,0.0
149,35633.5192397,40519.4961751,1.5,0.0
150,35633.5192397,40520.7776907,1.5,0.0
151,35633.5192397,40522.0592063,1.5,0.0
152,35633.5192397,40523.3407219,1.5,0.0
153,35633.5192397,40524.6222375,1.5,0.0
154,35633.5192397,40525.9037531,1.5,0.0
155,35633.5192397,40527.1852687,1.5,0.0
156,35633.5192397,40528.4667843,1.5,0.0
157,35633.5192397,40529.7482999,1.5,0.0
158,35633.5192397,40531.0298156,1.5,0.0
159,35633.5192397,40532.3113312,1.5,0.0
160,35634.656492,40431.0715979,1.5,0.0
161,35634.656492,40432.3531135,1.5,0.0
162,35634.656492,40433.6346291,1.5,0.0
163,35634.656492,40434.9161447,1.5,0.0
164,35634.656492,40436.1976603,1.5,0.0
165,35634.656492,40437.4791759,1.5,0.0
166,35634.656492,40438.7606916,1.5,0.0
167,35634.656492,40440.0422072,1.5,0.0
168,35634.656492,40441.3237228,1.5,0.0
169,35634.656492,40442.6052384,1.5,0.0
170,35634.656492,40443.886754,1.5,0.0
171,35634.656492,40445.1682696,1.5,0.0
172,35634.656492,40446.4497852,1.5,0.0
173,35634.656492,40447.7313008,1.5,0.0
174,35634.656492,40449.0128164,1.5,0.0
175,35634.656492,40450.2943321,1.5,0.0
176,35634.656492,40451.5758477,1.5,0.0
177,35634.656492,40452.8573633,1.5,0.0
178,35634.656492,40454.1388789,1.5,0.0
179,35634.656492,40455.4203945,1.5,0.0
180,35634.656492,40456.7019101,1.5,0.0
181,35634.656492,40457.9834257,1.5,0.0
182,35634.656492,40459.2649413,1.5,0.0
183,35634.656492,40460.5464569,1.5,0.0
184,35634.656492,40461.8279726,1.5,0.0
185,35634.656492,40463.1094882,1.5,0.0
186,35634.656492,40464.3910038,1.5,0.0
187,35634.656492,40465.6725194,1.5,0.0
188,35634.656492,40466.954035,1.5,0.0
189,35634.656492,40468.2355506,1.5,0.0
190,35634.656492,40469.5170662,1.5,0.0
191,35634.656492,40470.7985818,1.5,0.0
192,35634.656492,40472.0800974,1.5,0.0
193,35634.656492,40473.3616131,1.5,0.0
194,35634.656492,40474.6431287,1.5,0.0
195,35634.656492,40475.9246443,1.5,0.0
196,35634.656492,40477.2061599,1.5,0.0
197,35634.656492,40478.4876755,1.5,0.0
198,35634.656492,40479.7691911,1.5,0.0
199,35634.656492,40481.0507067,1.5,0.0
200,35634.656492,40482.3322223,1.5,0.0
201,35634.656492,40483.6137379,1.5,0.0
202,35634.656492,40484.8952536,1.5,0.0
203,35634.656492,40486.1767692,1.5,0.0
204,35634.656492,40487.4582848,1.5,0.0
205,35634.656492,40488.7398004,1.5,0.0
206,35634.656492,40490.021316,1.5,0.0
207,35634.656492,40491.3028316,1.5,0.0
208,35634.656492,40492.5843472,1.5,0.0
209,35634.656492,40493.8658628,1.5,0.0
210,35634.656492,40495.1473784,1.5,0.0
211,35634.656492,40496.4288941,1.5,0.0
212,35634.656492,40497.7104097,1.5,0.0
213,35634.656492,40498.9919253,1.5,0.0
214,35634.656492,40500.2734409,1.5,0.0
215,35634.656492,40501.5549565,1.5,0.0
216,35634.656492,40502.8364721,1.5,0.0
217,35634.656492,40504.1179877,1.5,0.0
218,35634.656492,40505.3995033,1.5,0.0
219,35634.656492,40506.6810189,1.5,0.0
220,35634.656492,40507.9625346,1.5,0.0
221,35634.656492,40509.2440502,1.5,0.0
222,35634.656492,40510.5255658,1.5,0.0
223,35634.656492,40511.8070814,1.5,0.0
224,35634.656492,40513.088597,1.5,0.0
225,35634.656492,40514.3701126,1.5,0.0
226,35634.656492,40515.6516282,1.5,0.0
227,35634.656492,40516.9331438,1.5,0.0
228,35634.656492,40518.2146594,1.5,0.0
229,35634.656492,40519.4961751,1.5,0.0
230,35634.656492,40520.7776907,1.5,0.0
231,35634.656492,40522.0592063,1.5,0.0
232,35634.656492,40523.3407219,1.5,0.0
233,35634.656492,40524.6222375,1.5,0.0
234,35634.656492,40525.9037531,1.5,0.0
235,35634.656492,40527.1852687,1.5,0.0
236,35634.656492,40528.4667843,1.5,0.0
237,35634.656492,40529.7482999,1.5,0.0
