,x,y,z,v
0,35632.3819875,40431.0715979,1.5,46.4145189393
1,35632.3819875,40433.1377149,1.5,46.5633273071
2,35632.3819875,40435.2038319,1.5,47.1564925411
3,35632.3819875,40437.2699489,1.5,23.5202642869
4,35632.3819875,40439.3360659,1.5,23.5202642869
5,35632.3819875,40441.4021829,1.5,23.5202642869
6,35632.3819875,40443.4682999,1.5,23.5202642869
7,35632.3819875,40445.5344169,1.5,24.329940526
8,35632.3819875,40447.6005339,1.5,24.5821940389
9,35632.3819875,40449.6666509,1.5,24.6499721342
10,35632.3819875,40451.7327679,1.5,25.2004623825
11,35632.3819875,40453.7988849,1.5,25.6328810111
12,35632.3819875,40455.865002,1.5,25.6328810111
13,35632.3819875,40457.931119,1.5,25.6328810111
14,35632.3819875,40459.997236,1.5,26.063430274
15,35632.3819875,40462.063353,1.5,26.6061840637
16,35632.3819875,40464.12947,1.5,26.8527439337
17,35632.3819875,40466.195587,1.5,26.6725990768
18,35632.3819875,40468.261704,1.5,49.6716262822
19,35632.3819875,40470.327821,1.5,27.0325648554
20,35632.3819875,40472.393938,1.5,27.5042756431
21,35632.3819875,40474.460055,1.5,27.3253007909
22,35632.3819875,40476.526172,1.5,27.4384105041
23,35632.3819875,40478.592289,1.5,26.6537257281
24,35632.3819875,40480.658406,1.5,26.4732214445
25,35632.3819875,40482.724523,1.5,26.833904568
26,35632.3819875,40484.79064,1.5,26.2923903424
27,35632.3819875,40486.856757,1.5,26.4732214445
28,35632.3819875,40488.922874,1.5,49.656506564
29,35632.3819875,40490.9889911,1.5,50.376447564
30,35632.3819875,40493.0551081,1.5,49.8008802917
31,35632.3819875,40495.1212251,1.5,49.5651943458
32,35632.3819875,40497.1873421,1.5,49.8539930061
33,35632.3819875,40499.2534591,1.5,49.8539930061
34,35632.3819875,40501.3195761,1.5,49.70969055
35,35632.3819875,40503.3856931,1.5,48.9852598397
36,35632.3819875,40505.4518101,1.5,48.8397857128
37,35632.3819875,40507.5179271,1.5,48.6404249342
38,35632.3819875,40509.5840441,1.5,48.3483405453
39,35632.3819875,40511.6501611,1.5,48.1480629936
40,35632.3819875,40513.7162781,1.5,48.1480629936
41,35632.3819875,40515.7823951,1.5,47.9474102175
42,35632.3819875,40517.8485121,1.5,47.3586335012
43,35632.3819875,40519.9146291,1.5,47.304270134
44,35632.3819875,40521.9807461,1.5,47.304270134
45,35632.3819875,40524.0468631,1.5,47.1564925411
46,35632.3819875,40526.1129801,1.5,47.1564925411
47,35632.3819875,40528.1790972,1.5,46.5633273071
48,35632.3819875,40530.2452142,1.5,46.4145189393
49,35632.3819875,40532.3113312,1.5,46.2655023984
50,35634.2155167,40431.0715979,1.5,46.4145189393
51,35634.2155167,40433.1377149,1.5,46.711928179
52,35634.2155167,40435.2038319,1.5,23.7062056544
53,35634.2155167,40437.2699489,1.5,23.7062056544
54,35634.2155167,40439.3360659,1.5,23.7062056544
55,35634.2155167,40441.4021829,1.5,23.8917982736
56,35634.2155167,40443.4682999,1.5,24.2132450678
57,35634.2155167,40445.5344169,1.5,24.8338080114
58,35634.2155167,40447.6005339,1.5,25.267820173
59,35634.2155167,40449.6666509,1.5,25.4505179595
60,35634.2155167,40451.7327679,1.5,26.063430274
61,35634.2155167,40453.7988849,1.5,26.2446763106
