,x,y,z,v
0,32.0,64.0,1.5,300.458938664
1,32.0,65.0,1.5,302.233535136
2,32.0,66.0,1.5,302.551430044
3,32.0,67.0,1.5,300.912536734
4,32.0,68.0,1.5,301.804007973
5,32.0,69.0,1.5,301.778094348
6,32.0,70.0,1.5,302.773814029
7,32.0,71.0,1.5,301.821407436
8,32.0,72.0,1.5,301.821407436
9,32.0,73.0,1.5,300.685994301
10,32.0,74.0,1.5,301.351927848
11,32.0,75.0,1.5,301.325845444
12,32.0,76.0,1.5,300.685994301
13,32.0,77.0,1.5,300.685994301
14,32.0,78.0,1.5,300.685994301
15,32.0,79.0,1.5,300.003276871
16,32.0,80.0,1.5,300.003276871
17,32.0,81.0,1.5,300.870729734
18,32.0,82.0,1.5,300.685994301
19,32.0,83.0,1.5,300.685994301
20,32.0,84.0,1.5,300.685994301
21,32.0,85.0,1.5,301.322473456
22,32.0,86.0,1.5,302.271524771
23,32.0,87.0,1.5,300.685994301
24,32.0,88.0,1.5,300.912536734
25,32.0,89.0,1.5,300.912536734
26,32.0,90.0,1.5,301.8062546
27,32.0,91.0,1.5,301.775551436
28,32.0,92.0,1.5,302.740208338
29,32.0,93.0,1.5,301.818785375
30,32.0,94.0,1.5,301.581721741
31,32.0,95.0,1.5,300.458938664
32,33.0,64.0,1.5,302.233535136
33,33.0,65.0,1.5,300.685994301
34,33.0,66.0,1.5,301.57187412
35,33.0,67.0,1.5,301.691801701
36,33.0,68.0,1.5,301.794093963
37,33.0,69.0,1.5,301.794093963
38,33.0,70.0,1.5,301.778094348
39,33.0,71.0,1.5,301.900836314
40,33.0,72.0,1.5,301.788738051
41,33.0,73.0,1.5,301.599311267
42,33.0,74.0,1.5,301.438460727
43,33.0,75.0,1.5,301.532956769
44,33.0,76.0,1.5,300.685994301
45,33.0,77.0,1.5,300.685994301
46,33.0,78.0,1.5,300.685994301
47,33.0,79.0,1.5,301.241719969
48,33.0,80.0,1.5,301.10023533
49,33.0,81.0,1.5,301.307811919
50,33.0,82.0,1.5,300.685994301
51,33.0,83.0,1.5,300.685994301
52,33.0,84.0,1.5,300.685994301
53,33.0,85.0,1.5,301.46701282
54,33.0,86.0,1.5,302.308323102
55,33.0,87.0,1.5,300.685994301
56,33.0,88.0,1.5,301.694050836
57,33.0,89.0,1.5,301.8062546
58,33.0,90.0,1.5,300.912536734
59,33.0,91.0,1.5,301.791298688
60,33.0,92.0,1.5,301.775551436
61,33.0,93.0,1.5,301.757598421
62,33.0,94.0,1.5,300.685994301
63,33.0,95.0,1.5,300.685994301
64,34.0,64.0,1.5,302.563499597
65,34.0,65.0,1.5,301.583875508
66,34.0,66.0,1.5,300.685994301
67,34.0,67.0,1.5,302.56381087
68,34.0,68.0,1.5,300.799329499
69,34.0,69.0,1.5,301.679078228
70,34.0,70.0,1.5,300.912536734
71,34.0,71.0,1.5,300.912536734
72,34.0,72.0,1.5,301.668128259
73,34.0,73.0,1.5,301.745625773
74,34.0,74.0,1.5,302.344996025
75,34.0,75.0,1.5,301.599311267
76,34.0,76.0,1.5,300.572530803
77,34.0,77.0,1.5,302.356321981
78,34.0,78.0,1.5,300.572530803
79,34.0,79.0,1.5,301.354429556
80,34.0,80.0,1.5,301.325845444
81,34.0,81.0,1.5,301.420447408
82,34.0,82.0,1.5,301.449889167
83,34.0,83.0,1.5,300.572530803
84,34.0,84.0,1.5,300.572530803
85,34.0,85.0,1.5,300.685994301
86,34.0,86.0,1.5,302.308323102
87,34.0,87.0,1.5,302.484121477
88,34.0,88.0,1.5,300.799329499
89,34.0,89.0,1.5,300.912536734
90,34.0,90.0,1.5,300.912536734
91,34.0,91.0,1.5,301.679078228
92,34.0,92.0,1.5,301.663313394
93,34.0,93.0,1.5,301.757598421
94,34.0,94.0,1.5,302.456266391
95,34.0,95.0,1.5,301.745625773
96,35.0,64.0,1.5,300.912536734
97,35.0,65.0,1.5,301.679078228
98,35.0,66.0,1.5,302.56381087
99,35.0,67.0,1.5,300.685994301
100,35.0,68.0,1.5,300.799329499
101,35.0,69.0,1.5,300.685994301
102,35.0,70.0,1.5,300.685994301
103,35.0,71.0,1.5,300.799329499
104,35.0,72.0,1.5,300.685994301
105,35.0,73.0,1.5,303.181084647
106,35.0,74.0,1.5,301.63335431
107,35.0,75.0,1.5,302.471696402
108,35.0,76.0,1.5,303.22571008
109,35.0,77.0,1.5,302.583990915
110,35.0,78.0,1.5,302.594044204
111,35.0,79.0,1.5,303.250572932
112,35.0,80.0,1.5,303.22234163
113,35.0,81.0,1.5,303.312038005
114,35.0,82.0,1.5,303.438938916
115,35.0,83.0,1.5,302.423078321
116,35.0,84.0,1.5,301.419332338
117,35.0,85.0,1.5,302.307248431
118,35.0,86.0,1.5,303.201266294
119,35.0,87.0,1.5,301.532956769
120,35.0,88.0,1.5,300.685994301
121,35.0,89.0,1.5,300.799329499
122,35.0,90.0,1.5,301.562365591
123,35.0,91.0,1.5,300.685994301
124,35.0,92.0,1.5,300.799329499
125,35.0,93.0,1.5,302.413305323
126,35.0,94.0,1.5,301.757598421
127,35.0,95.0,1.5,302.61095324
128,36.0,64.0,1.5,301.791298688
