,x,y,z,v
0,16.0,32.0,1.5,341.929100009
1,16.0,34.0,1.5,346.98690808
2,16.0,36.0,1.5,337.489608822
3,16.0,38.0,1.5,356.439897377
4,16.0,40.0,1.5,375.712616655
5,16.0,42.0,1.5,356.090630121
6,16.0,44.0,1.5,336.556999364
7,16.0,46.0,1.5,346.500791894
8,18.0,32.0,1.5,323.049572337
9,18.0,34.0,1.5,323.251052348
10,18.0,36.0,1.5,334.718145546
11,18.0,38.0,1.5,374.765308826
12,18.0,40.0,1.5,354.462567486
13,18.0,42.0,1.5,373.34636949
14,18.0,44.0,1.5,329.279877241
15,18.0,46.0,1.5,322.613222506
16,20.0,32.0,1.5,323.20677406
17,20.0,34.0,1.5,330.085230997
18,20.0,46.0,1.5,329.643727946
19,22.0,32.0,1.5,361.508134234
20,22.0,34.0,1.5,360.565043145
21,22.0,46.0,1.5,360.824454798
22,24.0,32.0,1.5,342.582777764
23,24.0,34.0,1.5,369.682270671
24,24.0,46.0,1.5,369.87419243
25,26.0,32.0,1.5,361.599059421
26,26.0,34.0,1.5,355.029379075
27,26.0,46.0,1.5,355.288790728
28,28.0,32.0,1.5,323.13494034
29,28.0,34.0,1.5,329.492435305
30,28.0,46.0,1.5,329.050932254
31,30.0,32.0,1.5,312.991790764
32,30.0,34.0,1.5,318.61343817
33,30.0,36.0,1.5,329.414662251
34,30.0,38.0,1.5,375.070382726
35,30.0,40.0,1.5,364.29509671
36,30.0,42.0,1.5,373.546709392
37,30.0,44.0,1.5,323.831448219
38,30.0,46.0,1.5,318.050575004
