,x,y,z,v
0,16.0,32.0,1.5,0.52
1,16.0,34.0,1.5,0.48
2,16.0,36.0,1.5,0.52
3,16.0,38.0,1.5,0.44
4,16.0,40.0,1.5,0.42
5,16.0,42.0,1.5,0.44
6,16.0,44.0,1.5,0.52
7,16.0,46.0,1.5,0.48
8,18.0,32.0,1.5,0.58
9,18.0,34.0,1.5,0.52
10,18.0,36.0,1.5,0.48
11,18.0,38.0,1.5,0.36
12,18.0,40.0,1.5,0.44
13,18.0,42.0,1.5,0.36
14,18.0,44.0,1.5,0.48
15,18.0,46.0,1.5,0.52
16,20.0,32.0,1.5,0.56
17,20.0,34.0,1.5,0.52
18,20.0,46.0,1.5,0.52
19,22.0,32.0,1.5,0.48
20,22.0,34.0,1.5,0.44
21,22.0,46.0,1.5,0.44
22,24.0,32.0,1.5,0.52
23,24.0,34.0,1.5,0.38
24,24.0,46.0,1.5,0.38
25,26.0,32.0,1.5,0.44
26,26.0,34.0,1.5,0.46
27,26.0,46.0,1.5,0.46
28,28.0,32.0,1.5,0.52
29,28.0,34.0,1.5,0.5
30,28.0,46.0,1.5,0.5
31,30.0,32.0,1.5,0.58
32,30.0,34.0,1.5,0.56
33,30.0,36.0,1.5,0.52
34,30.0,38.0,1.5,0.4
35,30.0,40.0,1.5,0.46
36,30.0,42.0,1.5,0.4
37,30.0,44.0,1.5,0.52
38,30.0,46.0,1.5,0.56
