,x,y,z,v
0,12.0,24.0,1.5,316.001274858
1,12.0,25.0,1.5,316.122181324
2,12.0,26.0,1.5,316.696719542
3,12.0,27.0,1.5,317.173912734
4,12.0,28.0,1.5,317.828961609
5,12.0,29.0,1.5,317.944175684
6,12.0,30.0,1.5,318.12454941
7,12.0,31.0,1.5,319.080132331
8,12.0,32.0,1.5,321.328305956
9,12.0,33.0,1.5,323.17079306
10,12.0,34.0,1.5,323.986768222
11,12.0,35.0,1.5,323.532326757
12,13.0,24.0,1.5,316.603444448
13,13.0,25.0,1.5,316.646299745
14,13.0,26.0,1.5,317.075542174
15,13.0,27.0,1.5,317.516697336
16,13.0,28.0,1.5,318.132018099
17,13.0,29.0,1.5,318.178216156
18,13.0,30.0,1.5,318.326304765
19,13.0,31.0,1.5,319.279526196
20,13.0,32.0,1.5,321.554860137
21,13.0,33.0,1.5,323.416194186
22,13.0,34.0,1.5,324.296786565
23,13.0,35.0,1.5,323.966675885
24,14.0,24.0,1.5,318.413772036
25,14.0,25.0,1.5,318.448613194
26,14.0,35.0,1.5,326.693010375
27,15.0,24.0,1.5,320.957454145
28,15.0,25.0,1.5,321.1196038
29,15.0,35.0,1.5,331.219256878
30,16.0,24.0,1.5,321.223285412
31,16.0,25.0,1.5,321.636107489
32,16.0,35.0,1.5,331.007785886
33,17.0,24.0,1.5,320.222296999
34,17.0,25.0,1.5,320.644187186
35,17.0,35.0,1.5,330.287889847
36,18.0,24.0,1.5,320.000968131
37,18.0,25.0,1.5,320.415292939
38,18.0,35.0,1.5,330.260369506
39,19.0,24.0,1.5,319.981921783
40,19.0,25.0,1.5,320.393135118
41,19.0,35.0,1.5,330.250978839
42,20.0,24.0,1.5,322.382073938
43,20.0,25.0,1.5,322.826224385
44,20.0,35.0,1.5,331.013746158
45,21.0,24.0,1.5,325.215100945
46,21.0,25.0,1.5,325.417563207
47,21.0,35.0,1.5,331.32929464
48,22.0,24.0,1.5,324.741850734
49,22.0,25.0,1.5,324.996788733
50,22.0,35.0,1.5,326.526507785
51,23.0,24.0,1.5,323.96573688
52,23.0,25.0,1.5,323.998145779
53,23.0,26.0,1.5,324.275995233
54,23.0,27.0,1.5,324.548670563
55,23.0,28.0,1.5,325.028749387
56,23.0,29.0,1.5,324.968048993
57,23.0,30.0,1.5,325.043594831
58,23.0,31.0,1.5,324.878965375
59,23.0,32.0,1.5,324.892215632
60,23.0,33.0,1.5,324.416012648
61,23.0,34.0,1.5,324.176402817
62,23.0,35.0,1.5,323.937440036
