,x,y,z,v
0,176.0,240.0,1.5,332.336484698
1,176.0,241.0,1.5,332.443326556
2,176.0,242.0,1.5,332.443326556
3,176.0,243.0,1.5,332.763235579
4,176.0,244.0,1.5,332.975996768
5,176.0,245.0,1.5,332.975996768
6,176.0,246.0,1.5,333.253984977
7,176.0,247.0,1.5,333.147921415
8,176.0,248.0,1.5,333.253984977
9,176.0,249.0,1.5,333.636977746
10,176.0,250.0,1.5,333.848073856
11,176.0,251.0,1.5,333.848073856
12,176.0,252.0,1.5,334.018656089
13,176.0,253.0,1.5,334.123892859
14,176.0,254.0,1.5,334.123892859
15,176.0,255.0,1.5,334.083802118
16,176.0,256.0,1.5,334.399030485
17,176.0,257.0,1.5,334.399030485
18,176.0,258.0,1.5,334.88263392
19,176.0,259.0,1.5,335.195616024
20,176.0,260.0,1.5,335.364151273
21,176.0,261.0,1.5,335.675789668
22,176.0,262.0,1.5,335.675789668
23,176.0,263.0,1.5,336.050570961
24,176.0,264.0,1.5,336.257156803
25,176.0,265.0,1.5,336.566323464
26,176.0,266.0,1.5,336.463362586
27,176.0,267.0,1.5,336.630001834
28,176.0,268.0,1.5,336.732809978
29,176.0,269.0,1.5,337.040670735
30,176.0,270.0,1.5,336.938144228
31,176.0,271.0,1.5,336.938144228
32,176.0,272.0,1.5,336.732809978
33,176.0,273.0,1.5,336.938144228
34,176.0,274.0,1.5,336.938144228
35,176.0,275.0,1.5,337.040670735
36,176.0,276.0,1.5,336.732809978
37,176.0,277.0,1.5,336.630001834
38,176.0,278.0,1.5,336.463362586
39,176.0,279.0,1.5,336.566323464
40,176.0,280.0,1.5,336.257156803
41,176.0,281.0,1.5,336.153911491
42,176.0,282.0,1.5,335.77947651
43,176.0,283.0,1.5,335.675789668
44,176.0,284.0,1.5,335.364151273
45,176.0,285.0,1.5,335.195616024
46,176.0,286.0,1.5,334.88263392
47,176.0,287.0,1.5,334.399030485
48,176.0,288.0,1.5,334.399030485
49,176.0,289.0,1.5,334.083802118
50,176.0,290.0,1.5,334.229030286
51,176.0,291.0,1.5,334.229030286
52,176.0,292.0,1.5,334.123892859
53,176.0,293.0,1.5,333.953471921
54,176.0,294.0,1.5,333.953471921
55,176.0,295.0,1.5,333.742575871
56,176.0,296.0,1.5,333.359947365
57,176.0,297.0,1.5,333.253984977
58,176.0,298.0,1.5,333.359947365
59,176.0,299.0,1.5,333.0822246
60,176.0,300.0,1.5,333.0822246
61,176.0,301.0,1.5,332.86966717
62,176.0,302.0,1.5,332.550065502
63,176.0,303.0,1.5,332.550065502
64,176.5,240.0,1.5,332.122491316
65,176.5,241.0,1.5,332.336484698
66,176.5,242.0,1.5,332.336484698
67,176.5,243.0,1.5,332.656701766
68,176.5,244.0,1.5,332.86966717
69,176.5,245.0,1.5,332.86966717
70,176.5,246.0,1.5,333.147921415
71,176.5,247.0,1.5,333.147921415
72,176.5,248.0,1.5,333.147921415
73,176.5,249.0,1.5,333.636977746
74,176.5,250.0,1.5,333.742575871
75,176.5,251.0,1.5,333.742575871
76,176.5,252.0,1.5,333.913319757
77,176.5,253.0,1.5,334.018656089
78,176.5,254.0,1.5,334.123892859
79,176.5,255.0,1.5,334.188977375
80,176.5,256.0,1.5,334.399030485
81,176.5,257.0,1.5,334.399030485
82,176.5,258.0,1.5,334.88263392
83,176.5,259.0,1.5,335.195616024
84,176.5,260.0,1.5,335.468127259
85,176.5,261.0,1.5,335.468127259
86,176.5,262.0,1.5,335.675789668
87,176.5,263.0,1.5,335.843603421
88,176.5,264.0,1.5,336.3603071
89,176.5,265.0,1.5,336.771962205
90,176.5,266.0,1.5,336.732809978
91,176.5,267.0,1.5,336.732809978
92,176.5,268.0,1.5,336.938144228
93,176.5,269.0,1.5,336.938144228
94,176.5,270.0,1.5,337.040670735
95,176.5,271.0,1.5,337.040670735
96,176.5,272.0,1.5,336.938144228
97,176.5,273.0,1.5,337.040670735
98,176.5,274.0,1.5,337.040670735
99,176.5,275.0,1.5,336.938144228
100,176.5,276.0,1.5,336.938144228
101,176.5,277.0,1.5,336.732809978
102,176.5,278.0,1.5,336.732809978
103,176.5,279.0,1.5,336.771962205
104,176.5,280.0,1.5,336.463362586
105,176.5,281.0,1.5,335.947135006
106,176.5,282.0,1.5,335.77947651
107,176.5,283.0,1.5,335.572006654
108,176.5,284.0,1.5,335.468127259
109,176.5,285.0,1.5,335.195616024
110,176.5,286.0,1.5,334.88263392
111,176.5,287.0,1.5,334.399030485
112,176.5,288.0,1.5,334.399030485
113,176.5,289.0,1.5,334.294053425
114,176.5,290.0,1.5,334.229030286
115,176.5,291.0,1.5,334.123892859
116,176.5,292.0,1.5,334.018656089
117,176.5,293.0,1.5,333.848073856
118,176.5,294.0,1.5,333.848073856
119,176.5,295.0,1.5,333.742575871
