,x,y,z,v
0,176.0,240.0,1.5,315.122922382
1,176.0,241.0,1.5,315.134626404
2,176.0,242.0,1.5,315.190734098
3,176.0,243.0,1.5,315.260743999
4,176.0,244.0,1.5,315.330771462
5,176.0,245.0,1.5,315.404651149
6,176.0,246.0,1.5,315.436566097
7,176.0,247.0,1.5,315.477780392
8,176.0,248.0,1.5,315.542061818
9,176.0,249.0,1.5,315.624893282
10,176.0,250.0,1.5,315.698445916
11,176.0,251.0,1.5,315.739415451
12,176.0,252.0,1.5,315.780352181
13,176.0,253.0,1.5,315.830525398
14,176.0,254.0,1.5,315.86217056
15,176.0,255.0,1.5,315.912214339
16,176.0,256.0,1.5,315.948432776
17,176.0,257.0,1.5,316.039773553
18,176.0,258.0,1.5,316.144662124
19,176.0,259.0,1.5,316.276403703
20,176.0,260.0,1.5,316.371831887
21,176.0,261.0,1.5,316.435127968
22,176.0,262.0,1.5,316.51652835
23,176.0,263.0,1.5,316.625016603
24,176.0,264.0,1.5,316.760611832
25,176.0,265.0,1.5,316.856947443
26,176.0,266.0,1.5,316.897091972
27,176.0,267.0,1.5,316.919050823
28,176.0,268.0,1.5,316.953526275
29,176.0,269.0,1.5,316.994203222
30,176.0,270.0,1.5,317.021283285
31,176.0,271.0,1.5,317.034713464
32,176.0,272.0,1.5,317.043720598
33,176.0,273.0,1.5,317.034713464
34,176.0,274.0,1.5,317.021283285
35,176.0,275.0,1.5,316.994203222
36,176.0,276.0,1.5,316.953526275
37,176.0,277.0,1.5,316.919050823
38,176.0,278.0,1.5,316.901606111
39,176.0,279.0,1.5,316.87052127
40,176.0,280.0,1.5,316.787830025
41,176.0,281.0,1.5,316.661391688
42,176.0,282.0,1.5,316.552965824
43,176.0,283.0,1.5,316.462489396
44,176.0,284.0,1.5,316.385519763
45,176.0,285.0,1.5,316.280968934
46,176.0,286.0,1.5,316.144662124
47,176.0,287.0,1.5,316.044370158
48,176.0,288.0,1.5,315.962244299
49,176.0,289.0,1.5,315.939864235
50,176.0,290.0,1.5,315.899068302
51,176.0,291.0,1.5,315.872064287
52,176.0,292.0,1.5,315.821931061
53,176.0,293.0,1.5,315.78102697
54,176.0,294.0,1.5,315.740090142
55,176.0,295.0,1.5,315.666596486
56,176.0,296.0,1.5,315.583831446
57,176.0,297.0,1.5,315.519601577
58,176.0,298.0,1.5,315.478420501
59,176.0,299.0,1.5,315.446531287
60,176.0,300.0,1.5,315.372711268
61,176.0,301.0,1.5,315.302740543
62,176.0,302.0,1.5,315.232787345
63,176.0,303.0,1.5,315.200115689
64,176.5,240.0,1.5,315.117656748
65,176.5,241.0,1.5,315.129946769
66,176.5,242.0,1.5,315.182559195
67,176.5,243.0,1.5,315.252572653
68,176.5,244.0,1.5,315.322603675
69,176.5,245.0,1.5,315.401160308
70,176.5,246.0,1.5,315.434239571
71,176.5,247.0,1.5,315.481263035
72,176.5,248.0,1.5,315.552490136
73,176.5,249.0,1.5,315.641103645
74,176.5,250.0,1.5,315.71232554
75,176.5,251.0,1.5,315.75212762
76,176.5,252.0,1.5,315.788438315
77,176.5,253.0,1.5,315.83860507
78,176.5,254.0,1.5,315.871394694
79,176.5,255.0,1.5,315.928332534
80,176.5,256.0,1.5,315.967997124
81,176.5,257.0,1.5,316.048988927
82,176.5,258.0,1.5,316.14354128
83,176.5,259.0,1.5,316.274090479
84,176.5,260.0,1.5,316.382088996
