,x,y,z,v
0,128.0,256.0,1.5,331.127351282
1,128.0,258.0,1.5,331.262354519
2,128.0,260.0,1.5,331.397192899
3,128.0,262.0,1.5,331.397192899
4,128.0,264.0,1.5,331.666376962
5,128.0,266.0,1.5,331.934907198
6,128.0,268.0,1.5,331.800723577
7,128.0,270.0,1.5,331.531866891
8,128.0,272.0,1.5,331.531866891
9,128.0,274.0,1.5,331.934907198
10,128.0,276.0,1.5,331.800723577
11,128.0,278.0,1.5,331.666376962
12,128.0,280.0,1.5,331.666376962
13,128.0,282.0,1.5,331.934907198
14,128.0,284.0,1.5,332.068928287
15,128.0,286.0,1.5,332.068928287
16,128.0,288.0,1.5,331.934907198
17,128.0,290.0,1.5,332.202787301
18,128.0,292.0,1.5,331.934907198
19,128.0,294.0,1.5,331.934907198
20,128.0,296.0,1.5,331.800723577
21,128.0,298.0,1.5,332.068928287
22,128.0,300.0,1.5,332.068928287
23,128.0,302.0,1.5,331.800723577
24,128.0,304.0,1.5,332.068928287
25,128.0,306.0,1.5,331.934907198
26,128.0,308.0,1.5,331.800723577
27,128.0,310.0,1.5,332.336484698
28,128.0,312.0,1.5,331.934907198
29,128.0,314.0,1.5,332.068928287
30,128.0,316.0,1.5,332.068928287
31,128.0,318.0,1.5,331.934907198
32,128.0,320.0,1.5,332.336484698
33,128.0,322.0,1.5,331.934907198
34,128.0,324.0,1.5,332.068928287
35,128.0,326.0,1.5,332.068928287
36,128.0,328.0,1.5,331.934907198
37,128.0,330.0,1.5,332.336484698
38,128.0,332.0,1.5,331.800723577
39,128.0,334.0,1.5,331.934907198
40,128.0,336.0,1.5,332.068928287
41,128.0,338.0,1.5,331.800723577
42,128.0,340.0,1.5,332.068928287
43,128.0,342.0,1.5,332.068928287
44,128.0,344.0,1.5,331.800723577
45,128.0,346.0,1.5,331.934907198
46,128.0,348.0,1.5,331.934907198
47,128.0,350.0,1.5,332.202787301
48,128.0,352.0,1.5,331.934907198
49,128.0,354.0,1.5,332.068928287
50,128.0,356.0,1.5,332.068928287
51,128.0,358.0,1.5,331.934907198
52,128.0,360.0,1.5,331.666376962
53,128.0,362.0,1.5,331.666376962
54,128.0,364.0,1.5,331.800723577
55,128.0,366.0,1.5,331.934907198
56,128.0,368.0,1.5,331.531866891
57,128.0,370.0,1.5,331.531866891
58,128.0,372.0,1.5,331.800723577
59,128.0,374.0,1.5,331.934907198
60,128.0,376.0,1.5,331.666376962
61,128.0,378.0,1.5,331.397192899
62,128.0,380.0,1.5,331.397192899
63,128.0,382.0,1.5,331.262354519
64,130.0,256.0,1.5,331.127351282
65,130.0,258.0,1.5,331.262354519
66,130.0,260.0,1.5,331.127351282
67,130.0,262.0,1.5,331.262354519
68,130.0,264.0,1.5,331.666376962
69,130.0,266.0,1.5,331.800723577
70,130.0,268.0,1.5,331.934907198
71,130.0,270.0,1.5,331.934907198
72,130.0,272.0,1.5,331.531866891
73,130.0,274.0,1.5,331.800723577
74,130.0,276.0,1.5,331.934907198
75,130.0,278.0,1.5,331.934907198
76,130.0,280.0,1.5,331.934907198
77,130.0,282.0,1.5,332.068928287
78,130.0,284.0,1.5,331.800723577
79,130.0,286.0,1.5,331.934907198
80,130.0,288.0,1.5,332.068928287
81,130.0,290.0,1.5,332.202787301
82,130.0,292.0,1.5,332.202787301
83,130.0,294.0,1.5,332.068928287
84,130.0,296.0,1.5,331.800723577
85,130.0,298.0,1.5,332.202787301
86,130.0,300.0,1.5,331.934907198
87,130.0,302.0,1.5,331.934907198
88,130.0,304.0,1.5,332.202787301
89,130.0,306.0,1.5,332.202787301
90,130.0,308.0,1.5,332.068928287
91,130.0,310.0,1.5,332.470020932
92,130.0,312.0,1.5,331.934907198
93,130.0,314.0,1.5,332.068928287
94,130.0,316.0,1.5,332.068928287
95,130.0,318.0,1.5,332.202787301
96,130.0,320.0,1.5,332.336484698
97,130.0,322.0,1.5,332.202787301
98,130.0,324.0,1.5,332.068928287
99,130.0,326.0,1.5,332.068928287
100,130.0,328.0,1.5,331.934907198
101,130.0,330.0,1.5,332.470020932
102,130.0,332.0,1.5,332.068928287
103,130.0,334.0,1.5,332.202787301
104,130.0,336.0,1.5,332.202787301
105,130.0,338.0,1.5,331.934907198
106,130.0,340.0,1.5,331.934907198
107,130.0,342.0,1.5,332.202787301
108,130.0,344.0,1.5,331.800723577
109,130.0,346.0,1.5,332.068928287
110,130.0,348.0,1.5,332.202787301
111,130.0,350.0,1.5,332.202787301
112,130.0,352.0,1.5,332.068928287
113,130.0,354.0,1.5,331.934907198
114,130.0,356.0,1.5,331.800723577
115,130.0,358.0,1.5,332.068928287
116,130.0,360.0,1.5,331.934907198
117,130.0,362.0,1.5,331.934907198
118,130.0,364.0,1.5,331.934907198
119,130.0,366.0,1.5,331.800723577
120,130.0,368.0,1.5,331.531866891
121,130.0,370.0,1.5,331.934907198
122,130.0,372.0,1.5,331.934907198
123,130.0,374.0,1.5,331.800723577
124,130.0,376.0,1.5,331.666376962
125,130.0,378.0,1.5,331.262354519
126,130.0,380.0,1.5,331.127351282
127,130.0,382.0,1.5,331.262354519
128,132.0,256.0,1.5,331.262354519
129,132.0,258.0,1.5,331.127351282
130,132.0,260.0,1.5,331.262354519
131,132.0,262.0,1.5,331.397192899
132,132.0,264.0,1.5,331.666376962
133,132.0,266.0,1.5,331.666376962
134,132.0,268.0,1.5,331.800723577
135,132.0,270.0,1.5,331.666376962
136,132.0,272.0,1.5,331.531866891
137,132.0,274.0,1.5,332.068928287
138,132.0,276.0,1.5,331.800723577
139,132.0,278.0,1.5,331.666376962
140,132.0,280.0,1.5,331.934907198
141,132.0,282.0,1.5,331.666376962
142,132.0,284.0,1.5,331.666376962
143,132.0,286.0,1.5,331.800723577
144,132.0,288.0,1.5,331.800723577
145,132.0,290.0,1.5,331.934907198
146,132.0,292.0,1.5,332.068928287
147,132.0,294.0,1.5,332.068928287
148,132.0,296.0,1.5,331.666376962
149,132.0,298.0,1.5,332.202787301
150,132.0,300.0,1.5,331.934907198
151,132.0,302.0,1.5,331.800723577
152,132.0,304.0,1.5,332.068928287
153,132.0,306.0,1.5,332.336484698
154,132.0,308.0,1.5,332.068928287
155,132.0,310.0,1.5,332.202787301
156,132.0,312.0,1.5,332.336484698
157,132.0,314.0,1.5,332.068928287
158,132.0,316.0,1.5,332.068928287
159,132.0,318.0,1.5,332.202787301
160,132.0,320.0,1.5,332.336484698
161,132.0,322.0,1.5,332.202787301
162,132.0,324.0,1.5,332.068928287
163,132.0,326.0,1.5,332.068928287
164,132.0,328.0,1.5,332.336484698
165,132.0,330.0,1.5,332.202787301
166,132.0,332.0,1.5,332.068928287
167,132.0,334.0,1.5,332.336484698
168,132.0,336.0,1.5,332.068928287
169,132.0,338.0,1.5,331.800723577
170,132.0,340.0,1.5,331.934907198
171,132.0,342.0,1.5,332.202787301
172,132.0,344.0,1.5,331.666376962
173,132.0,346.0,1.5,332.068928287
174,132.0,348.0,1.5,332.068928287
175,132.0,350.0,1.5,331.934907198
176,132.0,352.0,1.5,331.800723577
177,132.0,354.0,1.5,331.800723577
178,132.0,356.0,1.5,331.666376962
179,132.0,358.0,1.5,331.666376962
180,132.0,360.0,1.5,331.934907198
181,132.0,362.0,1.5,331.666376962
182,132.0,364.0,1.5,331.800723577
183,132.0,366.0,1.5,332.068928287
184,132.0,368.0,1.5,331.531866891
185,132.0,370.0,1.5,331.666376962
186,132.0,372.0,1.5,331.800723577
187,132.0,374.0,1.5,331.666376962
188,132.0,376.0,1.5,331.666376962
189,132.0,378.0,1.5,331.397192899
190,132.0,380.0,1.5,331.262354519
191,132.0,382.0,1.5,331.127351282
192,134.0,256.0,1.5,330.992182717
193,134.0,258.0,1.5,331.127351282
194,134.0,260.0,1.5,331.397192899
195,134.0,262.0,1.5,331.397192899
196,134.0,264.0,1.5,331.666376962
197,134.0,266.0,1.5,331.666376962
198,134.0,268.0,1.5,331.934907198
199,134.0,270.0,1.5,332.068928287
200,134.0,272.0,1.5,331.934907198
201,134.0,274.0,1.5,331.800723577
202,134.0,276.0,1.5,331.800723577
203,134.0,278.0,1.5,331.934907198
204,134.0,280.0,1.5,331.800723577
205,134.0,282.0,1.5,331.666376962
206,134.0,284.0,1.5,331.397192899
207,134.0,286.0,1.5,331.800723577
208,134.0,288.0,1.5,331.800723577
209,134.0,290.0,1.5,331.934907198
210,134.0,292.0,1.5,331.934907198
211,134.0,294.0,1.5,331.800723577
212,134.0,296.0,1.5,331.800723577
213,134.0,298.0,1.5,331.934907198
214,134.0,300.0,1.5,332.068928287
215,134.0,302.0,1.5,331.934907198
216,134.0,304.0,1.5,332.336484698
217,134.0,306.0,1.5,332.336484698
218,134.0,308.0,1.5,332.202787301
219,134.0,310.0,1.5,332.470020932
220,134.0,312.0,1.5,332.603396455
221,134.0,314.0,1.5,332.470020932
222,134.0,316.0,1.5,332.336484698
223,134.0,318.0,1.5,332.470020932
224,134.0,320.0,1.5,332.603396455
225,134.0,322.0,1.5,332.470020932
226,134.0,324.0,1.5,332.336484698
227,134.0,326.0,1.5,332.470020932
228,134.0,328.0,1.5,332.603396455
229,134.0,330.0,1.5,332.470020932
230,134.0,332.0,1.5,332.202787301
231,134.0,334.0,1.5,332.336484698
232,134.0,336.0,1.5,332.336484698
233,134.0,338.0,1.5,331.934907198
234,134.0,340.0,1.5,332.068928287
235,134.0,342.0,1.5,331.934907198
236,134.0,344.0,1.5,331.800723577
237,134.0,346.0,1.5,331.800723577
238,134.0,348.0,1.5,331.934907198
239,134.0,350.0,1.5,331.934907198
240,134.0,352.0,1.5,331.800723577
241,134.0,354.0,1.5,331.800723577
242,134.0,356.0,1.5,331.397192899
243,134.0,358.0,1.5,331.666376962
244,134.0,360.0,1.5,331.800723577
245,134.0,362.0,1.5,331.934907198
246,134.0,364.0,1.5,331.800723577
247,134.0,366.0,1.5,331.800723577
248,134.0,368.0,1.5,331.934907198
249,134.0,370.0,1.5,332.068928287
250,134.0,372.0,1.5,331.934907198
251,134.0,374.0,1.5,331.666376962
252,134.0,376.0,1.5,331.666376962
253,134.0,378.0,1.5,331.397192899
254,134.0,380.0,1.5,331.397192899
255,134.0,382.0,1.5,331.127351282
256,136.0,256.0,1.5,331.262354519
257,136.0,258.0,1.5,331.397192899
258,136.0,260.0,1.5,331.397192899
259,136.0,262.0,1.5,331.666376962
260,136.0,264.0,1.5,331.934907198
261,136.0,266.0,1.5,331.934907198
262,136.0,268.0,1.5,332.068928287
263,136.0,270.0,1.5,332.068928287
264,136.0,272.0,1.5,331.666376962
265,136.0,274.0,1.5,331.934907198
266,136.0,276.0,1.5,332.068928287
267,136.0,278.0,1.5,331.934907198
268,136.0,280.0,1.5,332.068928287
269,136.0,282.0,1.5,332.068928287
270,136.0,284.0,1.5,331.934907198
271,136.0,286.0,1.5,331.934907198
272,136.0,288.0,1.5,331.800723577
273,136.0,290.0,1.5,331.934907198
274,136.0,292.0,1.5,331.934907198
275,136.0,294.0,1.5,332.068928287
276,136.0,296.0,1.5,331.934907198
277,136.0,298.0,1.5,332.068928287
278,136.0,300.0,1.5,332.470020932
279,136.0,302.0,1.5,332.202787301
280,136.0,304.0,1.5,332.336484698
281,136.0,306.0,1.5,332.336484698
282,136.0,308.0,1.5,332.202787301
283,136.0,310.0,1.5,332.736611718
284,136.0,312.0,1.5,332.86966717
285,136.0,314.0,1.5,332.736611718
286,136.0,316.0,1.5,332.603396455
287,136.0,318.0,1.5,332.736611718
288,136.0,320.0,1.5,332.603396455
289,136.0,322.0,1.5,332.736611718
290,136.0,324.0,1.5,332.603396455
291,136.0,326.0,1.5,332.736611718
292,136.0,328.0,1.5,332.86966717
293,136.0,330.0,1.5,332.736611718
294,136.0,332.0,1.5,332.202787301
295,136.0,334.0,1.5,332.336484698
296,136.0,336.0,1.5,332.336484698
297,136.0,338.0,1.5,332.202787301
298,136.0,340.0,1.5,332.470020932
299,136.0,342.0,1.5,332.068928287
300,136.0,344.0,1.5,331.934907198
301,136.0,346.0,1.5,332.068928287
302,136.0,348.0,1.5,331.934907198
303,136.0,350.0,1.5,331.934907198
304,136.0,352.0,1.5,331.800723577
305,136.0,354.0,1.5,331.934907198
306,136.0,356.0,1.5,331.934907198
307,136.0,358.0,1.5,332.068928287
308,136.0,360.0,1.5,332.068928287
309,136.0,362.0,1.5,331.934907198
310,136.0,364.0,1.5,332.068928287
311,136.0,366.0,1.5,331.934907198
312,136.0,368.0,1.5,331.666376962
313,136.0,370.0,1.5,332.068928287
314,136.0,372.0,1.5,332.068928287
315,136.0,374.0,1.5,331.934907198
316,136.0,376.0,1.5,331.934907198
317,136.0,378.0,1.5,331.666376962
318,136.0,380.0,1.5,331.397192899
319,136.0,382.0,1.5,331.397192899
320,138.0,256.0,1.5,331.262354519
321,138.0,258.0,1.5,331.397192899
322,138.0,260.0,1.5,331.531866891
323,138.0,262.0,1.5,331.666376962
324,138.0,264.0,1.5,332.068928287
325,138.0,266.0,1.5,331.934907198
326,138.0,268.0,1.5,331.934907198
327,138.0,270.0,1.5,331.800723577
328,138.0,272.0,1.5,331.800723577
329,138.0,274.0,1.5,331.800723577
330,138.0,276.0,1.5,331.800723577
331,138.0,278.0,1.5,332.068928287
332,138.0,280.0,1.5,332.068928287
333,138.0,282.0,1.5,332.068928287
334,138.0,284.0,1.5,331.800723577
335,138.0,286.0,1.5,332.068928287
336,138.0,288.0,1.5,332.068928287
337,138.0,290.0,1.5,331.934907198
338,138.0,292.0,1.5,331.800723577
339,138.0,294.0,1.5,331.666376962
340,138.0,296.0,1.5,331.934907198
341,138.0,298.0,1.5,332.202787301
342,138.0,300.0,1.5,332.202787301
343,138.0,302.0,1.5,332.202787301
344,138.0,304.0,1.5,332.470020932
345,138.0,306.0,1.5,332.202787301
346,138.0,308.0,1.5,332.202787301
347,138.0,310.0,1.5,332.603396455
348,138.0,312.0,1.5,332.86966717
349,138.0,314.0,1.5,332.736611718
350,138.0,316.0,1.5,332.736611718
351,138.0,318.0,1.5,332.86966717
352,138.0,320.0,1.5,332.603396455
353,138.0,322.0,1.5,332.86966717
354,138.0,324.0,1.5,332.736611718
355,138.0,326.0,1.5,332.736611718
356,138.0,328.0,1.5,332.86966717
357,138.0,330.0,1.5,332.603396455
358,138.0,332.0,1.5,332.202787301
359,138.0,334.0,1.5,332.202787301
360,138.0,336.0,1.5,332.470020932
361,138.0,338.0,1.5,332.202787301
362,138.0,340.0,1.5,332.202787301
363,138.0,342.0,1.5,332.202787301
364,138.0,344.0,1.5,331.934907198
