,x,y,z,v
0,64.0,128.0,1.5,0.555
1,64.0,130.0,1.5,0.53
2,64.0,132.0,1.5,0.53
3,64.0,134.0,1.5,0.53
4,64.0,136.0,1.5,0.535
5,64.0,138.0,1.5,0.545
6,64.0,140.0,1.5,0.52
7,64.0,142.0,1.5,0.505
8,64.0,144.0,1.5,0.5
9,64.0,146.0,1.5,0.46
10,64.0,148.0,1.5,0.45
11,64.0,150.0,1.5,0.42
12,64.0,152.0,1.5,0.435
13,64.0,154.0,1.5,0.405
14,64.0,156.0,1.5,0.385
15,64.0,158.0,1.5,0.375
16,64.0,160.0,1.5,0.355
17,64.0,162.0,1.5,0.375
18,64.0,164.0,1.5,0.385
19,64.0,166.0,1.5,0.405
20,64.0,168.0,1.5,0.435
21,64.0,170.0,1.5,0.42
22,64.0,172.0,1.5,0.45
23,64.0,174.0,1.5,0.46
24,64.0,176.0,1.5,0.5
25,64.0,178.0,1.5,0.505
26,64.0,180.0,1.5,0.52
27,64.0,182.0,1.5,0.545
28,64.0,184.0,1.5,0.535
29,64.0,186.0,1.5,0.53
30,64.0,188.0,1.5,0.53
31,64.0,190.0,1.5,0.53
32,66.0,128.0,1.5,0.54
33,66.0,130.0,1.5,0.515
34,66.0,132.0,1.5,0.515
35,66.0,134.0,1.5,0.52
36,66.0,136.0,1.5,0.53
37,66.0,138.0,1.5,0.54
38,66.0,140.0,1.5,0.515
39,66.0,142.0,1.5,0.5
40,66.0,144.0,1.5,0.495
41,66.0,146.0,1.5,0.46
42,66.0,148.0,1.5,0.43
43,66.0,150.0,1.5,0.42
44,66.0,152.0,1.5,0.4
45,66.0,154.0,1.5,0.395
46,66.0,156.0,1.5,0.395
47,66.0,158.0,1.5,0.365
48,66.0,160.0,1.5,0.36
49,66.0,162.0,1.5,0.365
50,66.0,164.0,1.5,0.395
51,66.0,166.0,1.5,0.395
52,66.0,168.0,1.5,0.4
53,66.0,170.0,1.5,0.42
54,66.0,172.0,1.5,0.43
55,66.0,174.0,1.5,0.46
56,66.0,176.0,1.5,0.495
57,66.0,178.0,1.5,0.5
58,66.0,180.0,1.5,0.515
59,66.0,182.0,1.5,0.54
60,66.0,184.0,1.5,0.53
61,66.0,186.0,1.5,0.52
62,66.0,188.0,1.5,0.515
63,66.0,190.0,1.5,0.515
64,68.0,128.0,1.5,0.55
65,68.0,130.0,1.5,0.515
66,68.0,132.0,1.5,0.52
67,68.0,134.0,1.5,0.525
68,68.0,136.0,1.5,0.535
69,68.0,138.0,1.5,0.54
70,68.0,140.0,1.5,0.525
71,68.0,142.0,1.5,0.515
72,68.0,144.0,1.5,0.505
73,68.0,146.0,1.5,0.475
74,68.0,148.0,1.5,0.44
75,68.0,150.0,1.5,0.435
76,68.0,152.0,1.5,0.405
77,68.0,154.0,1.5,0.41
78,68.0,156.0,1.5,0.385
79,68.0,158.0,1.5,0.39
80,68.0,160.0,1.5,0.38
81,68.0,162.0,1.5,0.39
82,68.0,164.0,1.5,0.385
83,68.0,166.0,1.5,0.41
84,68.0,168.0,1.5,0.405
85,68.0,170.0,1.5,0.435
86,68.0,172.0,1.5,0.44
87,68.0,174.0,1.5,0.475
88,68.0,176.0,1.5,0.505
89,68.0,178.0,1.5,0.515
90,68.0,180.0,1.5,0.525
91,68.0,182.0,1.5,0.54
92,68.0,184.0,1.5,0.535
93,68.0,186.0,1.5,0.525
94,68.0,188.0,1.5,0.52
95,68.0,190.0,1.5,0.515
96,70.0,128.0,1.5,0.54
97,70.0,130.0,1.5,0.515
98,70.0,132.0,1.5,0.52
99,70.0,134.0,1.5,0.525
100,70.0,136.0,1.5,0.54
101,70.0,138.0,1.5,0.535
102,70.0,140.0,1.5,0.515
103,70.0,142.0,1.5,0.515
104,70.0,144.0,1.5,0.51
105,70.0,146.0,1.5,0.475
106,70.0,148.0,1.5,0.45
107,70.0,150.0,1.5,0.44
108,70.0,152.0,1.5,0.42
109,70.0,154.0,1.5,0.405
110,70.0,156.0,1.5,0.4
111,70.0,158.0,1.5,0.395
112,70.0,160.0,1.5,0.38
113,70.0,162.0,1.5,0.395
114,70.0,164.0,1.5,0.4
115,70.0,166.0,1.5,0.405
116,70.0,168.0,1.5,0.42
117,70.0,170.0,1.5,0.44
118,70.0,172.0,1.5,0.45
119,70.0,174.0,1.5,0.475
120,70.0,176.0,1.5,0.51
121,70.0,178.0,1.5,0.515
122,70.0,180.0,1.5,0.515
123,70.0,182.0,1.5,0.535
124,70.0,184.0,1.5,0.54
125,70.0,186.0,1.5,0.525
126,70.0,188.0,1.5,0.52
127,70.0,190.0,1.5,0.515
128,72.0,128.0,1.5,0.52
129,72.0,130.0,1.5,0.51
130,72.0,132.0,1.5,0.52
131,72.0,134.0,1.5,0.525
132,72.0,136.0,1.5,0.53
133,72.0,138.0,1.5,0.525
134,72.0,140.0,1.5,0.505
135,72.0,142.0,1.5,0.505
136,72.0,144.0,1.5,0.49
137,72.0,146.0,1.5,0.47
138,72.0,148.0,1.5,0.43
139,72.0,150.0,1.5,0.41
140,72.0,152.0,1.5,0.38
141,72.0,154.0,1.5,0.39
142,72.0,156.0,1.5,0.385
143,72.0,158.0,1.5,0.375
144,72.0,160.0,1.5,0.375
145,72.0,162.0,1.5,0.375
146,72.0,164.0,1.5,0.385
147,72.0,166.0,1.5,0.39
148,72.0,168.0,1.5,0.38
149,72.0,170.0,1.5,0.41
150,72.0,172.0,1.5,0.43
151,72.0,174.0,1.5,0.47
152,72.0,176.0,1.5,0.49
153,72.0,178.0,1.5,0.505
154,72.0,180.0,1.5,0.505
155,72.0,182.0,1.5,0.525
156,72.0,184.0,1.5,0.53
157,72.0,186.0,1.5,0.525
158,72.0,188.0,1.5,0.52
159,72.0,190.0,1.5,0.51
160,74.0,128.0,1.5,0.535
161,74.0,130.0,1.5,0.525
162,74.0,132.0,1.5,0.535
163,74.0,134.0,1.5,0.53
164,74.0,136.0,1.5,0.535
165,74.0,138.0,1.5,0.53
166,74.0,140.0,1.5,0.505
167,74.0,142.0,1.5,0.495
168,74.0,144.0,1.5,0.485
169,74.0,146.0,1.5,0.455
170,74.0,148.0,1.5,0.4
171,74.0,150.0,1.5,0.375
172,74.0,152.0,1.5,0.36
173,74.0,154.0,1.5,0.355
174,74.0,156.0,1.5,0.36
175,74.0,158.0,1.5,0.355
176,74.0,160.0,1.5,0.365
177,74.0,162.0,1.5,0.355
178,74.0,164.0,1.5,0.36
179,74.0,166.0,1.5,0.355
180,74.0,168.0,1.5,0.36
181,74.0,170.0,1.5,0.375
182,74.0,172.0,1.5,0.4
183,74.0,174.0,1.5,0.455
184,74.0,176.0,1.5,0.485
185,74.0,178.0,1.5,0.495
186,74.0,180.0,1.5,0.505
187,74.0,182.0,1.5,0.53
188,74.0,184.0,1.5,0.535
189,74.0,186.0,1.5,0.53
190,74.0,188.0,1.5,0.535
191,74.0,190.0,1.5,0.525
192,76.0,128.0,1.5,0.505
193,76.0,130.0,1.5,0.5
