,x,y,z,v
0,64.0,128.0,1.5,315.32098031
1,64.0,130.0,1.5,315.612563884
2,64.0,132.0,1.5,315.709708435
3,64.0,134.0,1.5,315.869687949
4,64.0,136.0,1.5,316.065694836
5,64.0,138.0,1.5,316.351857172
6,64.0,140.0,1.5,317.351062175
7,64.0,142.0,1.5,318.754468215
8,64.0,144.0,1.5,321.239290774
9,64.0,146.0,1.5,322.876353136
10,64.0,148.0,1.5,320.868521097
11,64.0,150.0,1.5,319.989701751
12,64.0,152.0,1.5,319.048823325
13,64.0,154.0,1.5,318.867419372
14,64.0,156.0,1.5,318.754009373
15,64.0,158.0,1.5,318.681348352
16,64.0,160.0,1.5,318.845747473
17,64.0,162.0,1.5,318.735324139
18,64.0,164.0,1.5,318.867685747
19,64.0,166.0,1.5,319.061579809
20,64.0,168.0,1.5,319.377433316
21,64.0,170.0,1.5,320.568909134
22,64.0,172.0,1.5,321.989769454
23,64.0,174.0,1.5,322.965554495
24,64.0,176.0,1.5,319.935054527
25,64.0,178.0,1.5,318.106197599
26,64.0,180.0,1.5,316.967773905
27,64.0,182.0,1.5,316.10593034
28,64.0,184.0,1.5,315.902388606
29,64.0,186.0,1.5,315.762868299
30,64.0,188.0,1.5,315.646561744
31,64.0,190.0,1.5,315.587449621
32,66.0,128.0,1.5,315.514474121
33,66.0,130.0,1.5,315.810365962
34,66.0,132.0,1.5,315.920132566
35,66.0,134.0,1.5,316.045770229
36,66.0,136.0,1.5,316.216121675
37,66.0,138.0,1.5,316.618789425
38,66.0,140.0,1.5,317.651523157
39,66.0,142.0,1.5,318.975024463
40,66.0,144.0,1.5,321.28462491
41,66.0,146.0,1.5,322.906463748
42,66.0,148.0,1.5,321.154886662
43,66.0,150.0,1.5,319.94074116
44,66.0,152.0,1.5,319.444578984
45,66.0,154.0,1.5,318.980561384
46,66.0,156.0,1.5,318.650952968
47,66.0,158.0,1.5,318.778635181
48,66.0,160.0,1.5,318.786210189
49,66.0,162.0,1.5,318.831224479
50,66.0,164.0,1.5,318.767041746
51,66.0,166.0,1.5,319.187301537
52,66.0,168.0,1.5,319.791335513
53,66.0,170.0,1.5,320.537677037
54,66.0,172.0,1.5,322.305135903
55,66.0,174.0,1.5,322.942410799
56,66.0,176.0,1.5,320.033641918
57,66.0,178.0,1.5,318.323205274
58,66.0,180.0,1.5,317.250494623
59,66.0,182.0,1.5,316.35436163
60,66.0,184.0,1.5,316.03762262
61,66.0,186.0,1.5,315.928480352
62,66.0,188.0,1.5,315.850612646
63,66.0,190.0,1.5,315.783175377
64,68.0,128.0,1.5,315.450644872
65,68.0,130.0,1.5,315.856175748
66,68.0,132.0,1.5,315.925291956
67,68.0,134.0,1.5,316.154126663
68,68.0,136.0,1.5,316.355283502
69,68.0,138.0,1.5,316.846866178
70,68.0,140.0,1.5,317.802337271
71,68.0,142.0,1.5,319.061893048
72,68.0,144.0,1.5,321.290294213
73,68.0,146.0,1.5,323.026851995
74,68.0,148.0,1.5,321.402826668
75,68.0,150.0,1.5,320.176736343
76,68.0,152.0,1.5,319.672567728
77,68.0,154.0,1.5,319.166964976
78,68.0,156.0,1.5,319.084555838
79,68.0,158.0,1.5,318.841664129
80,68.0,160.0,1.5,318.898070372
81,68.0,162.0,1.5,318.896371558
82,68.0,164.0,1.5,319.208491158
83,68.0,166.0,1.5,319.393987546
84,68.0,168.0,1.5,320.049165161
85,68.0,170.0,1.5,320.806468134
86,68.0,172.0,1.5,322.59740901
87,68.0,174.0,1.5,322.914444033
88,68.0,176.0,1.5,320.119936573
89,68.0,178.0,1.5,318.409124651
90,68.0,180.0,1.5,317.384430035
91,68.0,182.0,1.5,316.562029228
92,68.0,184.0,1.5,316.16234435
93,68.0,186.0,1.5,316.029851312
94,68.0,188.0,1.5,315.853291354
95,68.0,190.0,1.5,315.826054054
96,70.0,128.0,1.5,315.567758186
97,70.0,130.0,1.5,315.876687804
98,70.0,132.0,1.5,316.03654653
99,70.0,134.0,1.5,316.282503245
100,70.0,136.0,1.5,316.453958175
101,70.0,138.0,1.5,317.071608447
102,70.0,140.0,1.5,318.093844621
103,70.0,142.0,1.5,319.222211304
104,70.0,144.0,1.5,321.240530134
105,70.0,146.0,1.5,323.378943108
106,70.0,148.0,1.5,321.755470525
107,70.0,150.0,1.5,320.515966073
108,70.0,152.0,1.5,319.951269082
109,70.0,154.0,1.5,319.549822296
110,70.0,156.0,1.5,319.327772994
111,70.0,158.0,1.5,319.181470307
112,70.0,160.0,1.5,319.290765151
113,70.0,162.0,1.5,319.243632485
114,70.0,164.0,1.5,319.46623404
115,70.0,166.0,1.5,319.801475431
116,70.0,168.0,1.5,320.366115082
117,70.0,170.0,1.5,321.188269594
118,70.0,172.0,1.5,323.026911994
119,70.0,174.0,1.5,323.013253279
120,70.0,176.0,1.5,320.164602527
121,70.0,178.0,1.5,318.578092327
122,70.0,180.0,1.5,317.66878682
123,70.0,182.0,1.5,316.779541424
124,70.0,184.0,1.5,316.254301859
125,70.0,186.0,1.5,316.154580446
126,70.0,188.0,1.5,315.964251269
127,70.0,190.0,1.5,315.843693863
128,72.0,128.0,1.5,315.75993093
129,72.0,130.0,1.5,315.99822262
130,72.0,132.0,1.5,308.491838451
131,72.0,134.0,1.5,308.690588761
132,72.0,136.0,1.5,308.877186125
133,72.0,138.0,1.5,309.38408686
134,72.0,140.0,1.5,310.251008799
135,72.0,142.0,1.5,311.071598796
136,72.0,144.0,1.5,312.681888564
137,72.0,146.0,1.5,314.667732917
138,72.0,148.0,1.5,314.075097139
139,72.0,150.0,1.5,313.185606999
140,72.0,152.0,1.5,312.813845283
141,72.0,154.0,1.5,312.32699088
142,72.0,156.0,1.5,312.096496094
143,72.0,158.0,1.5,312.148334903
144,72.0,160.0,1.5,312.111744114
145,72.0,162.0,1.5,312.199989142
146,72.0,164.0,1.5,312.215902167
147,72.0,166.0,1.5,320.499240349
148,72.0,168.0,1.5,321.293016296
149,72.0,170.0,1.5,322.180173071
150,72.0,172.0,1.5,323.978217772
151,72.0,174.0,1.5,322.942280031
152,72.0,176.0,1.5,320.369084686
153,72.0,178.0,1.5,318.759433294
154,72.0,180.0,1.5,317.877935908
155,72.0,182.0,1.5,316.988839374
156,72.0,184.0,1.5,316.455037638
157,72.0,186.0,1.5,316.242546636
158,72.0,188.0,1.5,316.042378407
159,72.0,190.0,1.5,315.966183212
160,74.0,128.0,1.5,315.562549123
161,74.0,130.0,1.5,315.881108404
162,74.0,132.0,1.5,308.381465714
163,74.0,134.0,1.5,308.693197541
164,74.0,136.0,1.5,308.873245017
165,74.0,138.0,1.5,309.367652946
166,74.0,140.0,1.5,310.274298736
167,74.0,142.0,1.5,311.179624189
168,74.0,144.0,1.5,312.604442391
169,74.0,146.0,1.5,314.978341587
170,74.0,148.0,1.5,315.171133962
171,74.0,150.0,1.5,314.177538803
172,74.0,152.0,1.5,313.655981994
173,74.0,154.0,1.5,313.315372289
174,74.0,156.0,1.5,312.957389479
175,74.0,158.0,1.5,312.854978223
176,74.0,160.0,1.5,312.794286784
177,74.0,162.0,1.5,312.906136935
178,74.0,164.0,1.5,313.085811272
179,74.0,166.0,1.5,313.556999012
180,74.0,168.0,1.5,314.048205614
181,74.0,170.0,1.5,323.300280527
182,74.0,172.0,1.5,324.839423772
183,74.0,174.0,1.5,322.761708358
184,74.0,176.0,1.5,320.274113941
185,74.0,178.0,1.5,318.822892037
186,74.0,180.0,1.5,317.881833209
187,74.0,182.0,1.5,316.963834306
188,74.0,184.0,1.5,316.439180407
189,74.0,186.0,1.5,316.229881032
190,74.0,188.0,1.5,315.925915602
191,74.0,190.0,1.5,315.850975887
192,76.0,128.0,1.5,315.79442921
193,76.0,130.0,1.5,316.055820247
194,76.0,132.0,1.5,308.543688823
195,76.0,134.0,1.5,308.958001584
196,76.0,136.0,1.5,309.065210691
197,76.0,138.0,1.5,309.530674301
198,76.0,140.0,1.5,310.513155213
199,76.0,142.0,1.5,311.139438762
200,76.0,144.0,1.5,312.501644165
201,76.0,146.0,1.5,315.167529496
202,76.0,148.0,1.5,316.583428676
203,76.0,150.0,1.5,315.152248172
204,76.0,152.0,1.5,314.66716947
205,76.0,154.0,1.5,314.202819222
206,76.0,156.0,1.5,313.845936477
207,76.0,158.0,1.5,313.869137214
208,76.0,160.0,1.5,313.771335922
209,76.0,162.0,1.5,313.914788248
210,76.0,164.0,1.5,313.973066397
211,76.0,166.0,1.5,314.448408711
212,76.0,168.0,1.5,315.068989041
213,76.0,170.0,1.5,315.849394904
214,76.0,172.0,1.5,325.731831785
215,76.0,174.0,1.5,322.604619942
216,76.0,176.0,1.5,320.089255998
217,76.0,178.0,1.5,318.706136417
218,76.0,180.0,1.5,318.04053954
219,76.0,182.0,1.5,317.072340811
220,76.0,184.0,1.5,316.581084204
221,76.0,186.0,1.5,316.438929153
222,76.0,188.0,1.5,316.045163853
223,76.0,190.0,1.5,316.030139055
224,78.0,128.0,1.5,315.958714555
225,78.0,130.0,1.5,316.13308455
226,78.0,132.0,1.5,308.600741928
227,78.0,134.0,1.5,308.821770141
228,78.0,136.0,1.5,309.004541258
229,78.0,138.0,1.5,309.523230912
230,78.0,140.0,1.5,310.032555546
231,78.0,142.0,1.5,311.03504549
232,78.0,144.0,1.5,313.108518748
233,78.0,146.0,1.5,317.488962373
234,78.0,148.0,1.5,319.212378675
235,78.0,150.0,1.5,317.940573444
236,78.0,152.0,1.5,317.255734144
237,78.0,154.0,1.5,316.911397816
