,x,y,z,v
0,144.0,208.0,1.5,0.84
1,144.0,210.0,1.5,0.85
2,144.0,212.0,1.5,0.86
3,144.0,214.0,1.5,0.86
4,144.0,216.0,1.5,0.85
5,144.0,218.0,1.5,0.84
6,144.0,220.0,1.5,0.855
7,144.0,222.0,1.5,0.86
8,144.0,224.0,1.5,0.85
9,144.0,226.0,1.5,0.845
10,144.0,228.0,1.5,0.84
11,144.0,230.0,1.5,0.835
12,144.0,232.0,1.5,0.845
13,144.0,234.0,1.5,0.84
14,144.0,236.0,1.5,0.835
15,144.0,238.0,1.5,0.83
16,144.0,240.0,1.5,0.835
17,144.0,242.0,1.5,0.825
18,144.0,244.0,1.5,0.83
19,144.0,246.0,1.5,0.83
20,144.0,248.0,1.5,0.84
21,144.0,250.0,1.5,0.84
22,144.0,252.0,1.5,0.84
23,144.0,254.0,1.5,0.845
24,144.0,256.0,1.5,0.84
25,144.0,258.0,1.5,0.84
26,144.0,260.0,1.5,0.845
27,144.0,262.0,1.5,0.84
28,144.0,264.0,1.5,0.85
29,144.0,266.0,1.5,0.845
30,144.0,268.0,1.5,0.84
31,144.0,270.0,1.5,0.85
32,144.0,272.0,1.5,0.845
33,144.0,274.0,1.5,0.85
34,144.0,276.0,1.5,0.835
35,144.0,278.0,1.5,0.84
36,144.0,280.0,1.5,0.845
37,144.0,282.0,1.5,0.835
38,144.0,284.0,1.5,0.84
39,144.0,286.0,1.5,0.835
40,144.0,288.0,1.5,0.835
41,144.0,290.0,1.5,0.84
42,144.0,292.0,1.5,0.835
43,144.0,294.0,1.5,0.835
44,144.0,296.0,1.5,0.835
45,144.0,298.0,1.5,0.825
46,144.0,300.0,1.5,0.825
47,144.0,302.0,1.5,0.82
48,144.0,304.0,1.5,0.83
49,144.0,306.0,1.5,0.825
50,144.0,308.0,1.5,0.83
51,144.0,310.0,1.5,0.835
52,144.0,312.0,1.5,0.84
53,144.0,314.0,1.5,0.83
54,144.0,316.0,1.5,0.835
55,144.0,318.0,1.5,0.84
56,144.0,320.0,1.5,0.845
57,144.0,322.0,1.5,0.855
58,144.0,324.0,1.5,0.85
59,144.0,326.0,1.5,0.835
60,144.0,328.0,1.5,0.845
61,144.0,330.0,1.5,0.855
62,144.0,332.0,1.5,0.855
63,144.0,334.0,1.5,0.845
64,146.0,208.0,1.5,0.84
65,146.0,210.0,1.5,0.85
66,146.0,212.0,1.5,0.86
67,146.0,214.0,1.5,0.855
