,x,y,z,v
0,144.0,208.0,1.5,331.800723577
1,144.0,210.0,1.5,331.531866891
2,144.0,212.0,1.5,331.262354519
3,144.0,214.0,1.5,331.262354519
4,144.0,216.0,1.5,331.531866891
5,144.0,218.0,1.5,331.800723577
6,144.0,220.0,1.5,331.397192899
7,144.0,222.0,1.5,331.262354519
8,144.0,224.0,1.5,331.531866891
9,144.0,226.0,1.5,331.666376962
10,144.0,228.0,1.5,331.800723577
11,144.0,230.0,1.5,331.934907198
12,144.0,232.0,1.5,331.666376962
13,144.0,234.0,1.5,331.800723577
14,144.0,236.0,1.5,331.934907198
15,144.0,238.0,1.5,332.068928287
16,144.0,240.0,1.5,331.934907198
17,144.0,242.0,1.5,332.202787301
18,144.0,244.0,1.5,332.068928287
19,144.0,246.0,1.5,332.068928287
20,144.0,248.0,1.5,331.800723577
21,144.0,250.0,1.5,331.800723577
22,144.0,252.0,1.5,331.800723577
23,144.0,254.0,1.5,331.666376962
24,144.0,256.0,1.5,331.800723577
25,144.0,258.0,1.5,331.800723577
26,144.0,260.0,1.5,331.666376962
27,144.0,262.0,1.5,331.800723577
28,144.0,264.0,1.5,331.531866891
29,144.0,266.0,1.5,331.666376962
30,144.0,268.0,1.5,331.800723577
31,144.0,270.0,1.5,331.531866891
32,144.0,272.0,1.5,331.666376962
33,144.0,274.0,1.5,331.531866891
34,144.0,276.0,1.5,331.934907198
35,144.0,278.0,1.5,331.800723577
36,144.0,280.0,1.5,331.666376962
37,144.0,282.0,1.5,331.934907198
38,144.0,284.0,1.5,331.800723577
39,144.0,286.0,1.5,331.934907198
40,144.0,288.0,1.5,331.934907198
41,144.0,290.0,1.5,331.800723577
42,144.0,292.0,1.5,331.934907198
43,144.0,294.0,1.5,331.934907198
44,144.0,296.0,1.5,331.934907198
45,144.0,298.0,1.5,332.202787301
46,144.0,300.0,1.5,332.202787301
47,144.0,302.0,1.5,332.336484698
48,144.0,304.0,1.5,332.068928287
49,144.0,306.0,1.5,332.202787301
50,144.0,308.0,1.5,332.068928287
51,144.0,310.0,1.5,331.934907198
52,144.0,312.0,1.5,331.800723577
53,144.0,314.0,1.5,332.068928287
54,144.0,316.0,1.5,331.934907198
55,144.0,318.0,1.5,331.800723577
56,144.0,320.0,1.5,331.666376962
57,144.0,322.0,1.5,331.397192899
58,144.0,324.0,1.5,331.531866891
59,144.0,326.0,1.5,331.934907198
60,144.0,328.0,1.5,331.666376962
61,144.0,330.0,1.5,331.397192899
62,144.0,332.0,1.5,331.397192899
63,144.0,334.0,1.5,331.666376962
64,146.0,208.0,1.5,331.800723577
65,146.0,210.0,1.5,331.531866891
66,146.0,212.0,1.5,331.262354519
67,146.0,214.0,1.5,331.397192899
68,146.0,216.0,1.5,331.531866891
69,146.0,218.0,1.5,331.800723577
70,146.0,220.0,1.5,331.397192899
71,146.0,222.0,1.5,331.397192899
72,146.0,224.0,1.5,331.397192899
73,146.0,226.0,1.5,331.531866891
74,146.0,228.0,1.5,331.666376962
75,146.0,230.0,1.5,331.934907198
76,146.0,232.0,1.5,331.666376962
77,146.0,234.0,1.5,331.934907198
78,146.0,236.0,1.5,331.800723577
79,146.0,238.0,1.5,331.934907198
80,146.0,240.0,1.5,332.068928287
81,146.0,242.0,1.5,332.336484698
