,x,y,z,v
0,144.0,208.0,1.5,314.732673487
1,144.0,210.0,1.5,314.447978037
2,144.0,212.0,1.5,314.017625893
3,144.0,214.0,1.5,313.608547693
4,144.0,216.0,1.5,313.243597143
5,144.0,218.0,1.5,312.884556315
6,144.0,220.0,1.5,312.278704755
7,144.0,222.0,1.5,311.830923527
8,144.0,224.0,1.5,311.590416222
9,144.0,226.0,1.5,311.351816685
10,144.0,228.0,1.5,311.163005722
11,144.0,230.0,1.5,311.009134285
12,144.0,232.0,1.5,310.745875729
13,144.0,234.0,1.5,310.66346224
14,144.0,236.0,1.5,310.610734583
15,144.0,238.0,1.5,310.569700726
16,144.0,240.0,1.5,310.464211927
17,144.0,242.0,1.5,310.513474817
18,144.0,244.0,1.5,310.43796917
19,144.0,246.0,1.5,310.41872053
20,144.0,248.0,1.5,310.301675714
21,144.0,250.0,1.5,310.298443995
22,144.0,252.0,1.5,310.300301522
23,144.0,254.0,1.5,310.261970125
24,144.0,256.0,1.5,310.327837981
25,144.0,258.0,1.5,310.346198579
26,144.0,260.0,1.5,310.320525253
27,144.0,262.0,1.5,310.398013597
28,144.0,264.0,1.5,310.32353158
29,144.0,266.0,1.5,310.387644519
30,144.0,268.0,1.5,310.44345718
31,144.0,270.0,1.5,310.347176794
32,144.0,272.0,1.5,310.400243313
33,144.0,274.0,1.5,310.347570326
34,144.0,276.0,1.5,310.483075281
35,144.0,278.0,1.5,310.41707134
36,144.0,280.0,1.5,310.348147358
37,144.0,282.0,1.5,310.424480203
38,144.0,284.0,1.5,310.35810163
39,144.0,286.0,1.5,310.391862173
40,144.0,288.0,1.5,310.379753596
41,144.0,290.0,1.5,310.32084111
42,144.0,292.0,1.5,310.360464779
43,144.0,294.0,1.5,310.357817166
44,144.0,296.0,1.5,310.367079123
45,144.0,298.0,1.5,310.475283161
46,144.0,300.0,1.5,310.497132499
47,144.0,302.0,1.5,310.581788894
48,144.0,304.0,1.5,310.53801308
49,144.0,306.0,1.5,310.659317138
50,144.0,308.0,1.5,310.712724699
51,144.0,310.0,1.5,310.786007438
52,144.0,312.0,1.5,310.887611824
53,144.0,314.0,1.5,311.167351774
54,144.0,316.0,1.5,311.338858538
55,144.0,318.0,1.5,311.537958017
56,144.0,320.0,1.5,311.791287788
57,144.0,322.0,1.5,312.053924883
58,144.0,324.0,1.5,312.527801761
59,144.0,326.0,1.5,313.148111237
60,144.0,328.0,1.5,313.522582649
61,144.0,330.0,1.5,313.877855717
62,144.0,332.0,1.5,314.259213662
63,144.0,334.0,1.5,314.62439714
64,146.0,208.0,1.5,314.2982658
65,146.0,210.0,1.5,314.0493101
66,146.0,212.0,1.5,313.670528013
67,146.0,214.0,1.5,313.380225873
68,146.0,216.0,1.5,313.030762388
69,146.0,218.0,1.5,312.719494151
70,146.0,220.0,1.5,312.161573273
71,146.0,222.0,1.5,311.806556371
72,146.0,224.0,1.5,311.490674879
73,146.0,226.0,1.5,311.274312848
74,146.0,228.0,1.5,311.100999589
75,146.0,230.0,1.5,311.01019986
76,146.0,232.0,1.5,310.758157891
77,146.0,234.0,1.5,310.734640876
78,146.0,236.0,1.5,310.592417715
79,146.0,238.0,1.5,310.560512698
80,146.0,240.0,1.5,310.558971401
81,146.0,242.0,1.5,310.613414283
82,146.0,244.0,1.5,310.540359317
83,146.0,246.0,1.5,310.52734727
84,146.0,248.0,1.5,310.41235619
85,146.0,250.0,1.5,310.465658599
86,146.0,252.0,1.5,310.423067033
87,146.0,254.0,1.5,310.389052362
88,146.0,256.0,1.5,310.508853167
89,146.0,258.0,1.5,310.580973694
90,146.0,260.0,1.5,310.555470437
91,146.0,262.0,1.5,310.539825259
92,146.0,264.0,1.5,310.467398873
93,146.0,266.0,1.5,310.434240266
94,146.0,268.0,1.5,310.444183493
95,146.0,270.0,1.5,310.494930686
96,146.0,272.0,1.5,310.500209117
97,146.0,274.0,1.5,310.495868358
98,146.0,276.0,1.5,310.435534393
99,146.0,278.0,1.5,310.416351473
100,146.0,280.0,1.5,310.445680362
101,146.0,282.0,1.5,310.51790625
102,146.0,284.0,1.5,310.59264894
103,146.0,286.0,1.5,310.623676741
104,146.0,288.0,1.5,310.558100542
105,146.0,290.0,1.5,310.448493164
106,146.0,292.0,1.5,310.484288204
107,146.0,294.0,1.5,310.523704125
108,146.0,296.0,1.5,310.526145695
109,146.0,298.0,1.5,310.630767454
110,146.0,300.0,1.5,310.647825403
111,146.0,302.0,1.5,310.729258816
112,146.0,304.0,1.5,310.678293023
113,146.0,306.0,1.5,310.693463885
114,146.0,308.0,1.5,310.734934832
115,146.0,310.0,1.5,310.901593839
116,146.0,312.0,1.5,310.945260408
117,146.0,314.0,1.5,311.212811806
118,146.0,316.0,1.5,311.317800628
119,146.0,318.0,1.5,311.503072929
120,146.0,320.0,1.5,311.730466141
121,146.0,322.0,1.5,312.061643182
122,146.0,324.0,1.5,312.441264414
123,146.0,326.0,1.5,313.00716506
124,146.0,328.0,1.5,313.325736493
125,146.0,330.0,1.5,313.675966099
126,146.0,332.0,1.5,313.946213891
127,146.0,334.0,1.5,314.202878978
128,148.0,208.0,1.5,313.981360606
129,148.0,210.0,1.5,313.705148554
130,148.0,212.0,1.5,313.479531208
131,148.0,214.0,1.5,313.181873884
132,148.0,216.0,1.5,312.877006766
133,148.0,218.0,1.5,312.510437854
134,148.0,220.0,1.5,312.048799232
135,148.0,222.0,1.5,311.780108359
136,148.0,224.0,1.5,311.491265462
137,148.0,226.0,1.5,311.344076989
138,148.0,228.0,1.5,311.135323244
139,148.0,230.0,1.5,311.008729727
140,148.0,232.0,1.5,310.718310224
141,148.0,234.0,1.5,310.657499825
142,148.0,236.0,1.5,310.57256066
143,148.0,238.0,1.5,310.549444869
144,148.0,240.0,1.5,310.507616416
145,148.0,242.0,1.5,310.520091126
146,148.0,244.0,1.5,310.548104743
147,148.0,246.0,1.5,310.540758565
148,148.0,248.0,1.5,310.482174949
149,148.0,250.0,1.5,310.443573766
150,148.0,252.0,1.5,310.455607584
151,148.0,254.0,1.5,310.525520366
152,148.0,256.0,1.5,310.553477896
153,148.0,258.0,1.5,310.630414776
154,148.0,260.0,1.5,310.656374217
155,148.0,262.0,1.5,310.596429004
156,148.0,264.0,1.5,310.672269749
157,148.0,266.0,1.5,310.542282034
158,148.0,268.0,1.5,310.506084921
159,148.0,270.0,1.5,310.608145828
160,148.0,272.0,1.5,310.613039719
161,148.0,274.0,1.5,310.606731423
162,148.0,276.0,1.5,310.496123001
163,148.0,278.0,1.5,310.526827876
164,148.0,280.0,1.5,310.651604488
165,148.0,282.0,1.5,310.573460641
166,148.0,284.0,1.5,310.643482592
167,148.0,286.0,1.5,310.619778375
168,148.0,288.0,1.5,310.551463772
169,148.0,290.0,1.5,310.534252124
170,148.0,292.0,1.5,310.51764683
171,148.0,294.0,1.5,310.501758439
172,148.0,296.0,1.5,310.591900385
173,148.0,298.0,1.5,310.643019492
174,148.0,300.0,1.5,310.654600109
175,148.0,302.0,1.5,310.634196518
176,148.0,304.0,1.5,310.623923057
177,148.0,306.0,1.5,310.680442756
178,148.0,308.0,1.5,310.707458169
179,148.0,310.0,1.5,310.816009976
180,148.0,312.0,1.5,310.899521389
181,148.0,314.0,1.5,311.203878995
182,148.0,316.0,1.5,311.342380749
183,148.0,318.0,1.5,311.563705991
184,148.0,320.0,1.5,311.722544773
185,148.0,322.0,1.5,312.021950463
186,148.0,324.0,1.5,312.309980502
187,148.0,326.0,1.5,312.779015166
188,148.0,328.0,1.5,313.14958749
189,148.0,330.0,1.5,313.445514111
190,148.0,332.0,1.5,313.726911739
191,148.0,334.0,1.5,313.889606623
192,150.0,208.0,1.5,313.534349786
193,150.0,210.0,1.5,313.391716302
194,150.0,212.0,1.5,313.207295848
195,150.0,214.0,1.5,312.943161098
196,150.0,216.0,1.5,312.681095213
197,150.0,218.0,1.5,312.305883231
198,150.0,220.0,1.5,311.994300253
199,150.0,222.0,1.5,311.805521868
200,150.0,224.0,1.5,311.591425511
201,150.0,226.0,1.5,311.311006046
202,150.0,228.0,1.5,311.117487658
203,150.0,230.0,1.5,310.956815138
204,150.0,232.0,1.5,310.77644192
205,150.0,234.0,1.5,310.628854678
206,150.0,236.0,1.5,310.599822394
207,150.0,238.0,1.5,310.589168496
208,150.0,240.0,1.5,310.551648427
209,150.0,242.0,1.5,310.573901299
210,150.0,244.0,1.5,310.558768723
211,150.0,246.0,1.5,310.558327045
212,150.0,248.0,1.5,310.555728665
213,150.0,250.0,1.5,310.622183294
214,150.0,252.0,1.5,310.643503291
215,150.0,254.0,1.5,310.572553882
216,150.0,256.0,1.5,310.753591434
217,150.0,258.0,1.5,310.839517974
218,150.0,260.0,1.5,310.820924072
219,150.0,262.0,1.5,310.862764285
220,150.0,264.0,1.5,310.8917254
221,150.0,266.0,1.5,310.815395123
222,150.0,268.0,1.5,310.781858477
223,150.0,270.0,1.5,310.787656192
224,150.0,272.0,1.5,310.740651187
225,150.0,274.0,1.5,310.782044717
226,150.0,276.0,1.5,310.769774332
227,150.0,278.0,1.5,310.802103052
228,150.0,280.0,1.5,310.87423538
229,150.0,282.0,1.5,310.839751718
230,150.0,284.0,1.5,310.804793873
231,150.0,286.0,1.5,310.823413037
232,150.0,288.0,1.5,310.748561931
233,150.0,290.0,1.5,310.579472928
234,150.0,292.0,1.5,310.653599991
235,150.0,294.0,1.5,310.632912964
236,150.0,296.0,1.5,310.614936655
237,150.0,298.0,1.5,310.609721471
238,150.0,300.0,1.5,310.615413385
239,150.0,302.0,1.5,310.683839458
240,150.0,304.0,1.5,310.667608412
241,150.0,306.0,1.5,310.714970771
242,150.0,308.0,1.5,310.731541132
243,150.0,310.0,1.5,310.777252202
244,150.0,312.0,1.5,310.949725924
245,150.0,314.0,1.5,311.14271239
246,150.0,316.0,1.5,311.314068671
247,150.0,318.0,1.5,311.519756349
248,150.0,320.0,1.5,311.810891808
249,150.0,322.0,1.5,312.036248572
250,150.0,324.0,1.5,312.239557209
251,150.0,326.0,1.5,312.557993997
252,150.0,328.0,1.5,312.939689891
253,150.0,330.0,1.5,313.18338159
254,150.0,332.0,1.5,313.420742887
255,150.0,334.0,1.5,313.557885093
256,152.0,208.0,1.5,313.241676057
257,152.0,210.0,1.5,313.27736063
258,152.0,212.0,1.5,313.063070491
259,152.0,214.0,1.5,312.778332115
260,152.0,216.0,1.5,312.556689842
261,152.0,218.0,1.5,312.267069783
262,152.0,220.0,1.5,311.887641613
263,152.0,222.0,1.5,311.725771638
264,152.0,224.0,1.5,311.533736118
265,152.0,226.0,1.5,311.324399176
266,152.0,228.0,1.5,311.24732853
267,152.0,230.0,1.5,311.05179959
268,152.0,232.0,1.5,310.78680394
269,152.0,234.0,1.5,310.746556891
270,152.0,236.0,1.5,310.62768078
271,152.0,238.0,1.5,310.724153586
272,152.0,240.0,1.5,310.647286686
273,152.0,242.0,1.5,310.678561177
274,152.0,244.0,1.5,310.767959851
275,152.0,246.0,1.5,310.77435356
276,152.0,248.0,1.5,310.783043875
277,152.0,250.0,1.5,310.663016098
278,152.0,252.0,1.5,310.840364735
279,152.0,254.0,1.5,310.778788393
280,152.0,256.0,1.5,310.820532623
281,152.0,258.0,1.5,310.964330544
282,152.0,260.0,1.5,311.052467476
283,152.0,262.0,1.5,311.097870847
284,152.0,264.0,1.5,311.180865781
285,152.0,266.0,1.5,311.108273236
286,152.0,268.0,1.5,310.979135333
287,152.0,270.0,1.5,310.989073676
288,152.0,272.0,1.5,310.889698316
289,152.0,274.0,1.5,310.978790414
290,152.0,276.0,1.5,310.964399039
