,x,y,z,v
0,80.0,112.0,1.5,481.676721964
1,80.0,114.0,1.5,481.676721964
2,80.0,116.0,1.5,477.641753804
3,80.0,118.0,1.5,473.606785644
4,80.0,120.0,1.5,473.606785644
5,80.0,122.0,1.5,473.606785644
6,80.0,124.0,1.5,472.261796257
7,80.0,126.0,1.5,472.261796257
8,80.0,128.0,1.5,466.88183871
9,80.0,130.0,1.5,473.606785644
10,80.0,132.0,1.5,468.226828097
11,80.0,134.0,1.5,468.226828097
12,80.0,136.0,1.5,466.88183871
13,80.0,138.0,1.5,474.95177503
14,80.0,140.0,1.5,474.95177503
15,80.0,142.0,1.5,476.296764417
16,80.0,144.0,1.5,476.296764417
17,80.0,146.0,1.5,476.296764417
18,80.0,148.0,1.5,474.95177503
19,80.0,150.0,1.5,474.95177503
20,80.0,152.0,1.5,466.88183871
21,80.0,154.0,1.5,468.226828097
22,80.0,156.0,1.5,468.226828097
23,80.0,158.0,1.5,473.606785644
24,80.0,160.0,1.5,466.88183871
25,80.0,162.0,1.5,472.261796257
26,80.0,164.0,1.5,472.261796257
27,80.0,166.0,1.5,473.606785644
28,80.0,168.0,1.5,473.606785644
29,80.0,170.0,1.5,474.95177503
30,80.0,172.0,1.5,478.98674319
31,80.0,174.0,1.5,483.02171135
32,82.0,112.0,1.5,480.331732577
33,82.0,114.0,1.5,477.641753804
34,82.0,116.0,1.5,473.606785644
35,82.0,118.0,1.5,473.606785644
36,82.0,120.0,1.5,470.91680687
37,82.0,122.0,1.5,470.91680687
38,82.0,124.0,1.5,470.91680687
39,82.0,126.0,1.5,469.571817484
40,82.0,128.0,1.5,468.226828097
41,82.0,130.0,1.5,474.95177503
42,82.0,132.0,1.5,476.296764417
43,82.0,134.0,1.5,470.91680687
44,82.0,136.0,1.5,478.98674319
45,82.0,138.0,1.5,480.331732577
46,82.0,140.0,1.5,480.331732577
47,82.0,142.0,1.5,484.366700737
48,82.0,144.0,1.5,480.331732577
49,82.0,146.0,1.5,484.366700737
50,82.0,148.0,1.5,480.331732577
51,82.0,150.0,1.5,480.331732577
52,82.0,152.0,1.5,478.98674319
53,82.0,154.0,1.5,470.91680687
54,82.0,156.0,1.5,476.296764417
55,82.0,158.0,1.5,474.95177503
56,82.0,160.0,1.5,468.226828097
57,82.0,162.0,1.5,469.571817484
58,82.0,164.0,1.5,470.91680687
59,82.0,166.0,1.5,470.91680687
60,82.0,168.0,1.5,470.91680687
61,82.0,170.0,1.5,473.606785644
62,82.0,172.0,1.5,473.606785644
63,82.0,174.0,1.5,477.641753804
64,84.0,112.0,1.5,470.91680687
65,84.0,114.0,1.5,468.226828097
66,84.0,116.0,1.5,466.88183871
67,84.0,118.0,1.5,464.191859937
68,84.0,120.0,1.5,466.88183871
69,84.0,122.0,1.5,466.88183871
70,84.0,124.0,1.5,469.571817484
71,84.0,126.0,1.5,465.536849323
72,84.0,128.0,1.5,466.88183871
73,84.0,130.0,1.5,473.606785644
74,84.0,132.0,1.5,474.95177503
75,84.0,134.0,1.5,474.95177503
76,84.0,136.0,1.5,484.366700737
77,84.0,138.0,1.5,487.05667951
78,84.0,140.0,1.5,489.746658284
79,84.0,142.0,1.5,488.401668897
80,84.0,144.0,1.5,483.02171135
81,84.0,146.0,1.5,488.401668897
82,84.0,148.0,1.5,489.746658284
83,84.0,150.0,1.5,487.05667951
84,84.0,152.0,1.5,484.366700737
85,84.0,154.0,1.5,474.95177503
86,84.0,156.0,1.5,474.95177503
87,84.0,158.0,1.5,473.606785644
88,84.0,160.0,1.5,466.88183871
89,84.0,162.0,1.5,465.536849323
90,84.0,164.0,1.5,469.571817484
91,84.0,166.0,1.5,466.88183871
92,84.0,168.0,1.5,466.88183871
93,84.0,170.0,1.5,465.536849323
94,84.0,172.0,1.5,468.226828097
95,84.0,174.0,1.5,469.571817484
96,86.0,112.0,1.5,462.84687055
97,86.0,114.0,1.5,464.191859937
98,86.0,116.0,1.5,464.191859937
99,86.0,118.0,1.5,462.84687055
100,86.0,120.0,1.5,462.84687055
101,86.0,122.0,1.5,462.84687055
102,86.0,124.0,1.5,469.571817484
103,86.0,126.0,1.5,465.536849323
104,86.0,128.0,1.5,464.191859937
105,86.0,130.0,1.5,473.606785644
106,86.0,132.0,1.5,477.641753804
107,86.0,134.0,1.5,481.676721964
108,86.0,136.0,1.5,485.711690124
109,86.0,138.0,1.5,492.436637057
110,86.0,140.0,1.5,492.436637057
111,86.0,142.0,1.5,493.781626444
112,86.0,144.0,1.5,493.781626444
113,86.0,146.0,1.5,493.781626444
114,86.0,148.0,1.5,492.436637057
115,86.0,150.0,1.5,492.436637057
116,86.0,152.0,1.5,485.711690124
117,86.0,154.0,1.5,481.676721964
118,86.0,156.0,1.5,477.641753804
119,86.0,158.0,1.5,473.606785644
120,86.0,160.0,1.5,465.536849323
121,86.0,162.0,1.5,466.88183871
122,86.0,164.0,1.5,470.91680687
123,86.0,166.0,1.5,464.191859937
124,86.0,168.0,1.5,464.191859937
125,86.0,170.0,1.5,464.191859937
126,86.0,172.0,1.5,465.536849323
127,86.0,174.0,1.5,465.536849323
128,88.0,112.0,1.5,462.84687055
129,88.0,114.0,1.5,468.226828097
130,88.0,116.0,1.5,468.226828097
131,88.0,118.0,1.5,466.88183871
132,88.0,120.0,1.5,468.226828097
133,88.0,122.0,1.5,469.571817484
134,88.0,124.0,1.5,472.261796257
135,88.0,126.0,1.5,468.226828097
136,88.0,128.0,1.5,470.91680687
137,88.0,130.0,1.5,476.296764417
138,88.0,132.0,1.5,485.711690124
139,88.0,134.0,1.5,489.746658284
140,88.0,136.0,1.5,493.781626444
141,88.0,138.0,1.5,496.471605217
142,88.0,140.0,1.5,495.12661583
143,88.0,142.0,1.5,501.851562764
144,88.0,144.0,1.5,503.19655215
145,88.0,146.0,1.5,501.851562764
146,88.0,148.0,1.5,495.12661583
147,88.0,150.0,1.5,496.471605217
148,88.0,152.0,1.5,495.12661583
149,88.0,154.0,1.5,491.09164767
150,88.0,156.0,1.5,487.05667951
151,88.0,158.0,1.5,477.641753804
152,88.0,160.0,1.5,472.261796257
153,88.0,162.0,1.5,469.571817484
154,88.0,164.0,1.5,473.606785644
155,88.0,166.0,1.5,470.91680687
156,88.0,168.0,1.5,469.571817484
157,88.0,170.0,1.5,468.226828097
158,88.0,172.0,1.5,469.571817484
159,88.0,174.0,1.5,469.571817484
160,90.0,112.0,1.5,457.466913003
161,90.0,114.0,1.5,466.88183871
162,90.0,116.0,1.5,462.84687055
163,90.0,118.0,1.5,466.88183871
164,90.0,120.0,1.5,466.88183871
165,90.0,122.0,1.5,469.571817484
166,90.0,124.0,1.5,473.606785644
167,90.0,126.0,1.5,468.226828097
168,90.0,128.0,1.5,473.606785644
169,90.0,130.0,1.5,485.711690124
170,90.0,132.0,1.5,497.816594604
171,90.0,134.0,1.5,500.506573377
172,90.0,136.0,1.5,503.19655215
173,90.0,138.0,1.5,507.23152031
174,90.0,140.0,1.5,507.23152031
175,90.0,142.0,1.5,505.886530924
176,90.0,144.0,1.5,507.23152031
177,90.0,146.0,1.5,507.23152031
178,90.0,148.0,1.5,508.576509697
179,90.0,150.0,1.5,508.576509697
180,90.0,152.0,1.5,504.541541537
181,90.0,154.0,1.5,501.851562764
182,90.0,156.0,1.5,499.16158399
183,90.0,158.0,1.5,487.05667951
184,90.0,160.0,1.5,474.95177503
185,90.0,162.0,1.5,469.571817484
186,90.0,164.0,1.5,474.95177503
187,90.0,166.0,1.5,470.91680687
188,90.0,168.0,1.5,468.226828097
189,90.0,170.0,1.5,468.226828097
190,90.0,172.0,1.5,464.191859937
191,90.0,174.0,1.5,468.226828097
192,92.0,112.0,1.5,462.84687055
193,92.0,114.0,1.5,470.91680687
194,92.0,116.0,1.5,469.571817484
195,92.0,118.0,1.5,473.606785644
196,92.0,120.0,1.5,472.261796257
197,92.0,122.0,1.5,477.641753804
198,92.0,124.0,1.5,481.676721964
199,92.0,126.0,1.5,471.681745605
200,92.0,128.0,1.5,476.4816525
201,92.0,130.0,1.5,491.751449163
202,92.0,132.0,1.5,510.291275251
203,92.0,134.0,1.5,506.256307091
204,92.0,136.0,1.5,511.636264637
205,92.0,138.0,1.5,512.981254024
206,92.0,140.0,1.5,510.291275251
207,92.0,142.0,1.5,514.326243411
208,92.0,144.0,1.5,515.671232797
209,92.0,146.0,1.5,514.326243411
210,92.0,148.0,1.5,510.291275251
211,92.0,150.0,1.5,512.981254024
212,92.0,152.0,1.5,511.636264637
213,92.0,154.0,1.5,506.256307091
214,92.0,156.0,1.5,511.636264637
215,92.0,158.0,1.5,493.09643855
216,92.0,160.0,1.5,477.826641887
217,92.0,162.0,1.5,473.026734992
218,92.0,164.0,1.5,483.02171135
219,92.0,166.0,1.5,478.98674319
220,92.0,168.0,1.5,473.606785644
221,92.0,170.0,1.5,474.95177503
222,92.0,172.0,1.5,470.91680687
223,92.0,174.0,1.5,472.261796257
224,94.0,112.0,1.5,465.536849323
225,94.0,114.0,1.5,466.88183871
226,94.0,116.0,1.5,470.91680687
227,94.0,118.0,1.5,470.91680687
228,94.0,120.0,1.5,472.261796257
229,94.0,122.0,1.5,480.331732577
230,94.0,124.0,1.5,478.116667213
231,94.0,126.0,1.5,476.191627175
232,94.0,128.0,1.5,487.716481003
233,94.0,130.0,1.5,528.251050687
234,94.0,132.0,1.5,535.740936355
235,94.0,134.0,1.5,532.760932256
236,94.0,136.0,1.5,532.760932256
237,94.0,138.0,1.5,535.45091103
238,94.0,140.0,1.5,534.105921643
239,94.0,142.0,1.5,538.140889803
240,94.0,144.0,1.5,536.795900416
241,94.0,146.0,1.5,538.140889803
242,94.0,148.0,1.5,534.105921643
243,94.0,150.0,1.5,535.45091103
244,94.0,152.0,1.5,532.760932256
245,94.0,154.0,1.5,532.760932256
246,94.0,156.0,1.5,535.740936355
247,94.0,158.0,1.5,528.251050687
248,94.0,160.0,1.5,487.716481003
249,94.0,162.0,1.5,476.191627175
250,94.0,164.0,1.5,479.4616566
251,94.0,166.0,1.5,481.676721964
252,94.0,168.0,1.5,473.606785644
253,94.0,170.0,1.5,472.261796257
254,94.0,172.0,1.5,472.261796257
255,94.0,174.0,1.5,468.226828097
256,96.0,112.0,1.5,465.536849323
257,96.0,114.0,1.5,469.571817484
258,96.0,116.0,1.5,470.91680687
259,96.0,118.0,1.5,469.571817484
260,96.0,120.0,1.5,472.261796257
261,96.0,122.0,1.5,477.641753804
262,96.0,124.0,1.5,478.881605948
263,96.0,126.0,1.5,485.02650223
264,96.0,162.0,1.5,485.02650223
265,96.0,164.0,1.5,478.881605948
266,96.0,166.0,1.5,477.641753804
267,96.0,168.0,1.5,472.261796257
268,96.0,170.0,1.5,469.571817484
269,96.0,172.0,1.5,470.91680687
270,96.0,174.0,1.5,470.91680687
271,98.0,112.0,1.5,470.91680687
272,98.0,114.0,1.5,477.641753804
273,98.0,116.0,1.5,483.02171135
274,98.0,118.0,1.5,481.676721964
275,98.0,120.0,1.5,485.711690124
276,98.0,122.0,1.5,489.746658284
277,98.0,124.0,1.5,498.476396096
278,98.0,126.0,1.5,525.561071914
279,98.0,162.0,1.5,526.9060613
280,98.0,164.0,1.5,499.821385483
281,98.0,166.0,1.5,491.09164767
282,98.0,168.0,1.5,487.05667951
283,98.0,170.0,1.5,481.676721964
284,98.0,172.0,1.5,483.02171135
285,98.0,174.0,1.5,477.641753804
286,100.0,112.0,1.5,481.676721964
287,100.0,114.0,1.5,483.02171135
288,100.0,116.0,1.5,489.746658284
289,100.0,118.0,1.5,485.711690124
290,100.0,120.0,1.5,492.436637057
291,100.0,122.0,1.5,504.541541537
292,100.0,124.0,1.5,507.311271152
293,100.0,126.0,1.5,537.085925742
294,100.0,162.0,1.5,538.430915129
295,100.0,164.0,1.5,508.656260538
296,100.0,166.0,1.5,505.886530924
297,100.0,168.0,1.5,493.781626444
298,100.0,170.0,1.5,487.05667951
299,100.0,172.0,1.5,492.436637057
300,100.0,174.0,1.5,485.711690124
301,102.0,112.0,1.5,492.436637057
302,102.0,114.0,1.5,491.09164767
303,102.0,116.0,1.5,492.436637057
304,102.0,118.0,1.5,491.09164767
305,102.0,120.0,1.5,499.16158399
306,102.0,122.0,1.5,509.921499084
307,102.0,124.0,1.5,512.691228698
308,102.0,126.0,1.5,543.52084735
309,102.0,162.0,1.5,544.865836736
310,102.0,164.0,1.5,514.036218085
311,102.0,166.0,1.5,509.921499084
312,102.0,168.0,1.5,500.506573377
313,102.0,170.0,1.5,492.436637057
314,102.0,172.0,1.5,493.781626444
315,102.0,174.0,1.5,492.436637057
316,104.0,112.0,1.5,493.781626444
317,104.0,114.0,1.5,499.16158399
318,104.0,116.0,1.5,500.506573377
319,104.0,118.0,1.5,496.471605217
320,104.0,120.0,1.5,507.23152031
321,104.0,122.0,1.5,509.921499084
322,104.0,124.0,1.5,516.726196858
323,104.0,126.0,1.5,547.55581551
324,104.0,162.0,1.5,547.55581551
325,104.0,164.0,1.5,518.071186245
326,104.0,166.0,1.5,511.266488471
327,104.0,168.0,1.5,508.576509697
328,104.0,170.0,1.5,497.816594604
329,104.0,172.0,1.5,501.851562764
330,104.0,174.0,1.5,499.16158399
331,106.0,112.0,1.5,493.781626444
332,106.0,114.0,1.5,497.816594604
333,106.0,116.0,1.5,499.16158399
334,106.0,118.0,1.5,501.851562764
335,106.0,120.0,1.5,505.886530924
