,x,y,z,v
0,16.5,32.5,1.5,300.077926257
1,16.5,33.5,1.5,298.027354501
2,16.5,34.5,1.5,295.423491834
3,16.5,35.5,1.5,301.555809694
4,16.5,36.5,1.5,299.587022708
5,16.5,37.5,1.5,301.680485319
6,16.5,38.5,1.5,297.45449087
7,16.5,39.5,1.5,301.693651695
8,16.5,40.5,1.5,301.475732358
9,16.5,41.5,1.5,297.578411445
10,16.5,42.5,1.5,302.14157503
11,16.5,43.5,1.5,300.181575902
12,16.5,44.5,1.5,302.445978581
13,16.5,45.5,1.5,295.822232213
14,16.5,46.5,1.5,297.682054958
15,16.5,47.5,1.5,299.9925623
16,17.5,32.5,1.5,297.883129231
17,17.5,33.5,1.5,301.437632085
18,17.5,34.5,1.5,299.984377092
19,17.5,35.5,1.5,304.101866151
20,17.5,36.5,1.5,296.901734369
21,17.5,37.5,1.5,301.688568101
22,17.5,38.5,1.5,303.952136993
23,17.5,39.5,1.5,310.253471443
24,17.5,40.5,1.5,310.193967461
25,17.5,41.5,1.5,303.82526999
26,17.5,42.5,1.5,302.315397042
27,17.5,43.5,1.5,297.994841045
28,17.5,44.5,1.5,304.516080858
29,17.5,45.5,1.5,300.280563527
30,17.5,46.5,1.5,302.313733334
31,17.5,47.5,1.5,297.911158375
32,18.5,32.5,1.5,297.908308261
33,18.5,33.5,1.5,302.232025942
34,18.5,34.5,1.5,295.027540791
35,18.5,35.5,1.5,301.96558525
36,18.5,36.5,1.5,301.322031418
37,18.5,37.5,1.5,301.018770266
38,18.5,38.5,1.5,304.980006782
39,18.5,39.5,1.5,310.289373446
40,18.5,40.5,1.5,311.079157264
41,18.5,41.5,1.5,306.347469003
42,18.5,42.5,1.5,302.004367432
43,18.5,43.5,1.5,301.940415598
44,18.5,44.5,1.5,302.140432021
45,18.5,45.5,1.5,295.518385745
46,18.5,46.5,1.5,302.258144205
47,18.5,47.5,1.5,297.807013648
48,19.5,32.5,1.5,306.248282416
49,19.5,33.5,1.5,308.718497111
50,19.5,34.5,1.5,304.247420315
51,19.5,35.5,1.5,305.217318003
52,19.5,36.5,1.5,304.777007617
53,19.5,37.5,1.5,311.829632695
54,19.5,38.5,1.5,318.532479696
55,19.5,39.5,1.5,324.005004988
56,19.5,40.5,1.5,324.863787821
57,19.5,41.5,1.5,320.401514064
58,19.5,42.5,1.5,313.736173961
59,19.5,43.5,1.5,306.623759456
60,19.5,44.5,1.5,306.770600583
61,19.5,45.5,1.5,304.812829921
62,19.5,46.5,1.5,308.911198526
63,19.5,47.5,1.5,306.301868919
64,20.5,32.5,1.5,301.727983862
65,20.5,33.5,1.5,296.905587106
66,20.5,34.5,1.5,299.040456917
67,20.5,35.5,1.5,304.816041546
68,20.5,36.5,1.5,317.842699675
69,20.5,37.5,1.5,323.995833724
70,20.5,38.5,1.5,331.249979781
71,20.5,39.5,1.5,351.041701198
72,20.5,40.5,1.5,352.6334832
73,20.5,41.5,1.5,334.900953668
74,20.5,42.5,1.5,327.309079829
75,20.5,43.5,1.5,320.150343126
76,20.5,44.5,1.5,306.816300488
77,20.5,45.5,1.5,300.246740956
78,20.5,46.5,1.5,297.368690969
79,20.5,47.5,1.5,301.664418683
80,21.5,32.5,1.5,301.843269015
81,21.5,33.5,1.5,299.591489974
82,21.5,34.5,1.5,298.866082443
83,21.5,35.5,1.5,311.706841161
84,21.5,36.5,1.5,323.971552038
85,21.5,37.5,1.5,333.918606487
86,21.5,38.5,1.5,367.181882814
87,21.5,39.5,1.5,390.584485718
88,21.5,40.5,1.5,396.632754343
89,21.5,41.5,1.5,375.574066073
90,21.5,42.5,1.5,339.363162878
91,21.5,43.5,1.5,327.208831318
92,21.5,44.5,1.5,313.516270463
93,21.5,45.5,1.5,299.95442428
94,21.5,46.5,1.5,299.900044142
95,21.5,47.5,1.5,302.245078359
96,22.5,32.5,1.5,297.49372376
97,22.5,33.5,1.5,303.783060786
98,22.5,34.5,1.5,304.834828617
99,22.5,35.5,1.5,320.346149266
100,22.5,36.5,1.5,332.493553143
101,22.5,37.5,1.5,368.30877851
102,22.5,42.5,1.5,376.973578894
103,22.5,43.5,1.5,337.014601166
104,22.5,44.5,1.5,323.098265825
105,22.5,45.5,1.5,306.637457577
106,22.5,46.5,1.5,304.676903326
107,22.5,47.5,1.5,297.575910438
108,23.5,32.5,1.5,301.802083553
109,23.5,33.5,1.5,308.037268003
110,23.5,34.5,1.5,312.171522641
111,23.5,35.5,1.5,323.297578723
112,23.5,36.5,1.5,346.928586786
113,23.5,37.5,1.5,386.560164594
114,23.5,42.5,1.5,393.557484129
115,23.5,43.5,1.5,351.747603898
116,23.5,44.5,1.5,325.752702283
117,23.5,45.5,1.5,313.477391103
118,23.5,46.5,1.5,309.06684796
119,23.5,47.5,1.5,302.429843128
120,24.5,32.5,1.5,301.561025347
121,24.5,33.5,1.5,307.934889674
122,24.5,34.5,1.5,312.67391253
123,24.5,35.5,1.5,321.447165148
124,24.5,36.5,1.5,345.853134
125,24.5,37.5,1.5,391.548152089
126,24.5,42.5,1.5,398.623324057
127,24.5,43.5,1.5,350.60429178
128,24.5,44.5,1.5,323.872108192
129,24.5,45.5,1.5,313.989417889
130,24.5,46.5,1.5,308.972016849
131,24.5,47.5,1.5,302.2212547
132,25.5,32.5,1.5,297.686660515
133,25.5,33.5,1.5,303.73564558
134,25.5,34.5,1.5,305.891537495
135,25.5,35.5,1.5,318.982585669
136,25.5,36.5,1.5,334.55547269
137,25.5,37.5,1.5,369.006954035
138,25.5,42.5,1.5,377.549041526
139,25.5,43.5,1.5,339.169058019
140,25.5,44.5,1.5,321.763235506
141,25.5,45.5,1.5,307.766253104
142,25.5,46.5,1.5,304.675947645
143,25.5,47.5,1.5,297.794811619
144,26.5,32.5,1.5,302.138551237
145,26.5,33.5,1.5,299.808576306
146,26.5,34.5,1.5,299.339867498
147,26.5,35.5,1.5,310.263270895
148,26.5,36.5,1.5,323.124289301
149,26.5,37.5,1.5,331.554996049
150,26.5,38.5,1.5,367.878641447
151,26.5,39.5,1.5,388.551734833
152,26.5,40.5,1.5,394.211317245
153,26.5,41.5,1.5,375.970235954
154,26.5,42.5,1.5,336.811633564
155,26.5,43.5,1.5,326.402838507
156,26.5,44.5,1.5,312.056666615
157,26.5,45.5,1.5,300.452906972
