,x,y,z,v
0,16.5,32.5,1.5,48.5156724344
1,16.5,33.5,1.5,48.2634001725
2,16.5,34.5,1.5,47.9181835006
3,16.5,35.5,1.5,48.5368380121
4,16.5,36.5,1.5,48.3955531025
5,16.5,37.5,1.5,48.4337514133
6,16.5,38.5,1.5,48.0389914604
7,16.5,39.5,1.5,48.3684550205
8,16.5,40.5,1.5,48.3309798761
9,16.5,41.5,1.5,48.0431926804
10,16.5,42.5,1.5,48.5134120178
11,16.5,43.5,1.5,48.4735524518
12,16.5,44.5,1.5,48.7066572334
13,16.5,45.5,1.5,48.0095645199
14,16.5,46.5,1.5,48.2072755626
15,16.5,47.5,1.5,48.49537887
16,17.5,32.5,1.5,48.2456117581
17,17.5,33.5,1.5,48.5474736633
18,17.5,34.5,1.5,48.3356137329
19,17.5,35.5,1.5,48.6764774967
20,17.5,36.5,1.5,48.0298954752
21,17.5,37.5,1.5,48.4784493064
22,17.5,38.5,1.5,48.7383655523
23,17.5,39.5,1.5,49.3298567721
24,17.5,40.5,1.5,49.3232335451
25,17.5,41.5,1.5,48.6948233326
26,17.5,42.5,1.5,48.588767749
27,17.5,43.5,1.5,48.2142837266
28,17.5,44.5,1.5,48.7471722207
29,17.5,45.5,1.5,48.3945557186
30,17.5,46.5,1.5,48.6886557394
31,17.5,47.5,1.5,48.2639663025
32,18.5,32.5,1.5,48.2170365232
33,18.5,33.5,1.5,48.5928360679
34,18.5,34.5,1.5,47.8976996607
35,18.5,35.5,1.5,48.4719527619
36,18.5,36.5,1.5,48.4120569863
37,18.5,37.5,1.5,48.3118289579
38,18.5,38.5,1.5,48.7196133438
39,18.5,39.5,1.5,49.2661338448
40,18.5,40.5,1.5,49.4090702696
41,18.5,41.5,1.5,48.9450968619
42,18.5,42.5,1.5,48.4818019541
43,18.5,43.5,1.5,48.5202440464
44,18.5,44.5,1.5,48.5177499738
45,18.5,45.5,1.5,47.9758773901
46,18.5,46.5,1.5,48.5959405107
47,18.5,47.5,1.5,48.1917961632
48,19.5,32.5,1.5,49.0415283365
49,19.5,33.5,1.5,49.1386188731
50,19.5,34.5,1.5,48.7017964439
51,19.5,35.5,1.5,48.6070826466
52,19.5,36.5,1.5,48.6355346056
53,19.5,37.5,1.5,49.1924391801
54,19.5,38.5,1.5,49.7283532871
55,19.5,39.5,1.5,50.2236574025
56,19.5,40.5,1.5,50.3779267161
57,19.5,41.5,1.5,50.0444093904
58,19.5,42.5,1.5,49.5286285017
59,19.5,43.5,1.5,48.9888824881
60,19.5,44.5,1.5,48.8687872237
61,19.5,45.5,1.5,48.8065091733
62,19.5,46.5,1.5,49.1809816959
63,19.5,47.5,1.5,49.0402892871
64,20.5,32.5,1.5,48.5938157499
65,20.5,33.5,1.5,48.0138033045
66,20.5,34.5,1.5,48.113841865
67,20.5,35.5,1.5,48.6634574765
68,20.5,36.5,1.5,49.7415809191
69,20.5,37.5,1.5,50.1205579649
70,20.5,38.5,1.5,50.7328480692
71,20.5,39.5,1.5,52.4614885857
72,20.5,40.5,1.5,52.7427283661
73,20.5,41.5,1.5,51.3746778745
74,20.5,42.5,1.5,50.726966575
75,20.5,43.5,1.5,50.1817478518
76,20.5,44.5,1.5,49.0208327455
77,20.5,45.5,1.5,48.3381953117
78,20.5,46.5,1.5,48.1038942942
79,20.5,47.5,1.5,48.5999643138
80,21.5,32.5,1.5,48.4499678036
81,21.5,33.5,1.5,48.248282604
82,21.5,34.5,1.5,48.0290066385
83,21.5,35.5,1.5,49.1478703189
84,21.5,36.5,1.5,50.0173190651
