,x,y,z,v
0,8.5,16.5,1.5,32.7109851727
1,8.5,17.5,1.5,32.837501873
2,8.5,18.5,1.5,32.6809939421
3,8.5,19.5,1.5,32.9400830729
4,8.5,20.5,1.5,33.0590925692
5,8.5,21.5,1.5,32.734469927
6,8.5,22.5,1.5,32.4567707023
7,8.5,23.5,1.5,32.671957087
8,9.5,16.5,1.5,33.7670714735
9,9.5,17.5,1.5,27.5136332295
10,9.5,18.5,1.5,27.2234547492
11,9.5,19.5,1.5,27.4047010764
12,9.5,20.5,1.5,27.4739233795
13,9.5,21.5,1.5,33.0761756981
14,9.5,22.5,1.5,32.6525887596
15,9.5,23.5,1.5,33.5876188972
16,10.5,16.5,1.5,41.5870808708
17,10.5,17.5,1.5,35.692315167
18,10.5,22.5,1.5,42.1905043687
19,10.5,23.5,1.5,41.6871557366
20,11.5,16.5,1.5,35.0233783146
21,11.5,17.5,1.5,29.9559534286
22,11.5,22.5,1.5,36.5118408809
23,11.5,23.5,1.5,35.0493340118
24,12.5,16.5,1.5,34.9251764547
25,12.5,17.5,1.5,30.1434597345
26,12.5,22.5,1.5,36.6696712798
27,12.5,23.5,1.5,34.9458600751
28,13.5,16.5,1.5,41.5780922567
29,13.5,17.5,1.5,35.7246363585
30,13.5,22.5,1.5,42.229385239
31,13.5,23.5,1.5,41.6941808084
32,14.5,16.5,1.5,33.6187507347
33,14.5,17.5,1.5,33.9297194377
34,14.5,18.5,1.5,33.29327512
35,14.5,19.5,1.5,33.1538768791
36,14.5,20.5,1.5,33.0896476707
37,14.5,21.5,1.5,32.9888894555
38,14.5,22.5,1.5,32.5332989543
39,14.5,23.5,1.5,33.4620060779
40,15.5,16.5,1.5,32.5720650052
41,15.5,17.5,1.5,32.7995608203
42,15.5,18.5,1.5,32.6035216527
43,15.5,19.5,1.5,32.7507293503
44,15.5,20.5,1.5,32.8735279015
45,15.5,21.5,1.5,32.6380700189
46,15.5,22.5,1.5,32.4030383279
47,15.5,23.5,1.5,32.5429917315
