,x,y,z,v
0,12.5,24.5,1.5,35.5497616706
1,12.5,25.5,1.5,35.7652063303
2,12.5,26.5,1.5,36.9998596328
3,12.5,27.5,1.5,38.2568287824
4,12.5,28.5,1.5,38.083469983
5,12.5,29.5,1.5,38.2568287824
6,12.5,30.5,1.5,38.2568287824
7,12.5,31.5,1.5,38.083469983
8,12.5,32.5,1.5,59.079376982
9,12.5,33.5,1.5,58.0456830768
10,12.5,34.5,1.5,57.0331628117
11,12.5,35.5,1.5,35.5497616706
12,13.5,24.5,1.5,35.2315070245
13,13.5,25.5,1.5,34.8741621325
14,13.5,26.5,1.5,36.6860571505
15,13.5,27.5,1.5,37.3871216868
16,13.5,28.5,1.5,37.7358807367
17,13.5,29.5,1.5,38.083469983
18,13.5,30.5,1.5,38.083469983
19,13.5,31.5,1.5,37.7358807367
20,13.5,32.5,1.5,37.3871216868
21,13.5,33.5,1.5,57.7880718959
22,13.5,34.5,1.5,56.3041899588
23,13.5,35.5,1.5,35.2315070245
24,14.5,24.5,1.5,37.349923781
25,14.5,25.5,1.5,37.1750397914
26,14.5,34.5,1.5,58.1895730726
27,14.5,35.5,1.5,37.349923781
28,15.5,24.5,1.5,37.5616480113
29,15.5,25.5,1.5,37.7358807367
30,15.5,34.5,1.5,58.6506156732
31,15.5,35.5,1.5,37.5616480113
32,16.5,24.5,1.5,38.2568287824
33,16.5,25.5,1.5,38.2568287824
34,16.5,34.5,1.5,59.079376982
35,16.5,35.5,1.5,38.2568287824
36,17.5,24.5,1.5,38.083469983
37,17.5,25.5,1.5,38.4298985402
38,17.5,34.5,1.5,59.2219292103
39,17.5,35.5,1.5,38.083469983
40,18.5,24.5,1.5,37.909821013
41,18.5,25.5,1.5,38.2568287824
42,18.5,34.5,1.5,59.079376982
43,18.5,35.5,1.5,37.909821013
44,19.5,24.5,1.5,38.2568287824
45,19.5,25.5,1.5,38.083469983
46,19.5,34.5,1.5,58.9366410192
47,19.5,35.5,1.5,38.2568287824
48,20.5,24.5,1.5,37.7358807367
49,20.5,25.5,1.5,38.083469983
50,20.5,34.5,1.5,58.9366410192
51,20.5,35.5,1.5,58.6506156732
52,21.5,24.5,1.5,57.9016052944
53,21.5,25.5,1.5,37.1750397914
54,21.5,34.5,1.5,58.1895730726
55,21.5,35.5,1.5,57.9016052944
56,22.5,24.5,1.5,56.5963594272
57,22.5,25.5,1.5,56.5963594272
58,22.5,26.5,1.5,58.0763356354
59,22.5,27.5,1.5,58.3638487127
60,22.5,28.5,1.5,58.5073251752
61,22.5,29.5,1.5,58.6506156732
62,22.5,30.5,1.5,58.6506156732
63,22.5,31.5,1.5,58.5073251752
64,22.5,32.5,1.5,58.3638487127
65,22.5,33.5,1.5,58.0763356354
66,22.5,34.5,1.5,56.5963594272
67,22.5,35.5,1.5,56.5963594272
68,23.5,24.5,1.5,56.8567693424
69,23.5,25.5,1.5,57.0331628117
70,23.5,26.5,1.5,58.0456830768
71,23.5,27.5,1.5,58.7937207683
72,23.5,28.5,1.5,59.5064846644
73,23.5,29.5,1.5,59.5064846644
74,23.5,30.5,1.5,59.5064846644
75,23.5,31.5,1.5,59.5064846644
76,23.5,32.5,1.5,58.7937207683
77,23.5,33.5,1.5,58.0456830768
78,23.5,34.5,1.5,57.0331628117
79,23.5,35.5,1.5,56.8567693424
