,x,y,z,v
0,8.5,16.5,1.5,300.217763446
1,8.5,17.5,1.5,297.998788176
2,8.5,18.5,1.5,297.432415631
3,8.5,19.5,1.5,298.586722009
4,8.5,20.5,1.5,299.161833162
5,8.5,21.5,1.5,299.104306337
6,8.5,22.5,1.5,299.493136783
7,8.5,23.5,1.5,301.082607926
8,9.5,16.5,1.5,299.398877288
9,9.5,23.5,1.5,299.744602534
10,10.5,16.5,1.5,297.167174678
11,10.5,23.5,1.5,298.361014842
12,11.5,16.5,1.5,295.986936456
13,11.5,23.5,1.5,298.052654433
14,12.5,16.5,1.5,295.686280624
15,12.5,23.5,1.5,297.536067402
16,13.5,16.5,1.5,295.874347809
17,13.5,23.5,1.5,297.650804283
18,14.5,16.5,1.5,297.577845749
19,14.5,23.5,1.5,298.448127767
20,15.5,16.5,1.5,298.534137077
21,15.5,17.5,1.5,297.594486455
22,15.5,18.5,1.5,295.456191002
23,15.5,19.5,1.5,294.914002933
24,15.5,20.5,1.5,295.828962426
25,15.5,21.5,1.5,296.775717399
26,15.5,22.5,1.5,298.726143536
27,15.5,23.5,1.5,299.497966282
