,x,y,z,v
0,12.5,24.5,1.5,0.328
1,12.5,25.5,1.5,0.32
2,12.5,26.5,1.5,0.264
3,12.5,27.5,1.5,0.208
4,12.5,28.5,1.5,0.216
5,12.5,29.5,1.5,0.208
6,12.5,30.5,1.5,0.208
7,12.5,31.5,1.5,0.216
8,12.5,32.5,1.5,0.208
9,12.5,33.5,1.5,0.264
10,12.5,34.5,1.5,0.32
11,12.5,35.5,1.5,0.328
12,13.5,24.5,1.5,0.344
13,13.5,35.5,1.5,0.344
14,14.5,24.5,1.5,0.248
15,14.5,35.5,1.5,0.248
16,15.5,24.5,1.5,0.24
17,15.5,35.5,1.5,0.24
18,16.5,24.5,1.5,0.208
19,16.5,35.5,1.5,0.208
20,17.5,24.5,1.5,0.216
21,17.5,35.5,1.5,0.216
22,18.5,24.5,1.5,0.224
23,18.5,35.5,1.5,0.224
24,19.5,24.5,1.5,0.208
25,19.5,35.5,1.5,0.208
26,20.5,24.5,1.5,0.232
27,20.5,35.5,1.5,0.232
28,21.5,24.5,1.5,0.272
29,21.5,35.5,1.5,0.272
30,22.5,24.5,1.5,0.344
31,22.5,35.5,1.5,0.344
32,23.5,24.5,1.5,0.328
33,23.5,25.5,1.5,0.32
34,23.5,26.5,1.5,0.264
35,23.5,27.5,1.5,0.224
36,23.5,28.5,1.5,0.184
37,23.5,29.5,1.5,0.184
38,23.5,30.5,1.5,0.184
39,23.5,31.5,1.5,0.184
40,23.5,32.5,1.5,0.224
41,23.5,33.5,1.5,0.264
42,23.5,34.5,1.5,0.32
43,23.5,35.5,1.5,0.328
