,x,y,z,v
0,12.5,24.5,1.5,33.7406601508
1,12.5,25.5,1.5,33.2576193409
2,12.5,26.5,1.5,33.8830982961
3,12.5,27.5,1.5,34.6104948539
4,12.5,28.5,1.5,34.3510136864
5,12.5,29.5,1.5,34.228160403
6,12.5,30.5,1.5,33.7033413524
7,12.5,31.5,1.5,33.0885481667
8,12.5,32.5,1.5,55.0756955317
9,12.5,33.5,1.5,55.0725669816
10,12.5,34.5,1.5,54.9458237993
11,12.5,35.5,1.5,33.7807494581
12,13.5,24.5,1.5,33.1620950072
13,13.5,35.5,1.5,33.0852454405
14,14.5,24.5,1.5,34.2965905614
15,14.5,35.5,1.5,34.5149515179
16,15.5,24.5,1.5,34.3555163082
17,15.5,35.5,1.5,34.8295377414
18,16.5,24.5,1.5,34.6755483601
19,16.5,35.5,1.5,35.4772213749
20,17.5,24.5,1.5,34.2643952902
21,17.5,35.5,1.5,35.0412478627
22,18.5,24.5,1.5,33.7394485038
23,18.5,35.5,1.5,34.4434253248
24,19.5,24.5,1.5,33.450942617
25,19.5,35.5,1.5,34.1812824941
26,20.5,24.5,1.5,33.1865079917
27,20.5,35.5,1.5,55.3588240134
28,21.5,24.5,1.5,54.4665364582
29,21.5,35.5,1.5,54.7470430147
30,22.5,24.5,1.5,54.3980971436
31,22.5,35.5,1.5,54.4430984474
32,23.5,24.5,1.5,54.9783790269
33,23.5,25.5,1.5,54.5152041553
34,23.5,26.5,1.5,54.8969724481
35,23.5,27.5,1.5,55.3006458
36,23.5,28.5,1.5,55.8506804163
37,23.5,29.5,1.5,55.595919475
38,23.5,30.5,1.5,55.2350967088
39,23.5,31.5,1.5,55.027950293
40,23.5,32.5,1.5,54.5301897053
41,23.5,33.5,1.5,54.7200342739
42,23.5,34.5,1.5,54.643694221
43,23.5,35.5,1.5,55.0924473963
