,x,y,z,v
0,8.5,16.5,1.5,44.7067217289
1,8.5,16.75,1.5,44.5933517785
2,8.5,17.0,1.5,44.7002095864
3,8.5,17.25,1.5,44.7853668352
4,8.5,17.5,1.5,44.8439287078
5,8.5,17.75,1.5,45.002732043
6,8.5,18.0,1.5,44.8716470907
7,8.5,18.25,1.5,45.0201918908
8,8.5,18.5,1.5,45.3111667449
9,8.5,18.75,1.5,45.3085804597
10,8.5,19.0,1.5,45.3141874525
11,8.5,19.25,1.5,45.5121549438
12,8.5,19.5,1.5,45.6541086217
13,8.5,19.75,1.5,45.5772545756
14,8.5,20.0,1.5,45.6122701232
15,8.5,20.25,1.5,45.5809242474
16,8.5,20.5,1.5,45.6777862253
17,8.5,20.75,1.5,45.556633013
18,8.5,21.0,1.5,45.3450325739
19,8.5,21.25,1.5,45.3690794473
20,8.5,21.5,1.5,45.350161277
21,8.5,21.75,1.5,45.0408438965
22,8.5,22.0,1.5,44.9138566445
23,8.5,22.25,1.5,45.0418332254
24,8.5,22.5,1.5,44.8880895019
25,8.5,22.75,1.5,44.826305397
26,8.5,23.0,1.5,44.7324197873
27,8.5,23.25,1.5,44.6151079648
28,8.5,23.5,1.5,44.7210136868
29,8.75,16.5,1.5,44.6634938787
30,8.75,16.75,1.5,44.6201328942
31,8.75,17.0,1.5,44.5511713822
32,8.75,17.25,1.5,44.6134447471
33,8.75,17.5,1.5,44.6875402746
34,8.75,17.75,1.5,44.8182781105
35,8.75,18.0,1.5,44.730863598
36,8.75,18.25,1.5,44.9960524795
37,8.75,18.5,1.5,45.1861974982
38,8.75,18.75,1.5,45.2392207005
39,8.75,19.0,1.5,45.3340204605
40,8.75,19.25,1.5,45.4064032519
41,8.75,19.5,1.5,45.4701179951
42,8.75,19.75,1.5,45.4446210315
43,8.75,20.0,1.5,45.4670276854
44,8.75,20.25,1.5,45.4624560645
45,8.75,20.5,1.5,45.4993032988
46,8.75,20.75,1.5,45.4504075219
47,8.75,21.0,1.5,45.383452985
48,8.75,21.25,1.5,45.2916474676
49,8.75,21.5,1.5,45.246247419
50,8.75,21.75,1.5,45.0526388681
51,8.75,22.0,1.5,44.7873790401
52,8.75,22.25,1.5,44.8804174097
53,8.75,22.5,1.5,44.7468640535
54,8.75,22.75,1.5,44.6719993602
55,8.75,23.0,1.5,44.5891962556
56,8.75,23.25,1.5,44.6493195859
57,8.75,23.5,1.5,44.6724378705
58,9.0,16.5,1.5,44.6351792894
59,9.0,16.75,1.5,44.5903263221
60,9.0,17.0,1.5,44.5068403666
61,9.0,17.25,1.5,44.6165096347
62,9.0,17.5,1.5,44.7646689833
63,9.0,17.75,1.5,44.8943164353
64,9.0,18.0,1.5,44.8436781009
65,9.0,18.25,1.5,45.1276229593
66,9.0,18.5,1.5,45.3183245317
67,9.0,18.75,1.5,45.4055497621
68,9.0,19.0,1.5,45.5286663809
69,9.0,19.25,1.5,45.6548091325
70,9.0,19.5,1.5,45.6270134928
71,9.0,19.75,1.5,45.6349813034
72,9.0,20.0,1.5,45.6640899557
73,9.0,20.25,1.5,45.6688092131
74,9.0,20.5,1.5,45.6859029564
75,9.0,20.75,1.5,45.7052124421
76,9.0,21.0,1.5,45.6008651204
77,9.0,21.25,1.5,45.482792592
78,9.0,21.5,1.5,45.4157293703
79,9.0,21.75,1.5,45.216558263
80,9.0,22.0,1.5,44.926996709
81,9.0,22.25,1.5,44.961692494
82,9.0,22.5,1.5,44.8490103013
83,9.0,22.75,1.5,44.6964687836
84,9.0,23.0,1.5,44.5613077877
85,9.0,23.25,1.5,44.623326689
86,9.0,23.5,1.5,44.6530856235
87,9.25,16.5,1.5,44.723372009
88,9.25,16.75,1.5,44.6363486007
89,9.25,17.0,1.5,41.2671820638
90,9.25,17.25,1.5,41.2414246584
91,9.25,17.5,1.5,41.4059201041
92,9.25,17.75,1.5,41.5079193113
93,9.25,18.0,1.5,41.5795388819
