,x,y,z,v
0,12.5,24.5,1.5,
1,12.5,24.9583333333,1.5,
2,12.5,25.4166666667,1.5,
3,12.5,25.875,1.5,
4,12.5,26.3333333333,1.5,
5,12.5,26.7916666667,1.5,
6,12.5,27.25,1.5,
7,12.5,27.7083333333,1.5,
8,12.5,28.1666666667,1.5,
9,12.5,28.625,1.5,
10,12.5,29.0833333333,1.5,
11,12.5,29.5416666667,1.5,
12,12.5,30.0,1.5,
13,12.5,30.4583333333,1.5,
14,12.5,30.9166666667,1.5,
15,12.5,31.375,1.5,
16,12.5,31.8333333333,1.5,
17,12.5,32.2916666667,1.5,
18,12.5,32.75,1.5,
19,12.5,33.2083333333,1.5,
20,12.5,33.6666666667,1.5,
21,12.5,34.125,1.5,
22,12.5,34.5833333333,1.5,
23,12.5,35.0416666667,1.5,
24,12.5,35.5,1.5,
25,12.9583333333,24.5,1.5,
26,12.9583333333,24.9583333333,1.5,
27,12.9583333333,25.4166666667,1.5,
28,12.9583333333,25.875,1.5,
29,12.9583333333,26.3333333333,1.5,
30,12.9583333333,26.7916666667,1.5,
31,12.9583333333,27.25,1.5,
32,12.9583333333,27.7083333333,1.5,
33,12.9583333333,28.1666666667,1.5,
34,12.9583333333,28.625,1.5,
35,12.9583333333,29.0833333333,1.5,
36,12.9583333333,29.5416666667,1.5,
37,12.9583333333,30.0,1.5,
38,12.9583333333,30.4583333333,1.5,
39,12.9583333333,30.9166666667,1.5,
40,12.9583333333,31.375,1.5,
41,12.9583333333,31.8333333333,1.5,
42,12.9583333333,32.2916666667,1.5,
43,12.9583333333,32.75,1.5,
44,12.9583333333,33.2083333333,1.5,
45,12.9583333333,33.6666666667,1.5,
46,12.9583333333,34.125,1.5,
47,12.9583333333,34.5833333333,1.5,
48,12.9583333333,35.0416666667,1.5,
49,12.9583333333,35.5,1.5,
50,13.4166666667,24.5,1.5,
51,13.4166666667,24.9583333333,1.5,
52,13.4166666667,25.4166666667,1.5,
53,13.4166666667,25.875,1.5,
54,13.4166666667,26.3333333333,1.5,
55,13.4166666667,26.7916666667,1.5,
56,13.4166666667,27.25,1.5,
57,13.4166666667,27.7083333333,1.5,
58,13.4166666667,28.1666666667,1.5,
59,13.4166666667,28.625,1.5,
60,13.4166666667,29.0833333333,1.5,
61,13.4166666667,29.5416666667,1.5,
62,13.4166666667,30.0,1.5,
63,13.4166666667,30.4583333333,1.5,
64,13.4166666667,30.9166666667,1.5,
65,13.4166666667,31.375,1.5,
66,13.4166666667,31.8333333333,1.5,
67,13.4166666667,32.2916666667,1.5,
68,13.4166666667,32.75,1.5,
69,13.4166666667,33.2083333333,1.5,
70,13.4166666667,33.6666666667,1.5,
71,13.4166666667,34.125,1.5,
72,13.4166666667,34.5833333333,1.5,
73,13.4166666667,35.0416666667,1.5,
74,13.4166666667,35.5,1.5,
75,13.875,24.5,1.5,
76,13.875,24.9583333333,1.5,
77,13.875,25.4166666667,1.5,
78,13.875,34.5833333333,1.5,
79,13.875,35.0416666667,1.5,
80,13.875,35.5,1.5,
81,14.3333333333,24.5,1.5,
82,14.3333333333,24.9583333333,1.5,
83,14.3333333333,25.4166666667,1.5,
84,14.3333333333,34.5833333333,1.5,
85,14.3333333333,35.0416666667,1.5,
86,14.3333333333,35.5,1.5,
87,14.7916666667,24.5,1.5,
88,14.7916666667,24.9583333333,1.5,
89,14.7916666667,25.4166666667,1.5,
90,14.7916666667,34.5833333333,1.5,
91,14.7916666667,35.0416666667,1.5,
92,14.7916666667,35.5,1.5,
93,15.25,24.5,1.5,
94,15.25,24.9583333333,1.5,
95,15.25,25.4166666667,1.5,
96,15.25,34.5833333333,1.5,
97,15.25,35.0416666667,1.5,
98,15.25,35.5,1.5,
99,15.7083333333,24.5,1.5,
100,15.7083333333,24.9583333333,1.5,
101,15.7083333333,25.4166666667,1.5,
102,15.7083333333,34.5833333333,1.5,
103,15.7083333333,35.0416666667,1.5,
104,15.7083333333,35.5,1.5,
105,16.1666666667,24.5,1.5,
106,16.1666666667,24.9583333333,1.5,
107,16.1666666667,25.4166666667,1.5,
108,16.1666666667,34.5833333333,1.5,
109,16.1666666667,35.0416666667,1.5,
110,16.1666666667,35.5,1.5,
111,16.625,24.5,1.5,
112,16.625,24.9583333333,1.5,
113,16.625,25.4166666667,1.5,
114,16.625,34.5833333333,1.5,
115,16.625,35.0416666667,1.5,
116,16.625,35.5,1.5,
117,17.0833333333,24.5,1.5,
118,17.0833333333,24.9583333333,1.5,
119,17.0833333333,25.4166666667,1.5,
120,17.0833333333,34.5833333333,1.5,
121,17.0833333333,35.0416666667,1.5,
122,17.0833333333,35.5,1.5,
123,17.5416666667,24.5,1.5,
124,17.5416666667,24.9583333333,1.5,
125,17.5416666667,25.4166666667,1.5,
126,17.5416666667,34.5833333333,1.5,
127,17.5416666667,35.0416666667,1.5,
128,17.5416666667,35.5,1.5,
129,18.0,24.5,1.5,
130,18.0,24.9583333333,1.5,
131,18.0,25.4166666667,1.5,
132,18.0,34.5833333333,1.5,
133,18.0,35.0416666667,1.5,
134,18.0,35.5,1.5,
135,18.4583333333,24.5,1.5,
136,18.4583333333,24.9583333333,1.5,
137,18.4583333333,25.4166666667,1.5,
138,18.4583333333,34.5833333333,1.5,
139,18.4583333333,35.0416666667,1.5,
140,18.4583333333,35.5,1.5,
141,18.9166666667,24.5,1.5,
142,18.9166666667,24.9583333333,1.5,
143,18.9166666667,25.4166666667,1.5,
144,18.9166666667,34.5833333333,1.5,
145,18.9166666667,35.0416666667,1.5,
146,18.9166666667,35.5,1.5,
147,19.375,24.5,1.5,
148,19.375,24.9583333333,1.5,
149,19.375,25.4166666667,1.5,
150,19.375,34.5833333333,1.5,
151,19.375,35.0416666667,1.5,
152,19.375,35.5,1.5,
153,19.8333333333,24.5,1.5,
154,19.8333333333,24.9583333333,1.5,
155,19.8333333333,25.4166666667,1.5,
156,19.8333333333,34.5833333333,1.5,
157,19.8333333333,35.0416666667,1.5,
158,19.8333333333,35.5,1.5,
159,20.2916666667,24.5,1.5,
160,20.2916666667,24.9583333333,1.5,
161,20.2916666667,25.4166666667,1.5,
162,20.2916666667,34.5833333333,1.5,
163,20.2916666667,35.0416666667,1.5,
164,20.2916666667,35.5,1.5,
165,20.75,24.5,1.5,
166,20.75,24.9583333333,1.5,
167,20.75,25.4166666667,1.5,
168,20.75,34.5833333333,1.5,
169,20.75,35.0416666667,1.5,
170,20.75,35.5,1.5,
171,21.2083333333,24.5,1.5,
172,21.2083333333,24.9583333333,1.5,
173,21.2083333333,25.4166666667,1.5,
174,21.2083333333,34.5833333333,1.5,
175,21.2083333333,35.0416666667,1.5,
176,21.2083333333,35.5,1.5,
177,21.6666666667,24.5,1.5,
178,21.6666666667,24.9583333333,1.5,
179,21.6666666667,25.4166666667,1.5,
180,21.6666666667,34.5833333333,1.5,
181,21.6666666667,35.0416666667,1.5,
182,21.6666666667,35.5,1.5,
183,22.125,24.5,1.5,
184,22.125,24.9583333333,1.5,
185,22.125,25.4166666667,1.5,
186,22.125,34.5833333333,1.5,
187,22.125,35.0416666667,1.5,
188,22.125,35.5,1.5,
189,22.5833333333,24.5,1.5,
190,22.5833333333,24.9583333333,1.5,
191,22.5833333333,25.4166666667,1.5,
192,22.5833333333,25.875,1.5,
193,22.5833333333,26.3333333333,1.5,
194,22.5833333333,26.7916666667,1.5,
195,22.5833333333,27.25,1.5,
196,22.5833333333,27.7083333333,1.5,
197,22.5833333333,28.1666666667,1.5,
198,22.5833333333,28.625,1.5,
199,22.5833333333,29.0833333333,1.5,
200,22.5833333333,29.5416666667,1.5,
201,22.5833333333,30.0,1.5,
202,22.5833333333,30.4583333333,1.5,
203,22.5833333333,30.9166666667,1.5,
204,22.5833333333,31.375,1.5,
205,22.5833333333,31.8333333333,1.5,
206,22.5833333333,32.2916666667,1.5,
207,22.5833333333,32.75,1.5,
208,22.5833333333,33.2083333333,1.5,
209,22.5833333333,33.6666666667,1.5,
210,22.5833333333,34.125,1.5,
211,22.5833333333,34.5833333333,1.5,
212,22.5833333333,35.0416666667,1.5,
213,22.5833333333,35.5,1.5,
214,23.0416666667,24.5,1.5,
215,23.0416666667,24.9583333333,1.5,
216,23.0416666667,25.4166666667,1.5,
217,23.0416666667,25.875,1.5,
218,23.0416666667,26.3333333333,1.5,
219,23.0416666667,26.7916666667,1.5,
220,23.0416666667,27.25,1.5,
221,23.0416666667,27.7083333333,1.5,
222,23.0416666667,28.1666666667,1.5,
223,23.0416666667,28.625,1.5,
224,23.0416666667,29.0833333333,1.5,
225,23.0416666667,29.5416666667,1.5,
226,23.0416666667,30.0,1.5,
227,23.0416666667,30.4583333333,1.5,
228,23.0416666667,30.9166666667,1.5,
229,23.0416666667,31.375,1.5,
230,23.0416666667,31.8333333333,1.5,
231,23.0416666667,32.2916666667,1.5,
232,23.0416666667,32.75,1.5,
233,23.0416666667,33.2083333333,1.5,
234,23.0416666667,33.6666666667,1.5,
235,23.0416666667,34.125,1.5,
