,x,y,z,v
0,12.5,24.5,1.5,33.5798636173
1,12.5,24.9583333333,1.5,33.4426191358
2,12.5,25.4166666667,1.5,33.7658389224
3,12.5,25.875,1.5,33.6180480427
4,12.5,26.3333333333,1.5,34.6371481433
5,12.5,26.7916666667,1.5,34.8221972874
6,12.5,27.25,1.5,35.1104482768
7,12.5,27.7083333333,1.5,35.3402623873
8,12.5,28.1666666667,1.5,35.0899510628
9,12.5,28.625,1.5,35.2290694515
10,12.5,29.0833333333,1.5,35.3728233921
11,12.5,29.5416666667,1.5,35.2461858774
12,12.5,30.0,1.5,35.245833615
13,12.5,30.4583333333,1.5,35.2286617433
14,12.5,30.9166666667,1.5,35.306271161
15,12.5,31.375,1.5,35.192706805
16,12.5,31.8333333333,1.5,35.0812829438
17,12.5,32.2916666667,1.5,56.63668034
18,12.5,32.75,1.5,56.4715181156
19,12.5,33.2083333333,1.5,56.194979149
20,12.5,33.6666666667,1.5,56.0502501912
21,12.5,34.125,1.5,55.1969264818
22,12.5,34.5833333333,1.5,55.4068115331
23,12.5,35.0416666667,1.5,55.1382312536
24,12.5,35.5,1.5,33.505674614
25,12.9583333333,24.5,1.5,33.3262287772
26,12.9583333333,24.9583333333,1.5,33.2742697747
27,12.9583333333,25.4166666667,1.5,33.4542046528
28,12.9583333333,25.875,1.5,33.4558703635
29,12.9583333333,26.3333333333,1.5,34.1884562627
30,12.9583333333,26.7916666667,1.5,34.889595502
31,12.9583333333,27.25,1.5,35.1369098949
32,12.9583333333,27.7083333333,1.5,35.4831041808
33,12.9583333333,28.1666666667,1.5,35.4867537004
34,12.9583333333,28.625,1.5,35.5846439547
35,12.9583333333,29.0833333333,1.5,35.6191607813
36,12.9583333333,29.5416666667,1.5,35.6447692795
37,12.9583333333,30.0,1.5,35.4061429813
38,12.9583333333,30.4583333333,1.5,35.5716569813
39,12.9583333333,30.9166666667,1.5,35.5503419518
40,12.9583333333,31.375,1.5,35.551972983
41,12.9583333333,31.8333333333,1.5,35.4080044858
42,12.9583333333,32.2916666667,1.5,35.4188370903
43,12.9583333333,32.75,1.5,56.5068452456
44,12.9583333333,33.2083333333,1.5,56.230844862
45,12.9583333333,33.6666666667,1.5,55.6674974208
46,12.9583333333,34.125,1.5,55.0938454234
47,12.9583333333,34.5833333333,1.5,55.1118038957
48,12.9583333333,35.0416666667,1.5,54.9268050975
49,12.9583333333,35.5,1.5,33.2653447961
50,13.4166666667,24.5,1.5,33.4520273175
51,13.4166666667,24.9583333333,1.5,33.1074982621
52,13.4166666667,25.4166666667,1.5,33.2349685257
53,13.4166666667,25.875,1.5,33.3675335819
54,13.4166666667,26.3333333333,1.5,34.359991706
55,13.4166666667,26.7916666667,1.5,34.9993137735
56,13.4166666667,27.25,1.5,34.8900820022
57,13.4166666667,27.7083333333,1.5,35.2900557832
58,13.4166666667,28.1666666667,1.5,35.4258094018
59,13.4166666667,28.625,1.5,35.5536343695
60,13.4166666667,29.0833333333,1.5,35.7277575191
61,13.4166666667,29.5416666667,1.5,35.7198942867
62,13.4166666667,30.0,1.5,35.8096268147
63,13.4166666667,30.4583333333,1.5,35.6151568733
