,x,y,z,v
0,16.5,32.5,1.5,305.354449593
1,16.5,33.5,1.5,305.353208913
2,16.5,34.5,1.5,305.352850038
3,16.5,35.5,1.5,305.355746299
4,16.5,36.5,1.5,305.361486423
5,16.5,37.5,1.5,305.36878307
6,16.5,38.5,1.5,305.37731978
7,16.5,39.5,1.5,305.383502873
8,16.5,40.5,1.5,305.387448455
9,16.5,41.5,1.5,305.387976603
10,16.5,42.5,1.5,305.385576764
11,16.5,43.5,1.5,305.38129697
12,16.5,44.5,1.5,305.375259903
13,16.5,45.5,1.5,305.368607967
14,16.5,46.5,1.5,305.362170584
15,16.5,47.5,1.5,305.358630153
16,17.5,32.5,1.5,305.353362323
17,17.5,33.5,1.5,305.351765135
18,17.5,34.5,1.5,305.350788335
19,17.5,35.5,1.5,305.353103865
20,17.5,36.5,1.5,305.358419612
21,17.5,37.5,1.5,305.365532475
22,17.5,38.5,1.5,305.374074576
23,17.5,39.5,1.5,305.380422468
24,17.5,40.5,1.5,305.384724032
25,17.5,41.5,1.5,305.385641642
26,17.5,42.5,1.5,305.383762593
27,17.5,43.5,1.5,305.380048734
28,17.5,44.5,1.5,305.374549063
29,17.5,45.5,1.5,305.368175243
30,17.5,46.5,1.5,305.361678607
31,17.5,47.5,1.5,305.358003691
32,18.5,32.5,1.5,305.349504839
33,18.5,33.5,1.5,305.346754306
34,18.5,34.5,1.5,305.343634511
35,18.5,35.5,1.5,305.343725393
36,18.5,36.5,1.5,305.347355845
37,18.5,37.5,1.5,305.354221611
38,18.5,38.5,1.5,305.364595421
39,18.5,39.5,1.5,305.373578766
40,18.5,40.5,1.5,305.38026086
41,18.5,41.5,1.5,305.382486536
42,18.5,42.5,1.5,305.381786106
43,18.5,43.5,1.5,305.378966644
44,18.5,44.5,1.5,305.373921617
45,18.5,45.5,1.5,305.367334606
46,18.5,46.5,1.5,305.359972119
47,18.5,47.5,1.5,305.355601233
48,19.5,32.5,1.5,305.33876933
49,19.5,33.5,1.5,305.333678742
50,19.5,34.5,1.5,305.325923923
51,19.5,35.5,1.5,305.32070397
52,19.5,36.5,1.5,305.320953618
53,19.5,37.5,1.5,305.331621895
54,19.5,38.5,1.5,305.355225489
55,19.5,39.5,1.5,305.374095727
56,19.5,40.5,1.5,305.382826653
57,19.5,41.5,1.5,305.383550693
58,19.5,42.5,1.5,305.381961324
59,19.5,43.5,1.5,305.378751056
60,19.5,44.5,1.5,305.372566365
61,19.5,45.5,1.5,305.363978887
62,19.5,46.5,1.5,305.354005054
63,19.5,47.5,1.5,305.347934136
64,20.5,32.5,1.5,305.313188342
65,20.5,33.5,1.5,305.30479812
66,20.5,34.5,1.5,305.289929318
67,20.5,35.5,1.5,305.275317386
68,20.5,36.5,1.5,305.271310507
69,20.5,37.5,1.5,305.298729673
70,20.5,38.5,1.5,305.355891732
71,20.5,39.5,1.5,305.380212513
72,20.5,40.5,1.5,305.376600488
73,20.5,41.5,1.5,305.37174859
74,20.5,42.5,1.5,305.370985649
75,20.5,43.5,1.5,305.369267963
76,20.5,44.5,1.5,305.361816732
77,20.5,45.5,1.5,305.349766824
78,20.5,46.5,1.5,305.335483036
79,20.5,47.5,1.5,305.326763884
80,21.5,32.5,1.5,305.260501555
81,21.5,33.5,1.5,305.250189822
82,21.5,34.5,1.5,305.228375768
83,21.5,35.5,1.5,305.20049171
84,21.5,36.5,1.5,305.186153378
85,21.5,37.5,1.5,305.227142869
86,21.5,38.5,1.5,305.275721398
87,21.5,39.5,1.5,305.270777664
88,21.5,40.5,1.5,305.266820211
89,21.5,41.5,1.5,305.277461123
90,21.5,42.5,1.5,305.302811782
91,21.5,43.5,1.5,305.318198455
92,21.5,44.5,1.5,305.315389404
93,21.5,45.5,1.5,305.301827696
94,21.5,46.5,1.5,305.284992645
95,21.5,47.5,1.5,305.275129295
96,22.5,32.5,1.5,305.144170386
97,22.5,33.5,1.5,305.140230887
98,22.5,34.5,1.5,305.119638947
99,22.5,35.5,1.5,305.073202394
100,22.5,36.5,1.5,305.022761808
101,22.5,37.5,1.5,305.01756399
102,22.5,42.5,1.5,305.067523442
103,22.5,43.5,1.5,305.116419188
104,22.5,44.5,1.5,305.129867765
105,22.5,45.5,1.5,305.12851543
106,22.5,46.5,1.5,305.132117769
107,22.5,47.5,1.5,305.137792884
108,23.5,32.5,1.5,305.012576392
109,23.5,33.5,1.5,305.026132588
110,23.5,34.5,1.5,305.019302226
111,23.5,35.5,1.5,304.957260048
112,23.5,36.5,1.5,304.890980732
113,23.5,37.5,1.5,304.869824676
114,23.5,42.5,1.5,304.968149535
115,23.5,43.5,1.5,305.041667305
116,23.5,44.5,1.5,305.038187967
117,23.5,45.5,1.5,304.995159531
118,23.5,46.5,1.5,304.956336216
119,23.5,47.5,1.5,304.953704388
120,24.5,32.5,1.5,305.013448411
121,24.5,33.5,1.5,305.026564786
122,24.5,34.5,1.5,305.01915913
123,24.5,35.5,1.5,304.957216778
124,24.5,36.5,1.5,304.891253929
125,24.5,37.5,1.5,304.870161938
126,24.5,42.5,1.5,304.968371234
127,24.5,43.5,1.5,305.041750915
128,24.5,44.5,1.5,305.038118301
129,24.5,45.5,1.5,304.994854843
130,24.5,46.5,1.5,304.956096866
131,24.5,47.5,1.5,304.95403763
132,25.5,32.5,1.5,305.144230131
133,25.5,33.5,1.5,305.140154517
134,25.5,34.5,1.5,305.1192746
135,25.5,35.5,1.5,305.072486407
136,25.5,36.5,1.5,305.022407932
137,25.5,37.5,1.5,305.017974536
138,25.5,42.5,1.5,305.067351718
139,25.5,43.5,1.5,305.115902773
140,25.5,44.5,1.5,305.129089597
141,25.5,45.5,1.5,305.127577835
142,25.5,46.5,1.5,305.131393102
143,25.5,47.5,1.5,305.137554929
144,26.5,32.5,1.5,305.259981786
145,26.5,33.5,1.5,305.249618293
146,26.5,34.5,1.5,305.22764547
147,26.5,35.5,1.5,305.199311555
148,26.5,36.5,1.5,305.184902946
149,26.5,37.5,1.5,305.226493229
150,26.5,38.5,1.5,305.275502811
151,26.5,39.5,1.5,305.270433794
152,26.5,40.5,1.5,305.266440265
153,26.5,41.5,1.5,305.277291683
154,26.5,42.5,1.5,305.302719578
155,26.5,43.5,1.5,305.317928787
156,26.5,44.5,1.5,305.31493822
157,26.5,45.5,1.5,305.30132109
158,26.5,46.5,1.5,305.284543447
159,26.5,47.5,1.5,305.274727539
160,27.5,32.5,1.5,305.312119274
161,27.5,33.5,1.5,305.303650032
162,27.5,34.5,1.5,305.288569041
163,27.5,35.5,1.5,305.273726504
164,27.5,36.5,1.5,305.269664347
165,27.5,37.5,1.5,305.297365331
166,27.5,38.5,1.5,305.355277491
167,27.5,39.5,1.5,305.380117609
168,27.5,40.5,1.5,305.376755571
169,27.5,41.5,1.5,305.371875913
170,27.5,42.5,1.5,305.370947178
171,27.5,43.5,1.5,305.369087885
172,27.5,44.5,1.5,305.361463441
173,27.5,45.5,1.5,305.349152872
174,27.5,46.5,1.5,305.334638664
175,27.5,47.5,1.5,305.325820517
176,28.5,32.5,1.5,305.337063017
177,28.5,33.5,1.5,305.331900262
178,28.5,34.5,1.5,305.3240054
179,28.5,35.5,1.5,305.318618536
180,28.5,36.5,1.5,305.318847392
181,28.5,37.5,1.5,305.329778698
182,28.5,38.5,1.5,305.353858499
183,28.5,39.5,1.5,305.373181622
184,28.5,40.5,1.5,305.382292659
185,28.5,41.5,1.5,305.383164718
186,28.5,42.5,1.5,305.381579967
187,28.5,43.5,1.5,305.378245536
188,28.5,44.5,1.5,305.371825597
189,28.5,45.5,1.5,305.3629114
190,28.5,46.5,1.5,305.352644479
191,28.5,47.5,1.5,305.346433159
192,29.5,32.5,1.5,305.347505886
193,29.5,33.5,1.5,305.34465606
194,29.5,34.5,1.5,305.34136908
195,29.5,35.5,1.5,305.34129836
196,29.5,36.5,1.5,305.344835485
197,29.5,37.5,1.5,305.351812193
198,29.5,38.5,1.5,305.362518869
199,29.5,39.5,1.5,305.371803619
200,29.5,40.5,1.5,305.378750363
201,29.5,41.5,1.5,305.381206741
202,29.5,42.5,1.5,305.38067901
203,29.5,43.5,1.5,305.377832248
204,29.5,44.5,1.5,305.372594522
205,29.5,45.5,1.5,305.365730503
206,29.5,46.5,1.5,305.358194254
207,29.5,47.5,1.5,305.353768988
208,30.5,32.5,1.5,305.351830267
209,30.5,33.5,1.5,305.350225329
210,30.5,34.5,1.5,305.349229919
211,30.5,35.5,1.5,305.351487507
212,30.5,36.5,1.5,305.356655601
213,30.5,37.5,1.5,305.363633296
214,30.5,38.5,1.5,305.372142531
215,30.5,39.5,1.5,305.37853155
216,30.5,40.5,1.5,305.382954717
217,30.5,41.5,1.5,305.384032557
218,30.5,42.5,1.5,305.382285527
219,30.5,43.5,1.5,305.37858563
220,30.5,44.5,1.5,305.37302271
221,30.5,45.5,1.5,305.366557037
222,30.5,46.5,1.5,305.36005196
223,30.5,47.5,1.5,305.356404501
224,31.5,32.5,1.5,305.353736089
225,31.5,33.5,1.5,305.352573508
226,31.5,34.5,1.5,305.352292895
227,31.5,35.5,1.5,305.355138509
228,31.5,36.5,1.5,305.360685736
229,31.5,37.5,1.5,305.367760838
230,31.5,38.5,1.5,305.376166535
231,31.5,39.5,1.5,305.382289754
232,31.5,40.5,1.5,305.386282415
233,31.5,41.5,1.5,305.386843473
234,31.5,42.5,1.5,305.384365818
235,31.5,43.5,1.5,305.380048189
236,31.5,44.5,1.5,305.37404907
237,31.5,45.5,1.5,305.367469963
238,31.5,46.5,1.5,305.361184135
239,31.5,47.5,1.5,305.357752272
