,x,y,z,v
0,12.5,24.5,1.5,0.328
1,12.5,25.5,1.5,0.32
2,12.5,26.5,1.5,0.264
3,12.5,27.5,1.5,0.208
4,12.5,28.5,1.5,0.216
5,12.5,29.5,1.5,0.208
6,12.5,30.5,1.5,0.208
7,12.5,31.5,1.5,0.216
8,12.5,32.5,1.5,0.208
9,12.5,33.5,1.5,0.264
10,12.5,34.5,1.5,0.32
11,12.5,35.5,1.5,0.328
12,13.5,24.5,1.5,0.344
13,13.5,25.5,1.5,0.36
14,13.5,26.5,1.5,0.28
15,13.5,27.5,1.5,0.248
16,13.5,28.5,1.5,0.232
17,13.5,29.5,1.5,0.216
18,13.5,30.5,1.5,0.216
19,13.5,31.5,1.5,0.232
20,13.5,32.5,1.5,0.248
21,13.5,33.5,1.5,0.28
22,13.5,34.5,1.5,0.36
23,13.5,35.5,1.5,0.344
24,14.5,24.5,1.5,0.248
25,14.5,25.5,1.5,0.256
26,14.5,34.5,1.5,0.256
27,14.5,35.5,1.5,0.248
28,15.5,24.5,1.5,0.24
29,15.5,25.5,1.5,0.232
30,15.5,34.5,1.5,0.232
31,15.5,35.5,1.5,0.24
32,16.5,24.5,1.5,0.208
33,16.5,25.5,1.5,0.208
34,16.5,34.5,1.5,0.208
35,16.5,35.5,1.5,0.208
36,17.5,24.5,1.5,0.216
37,17.5,25.5,1.5,0.2
38,17.5,34.5,1.5,0.2
39,17.5,35.5,1.5,0.216
40,18.5,24.5,1.5,0.224
41,18.5,25.5,1.5,0.208
42,18.5,34.5,1.5,0.208
43,18.5,35.5,1.5,0.224
44,19.5,24.5,1.5,0.208
45,19.5,25.5,1.5,0.216
46,19.5,34.5,1.5,0.216
47,19.5,35.5,1.5,0.208
48,20.5,24.5,1.5,0.232
49,20.5,25.5,1.5,0.216
50,20.5,34.5,1.5,0.216
51,20.5,35.5,1.5,0.232
52,21.5,24.5,1.5,0.272
53,21.5,25.5,1.5,0.256
54,21.5,34.5,1.5,0.256
55,21.5,35.5,1.5,0.272
56,22.5,24.5,1.5,0.344
57,22.5,25.5,1.5,0.344
58,22.5,26.5,1.5,0.264
59,22.5,27.5,1.5,0.248
60,22.5,28.5,1.5,0.24
61,22.5,29.5,1.5,0.232
62,22.5,30.5,1.5,0.232
63,22.5,31.5,1.5,0.24
64,22.5,32.5,1.5,0.248
65,22.5,33.5,1.5,0.264
66,22.5,34.5,1.5,0.344
67,22.5,35.5,1.5,0.344
68,23.5,24.5,1.5,0.328
69,23.5,25.5,1.5,0.32
70,23.5,26.5,1.5,0.264
71,23.5,27.5,1.5,0.224
72,23.5,28.5,1.5,0.184
73,23.5,29.5,1.5,0.184
74,23.5,30.5,1.5,0.184
75,23.5,31.5,1.5,0.184
76,23.5,32.5,1.5,0.224
77,23.5,33.5,1.5,0.264
78,23.5,34.5,1.5,0.32
79,23.5,35.5,1.5,0.328
