,x,y,z,v
0,8.5,16.5,1.5,321.475331323
1,8.5,17.5,1.5,321.220805406
2,8.5,18.5,1.5,320.503937459
3,8.5,19.5,1.5,320.964862726
4,8.5,20.5,1.5,322.05627058
5,8.5,21.5,1.5,322.618782281
6,8.5,22.5,1.5,323.175942476
7,8.5,23.5,1.5,322.930095517
8,9.5,16.5,1.5,322.101234597
9,9.5,17.5,1.5,321.881640482
10,9.5,18.5,1.5,320.707828664
11,9.5,19.5,1.5,321.517895702
12,9.5,20.5,1.5,322.540460793
13,9.5,21.5,1.5,323.296390908
14,9.5,22.5,1.5,323.95711157
15,9.5,23.5,1.5,324.021004431
16,10.5,16.5,1.5,322.715242326
17,10.5,17.5,1.5,322.48024948
18,10.5,22.5,1.5,326.06338982
19,10.5,23.5,1.5,325.897928774
20,11.5,16.5,1.5,322.475739138
21,11.5,17.5,1.5,323.352405037
22,11.5,22.5,1.5,326.902519279
23,11.5,23.5,1.5,325.857256415
24,12.5,16.5,1.5,322.481784982
25,12.5,17.5,1.5,323.361366368
26,12.5,22.5,1.5,326.901834246
27,12.5,23.5,1.5,325.856993764
28,13.5,16.5,1.5,323.917084424
29,13.5,17.5,1.5,324.566682871
30,13.5,22.5,1.5,326.017197759
31,13.5,23.5,1.5,325.842814029
32,14.5,16.5,1.5,323.172284661
33,14.5,17.5,1.5,323.504140194
34,14.5,18.5,1.5,323.42950608
35,14.5,19.5,1.5,324.536467085
36,14.5,20.5,1.5,324.448021747
37,14.5,21.5,1.5,324.067521886
38,14.5,22.5,1.5,323.862667741
39,14.5,23.5,1.5,323.920867508
40,15.5,16.5,1.5,323.021147226
41,15.5,17.5,1.5,323.31201098
42,15.5,18.5,1.5,323.580521138
43,15.5,19.5,1.5,323.90390128
44,15.5,20.5,1.5,323.923068025
45,15.5,21.5,1.5,323.487438261
46,15.5,22.5,1.5,323.050025512
47,15.5,23.5,1.5,322.78458508
