,x,y,z,v
0,8.5,16.5,1.5,328.795106106
1,8.5,16.75,1.5,328.0651048
2,8.5,17.0,1.5,328.788077534
3,8.5,17.25,1.5,329.353267858
4,8.5,17.5,1.5,329.729878209
5,8.5,17.75,1.5,330.761633704
6,8.5,18.0,1.5,329.857752849
7,8.5,18.25,1.5,330.834236935
8,8.5,18.5,1.5,332.810117955
9,8.5,18.75,1.5,332.789946537
10,8.5,19.0,1.5,332.827646821
11,8.5,19.25,1.5,334.20780507
12,8.5,19.5,1.5,335.196846042
13,8.5,19.75,1.5,334.660223818
14,8.5,20.0,1.5,334.902069118
15,8.5,20.25,1.5,334.683005928
16,8.5,20.5,1.5,335.354094104
17,8.5,20.75,1.5,334.512485938
18,8.5,21.0,1.5,333.042736785
19,8.5,21.25,1.5,333.209726693
20,8.5,21.5,1.5,333.078414386
21,8.5,21.75,1.5,330.933204613
22,8.5,22.0,1.5,330.055247059
23,8.5,22.25,1.5,330.948442985
24,8.5,22.5,1.5,329.898530985
25,8.5,22.75,1.5,329.496649718
26,8.5,23.0,1.5,328.880057572
27,8.5,23.25,1.5,328.115253644
28,8.5,23.5,1.5,328.862073267
29,8.75,16.5,1.5,328.534636671
30,8.75,16.75,1.5,328.276688827
31,8.75,17.0,1.5,327.84472436
32,8.75,17.25,1.5,328.259459973
33,8.75,17.5,1.5,328.732063104
34,8.75,17.75,1.5,329.559451953
35,8.75,18.0,1.5,328.938305617
36,8.75,18.25,1.5,330.684389742
37,8.75,18.5,1.5,331.955335683
38,8.75,18.75,1.5,332.311767253
39,8.75,19.0,1.5,332.966432148
40,8.75,19.25,1.5,333.469214019
41,8.75,19.5,1.5,333.912217782
42,8.75,19.75,1.5,333.734796919
43,8.75,20.0,1.5,333.890148663
44,8.75,20.25,1.5,333.85823565
45,8.75,20.5,1.5,334.113865877
46,8.75,20.75,1.5,333.774479453
47,8.75,21.0,1.5,333.309561505
48,8.75,21.25,1.5,332.672100358
49,8.75,21.5,1.5,332.357448168
50,8.75,21.75,1.5,331.015134009
51,8.75,22.0,1.5,329.176874031
52,8.75,22.25,1.5,329.832729571
53,8.75,22.5,1.5,328.92874951
54,8.75,22.75,1.5,328.448505266
55,8.75,23.0,1.5,327.920030431
56,8.75,23.25,1.5,328.367007651
57,8.75,23.5,1.5,328.559731718
58,9.0,16.5,1.5,328.40048033
59,9.0,16.75,1.5,328.144350339
60,9.0,17.0,1.5,327.631498951
61,9.0,17.25,1.5,328.349941003
62,9.0,17.5,1.5,329.295324843
63,9.0,17.75,1.5,330.1044689
64,9.0,18.0,1.5,329.736879914
65,9.0,18.25,1.5,331.588505897
66,9.0,18.5,1.5,332.860891293
67,9.0,18.75,1.5,333.45746537
68,9.0,19.0,1.5,334.305831909
69,9.0,19.25,1.5,335.17679231
70,9.0,19.5,1.5,334.988667526
71,9.0,19.75,1.5,335.045847033
72,9.0,20.0,1.5,335.248446562
73,9.0,20.25,1.5,335.282754099
74,9.0,20.5,1.5,335.402945267
75,9.0,20.75,1.5,335.538055122
76,9.0,21.0,1.5,334.816438184
77,9.0,21.25,1.5,333.998198663
78,9.0,21.5,1.5,333.532785095
79,9.0,21.75,1.5,332.152956702
80,9.0,22.0,1.5,330.147703946
81,9.0,22.25,1.5,330.397357284
82,9.0,22.5,1.5,329.640420931
83,9.0,22.75,1.5,328.633895457
84,9.0,23.0,1.5,327.760956717
85,9.0,23.25,1.5,328.228796741
86,9.0,23.5,1.5,328.474471718
87,9.25,16.5,1.5,329.048083703
88,9.25,16.75,1.5,328.533617702
89,9.25,17.0,1.5,307.029340234
90,9.25,17.25,1.5,306.978451914
91,9.25,17.5,1.5,308.007849471
92,9.25,17.75,1.5,308.358148061
93,9.25,18.0,1.5,308.399509697
94,9.25,18.25,1.5,310.609278379
95,9.25,18.5,1.5,312.171265705
96,9.25,18.75,1.5,313.030840836
97,9.25,19.0,1.5,313.442522376
98,9.25,19.25,1.5,314.082012919
99,9.25,19.5,1.5,314.989310321
100,9.25,19.75,1.5,314.003644437
101,9.25,20.0,1.5,314.082143946
102,9.25,20.25,1.5,314.261637128
103,9.25,20.5,1.5,315.52949083
104,9.25,20.75,1.5,314.790855005
105,9.25,21.0,1.5,314.233274552
106,9.25,21.25,1.5,334.271930347
107,9.25,21.5,1.5,333.593976182
108,9.25,21.75,1.5,332.134465765
109,9.25,22.0,1.5,330.289979571
110,9.25,22.25,1.5,330.051741937
111,9.25,22.5,1.5,329.825339367
112,9.25,22.75,1.5,328.893386431
113,9.25,23.0,1.5,328.831700849
114,9.25,23.25,1.5,328.716255461
115,9.25,23.5,1.5,329.193346298
116,9.5,16.5,1.5,329.798097375
117,9.5,16.75,1.5,329.246108265
118,9.5,17.0,1.5,308.179859717
119,9.5,17.25,1.5,307.74406941
120,9.5,17.5,1.5,308.453805064
121,9.5,17.75,1.5,308.60219911
122,9.5,18.0,1.5,308.352297582
123,9.5,18.25,1.5,310.355444443
124,9.5,18.5,1.5,311.920739191
125,9.5,18.75,1.5,312.818893924
126,9.5,19.0,1.5,313.225403821
127,9.5,19.25,1.5,313.745083865
128,9.5,19.5,1.5,314.162973229
129,9.5,19.75,1.5,315.215799534
130,9.5,20.0,1.5,315.142472241
131,9.5,20.25,1.5,315.662574179
132,9.5,20.5,1.5,315.027310003
133,9.5,20.75,1.5,314.736721193
134,9.5,21.0,1.5,314.218002729
135,9.5,21.25,1.5,313.942039483
136,9.5,21.5,1.5,333.56107646
137,9.5,21.75,1.5,332.151762056
138,9.5,22.0,1.5,330.218872877
139,9.5,22.25,1.5,330.31597384
140,9.5,22.5,1.5,330.184315461
141,9.5,22.75,1.5,329.424897329
142,9.5,23.0,1.5,329.66641059
143,9.5,23.25,1.5,329.267651885
144,9.5,23.5,1.5,329.865088966
145,9.75,16.5,1.5,329.244665722
146,9.75,16.75,1.5,328.781962423
147,9.75,17.0,1.5,308.472927968
148,9.75,17.25,1.5,307.080193029
149,9.75,17.5,1.5,308.183043675
150,9.75,17.75,1.5,307.998038914
151,9.75,18.0,1.5,307.008934578
152,9.75,18.25,1.5,309.561958535
153,9.75,18.5,1.5,311.332098237
154,9.75,18.75,1.5,311.934557963
155,9.75,19.0,1.5,312.387674675
156,9.75,19.25,1.5,311.920221677
157,9.75,19.5,1.5,312.666549603
158,9.75,19.75,1.5,313.920692734
159,9.75,20.0,1.5,313.751606527
160,9.75,20.25,1.5,314.597114871
161,9.75,20.5,1.5,313.686813981
162,9.75,20.75,1.5,313.161211217
163,9.75,21.0,1.5,313.666888475
164,9.75,21.25,1.5,313.280539021
165,9.75,21.5,1.5,312.610819746
166,9.75,21.75,1.5,331.628585068
167,9.75,22.0,1.5,329.29615114
168,9.75,22.25,1.5,329.970881745
169,9.75,22.5,1.5,330.073118635
170,9.75,22.75,1.5,328.994331004
171,9.75,23.0,1.5,330.025292699
172,9.75,23.25,1.5,328.952985521
173,9.75,23.5,1.5,329.400305894
174,10.0,16.5,1.5,329.663168427
175,10.0,16.75,1.5,329.173722732
176,10.0,17.0,1.5,308.990093698
177,10.0,17.25,1.5,308.478055229
178,10.0,17.5,1.5,308.311231858
179,10.0,17.75,1.5,307.689167831
180,10.0,22.25,1.5,329.795122495
181,10.0,22.5,1.5,330.211231002
182,10.0,22.75,1.5,330.221377555
183,10.0,23.0,1.5,330.552377562
184,10.0,23.25,1.5,329.374905987
185,10.0,23.5,1.5,329.826731484
186,10.25,16.5,1.5,330.623739731
187,10.25,16.75,1.5,330.518620368
188,10.25,17.0,1.5,310.730216325
189,10.25,17.25,1.5,310.485137717
190,10.25,17.5,1.5,310.466464906
191,10.25,17.75,1.5,310.56361107
192,10.25,22.25,1.5,332.4747463
193,10.25,22.5,1.5,332.216312768
194,10.25,22.75,1.5,332.009922034
195,10.25,23.0,1.5,332.124472213
196,10.25,23.25,1.5,330.743825274
197,10.25,23.5,1.5,330.875955778
198,10.5,16.5,1.5,332.442814126
199,10.5,16.75,1.5,331.813599686
200,10.5,17.0,1.5,312.629245312
201,10.5,17.25,1.5,311.869630956
202,10.5,17.5,1.5,312.776424118
203,10.5,17.75,1.5,312.300016552
204,10.5,22.25,1.5,334.0464706
205,10.5,22.5,1.5,334.118975936
206,10.5,22.75,1.5,333.16590376
207,10.5,23.0,1.5,333.692597947
208,10.5,23.25,1.5,332.099023806
209,10.5,23.5,1.5,332.643855592
210,10.75,16.5,1.5,331.86108972
211,10.75,16.75,1.5,331.688192908
212,10.75,17.0,1.5,313.405531855
213,10.75,17.25,1.5,312.288474786
214,10.75,17.5,1.5,312.771590854
215,10.75,17.75,1.5,312.471431674
216,10.75,22.25,1.5,334.168139264
217,10.75,22.5,1.5,334.19977338
218,10.75,22.75,1.5,333.565226312
219,10.75,23.0,1.5,334.36933271
220,10.75,23.25,1.5,332.009865434
221,10.75,23.5,1.5,332.071167921
222,11.0,16.5,1.5,332.757966311
223,11.0,16.75,1.5,332.758877605
224,11.0,17.0,1.5,314.064682987
225,11.0,17.25,1.5,313.199005524
226,11.0,17.5,1.5,312.977938844
227,11.0,17.75,1.5,312.379135465
228,11.0,22.25,1.5,334.001517144
229,11.0,22.5,1.5,334.29050312
230,11.0,22.75,1.5,334.401270644
231,11.0,23.0,1.5,334.933523734
232,11.0,23.25,1.5,333.123541891
233,11.0,23.5,1.5,332.93874265
234,11.25,16.5,1.5,333.195341256
235,11.25,16.75,1.5,333.299323643
236,11.25,17.0,1.5,314.637548579
237,11.25,17.25,1.5,313.258067291
238,11.25,17.5,1.5,313.451966137
239,11.25,17.75,1.5,312.897379693
240,11.25,22.25,1.5,334.32966956
241,11.25,22.5,1.5,334.655916366
242,11.25,22.75,1.5,334.400242998
243,11.25,23.0,1.5,335.356752719
244,11.25,23.25,1.5,333.548428844
