,x,y,z,v
0,12.5,24.5,1.5,436.869610567
1,12.5,24.75,1.5,445.254942008
2,12.5,25.0,1.5,445.162001108
3,12.5,25.25,1.5,448.558187598
4,12.5,25.5,1.5,445.72863799
5,12.5,25.75,1.5,451.887705782
6,12.5,26.0,1.5,450.494521462
7,12.5,26.25,1.5,462.811508618
8,12.5,26.5,1.5,470.945013156
9,12.5,26.75,1.5,476.132159902
10,12.5,27.0,1.5,478.679314097
11,12.5,27.25,1.5,491.294028888
12,12.5,27.5,1.5,496.210715644
13,12.5,27.75,1.5,498.680503475
14,12.5,28.0,1.5,496.673229964
15,12.5,28.25,1.5,497.461642589
16,12.5,28.5,1.5,497.849572655
17,12.5,28.75,1.5,501.852431659
18,12.5,29.0,1.5,501.568818575
19,12.5,29.25,1.5,499.820633597
20,12.5,29.5,1.5,499.514407887
21,12.5,29.75,1.5,499.17177949
22,12.5,30.0,1.5,498.462406448
23,12.5,30.25,1.5,497.743236098
24,12.5,30.5,1.5,496.955955692
25,12.5,30.75,1.5,496.128037464
26,12.5,31.0,1.5,497.262956174
27,12.5,31.25,1.5,496.492988163
28,12.5,31.5,1.5,491.650832603
29,12.5,31.75,1.5,491.053527464
30,12.5,32.0,1.5,490.792637321
31,12.5,32.25,1.5,491.869562355
32,12.5,32.5,1.5,489.701473881
33,12.5,32.75,1.5,485.552016577
34,12.5,33.0,1.5,473.427907601
35,12.5,33.25,1.5,471.819490762
36,12.5,33.5,1.5,467.505976883
37,12.5,33.75,1.5,459.756636653
38,12.5,34.0,1.5,447.875379595
39,12.5,34.25,1.5,449.991345394
40,12.5,34.5,1.5,444.196801068
41,12.5,34.75,1.5,446.999203221
42,12.5,35.0,1.5,444.078549654
43,12.5,35.25,1.5,443.971964721
44,12.5,35.5,1.5,436.616095355
45,12.75,24.5,1.5,441.197293409
46,12.75,24.75,1.5,446.816503657
47,12.75,25.0,1.5,443.99380228
48,12.75,25.25,1.5,443.358714963
49,12.75,25.5,1.5,442.474517467
50,12.75,25.75,1.5,448.511984571
51,12.75,26.0,1.5,447.161175847
52,12.75,26.25,1.5,461.706671913
53,12.75,26.5,1.5,468.181433377
54,12.75,26.75,1.5,473.052420048
55,12.75,27.0,1.5,477.588554521
56,12.75,27.25,1.5,486.634177574
57,12.75,27.5,1.5,491.111614298
58,12.75,27.75,1.5,489.760492716
59,12.75,28.0,1.5,494.067274414
60,12.75,28.25,1.5,494.514374683
61,12.75,28.5,1.5,494.5192793
62,12.75,28.75,1.5,498.790614334
63,12.75,29.0,1.5,500.604379868
64,12.75,29.25,1.5,496.695405375
65,12.75,29.5,1.5,496.444120367
66,12.75,29.75,1.5,494.019783697
67,12.75,30.0,1.5,491.506281166
68,12.75,30.25,1.5,492.824304083
69,12.75,30.5,1.5,493.955219093
70,12.75,30.75,1.5,493.297974642
71,12.75,31.0,1.5,496.103093981
72,12.75,31.25,1.5,493.479884404
73,12.75,31.5,1.5,488.890225362
74,12.75,31.75,1.5,488.292079651
75,12.75,32.0,1.5,487.506088271
76,12.75,32.25,1.5,482.835072482
77,12.75,32.5,1.5,484.93528215
78,12.75,32.75,1.5,480.679853061
79,12.75,33.0,1.5,472.147279997
80,12.75,33.25,1.5,467.942864032
81,12.75,33.5,1.5,463.852885508
82,12.75,33.75,1.5,457.924807348
83,12.75,34.0,1.5,443.992111723
84,12.75,34.25,1.5,445.450857096
85,12.75,34.5,1.5,439.699399371
86,12.75,34.75,1.5,440.73031549
87,12.75,35.0,1.5,441.969090316
88,12.75,35.25,1.5,445.559881415
89,12.75,35.5,1.5,440.029069768
90,13.0,24.5,1.5,435.032678451
91,13.0,24.75,1.5,443.807066001
92,13.0,25.0,1.5,441.775024041
93,13.0,25.25,1.5,442.99586258
94,13.0,25.5,1.5,444.483589469
95,13.0,25.75,1.5,448.785787166
96,13.0,26.0,1.5,449.529430761
97,13.0,26.25,1.5,465.464882887
98,13.0,26.5,1.5,478.625873403
99,13.0,26.75,1.5,483.23414252
