,x,y,z,v
0,12.5,24.5,1.5,0.328
1,12.5,24.75,1.5,0.304
2,12.5,25.0,1.5,0.32
3,12.5,25.25,1.5,0.312
4,12.5,25.5,1.5,0.32
5,12.5,25.75,1.5,0.32
6,12.5,26.0,1.5,0.304
7,12.5,26.25,1.5,0.28
8,12.5,26.5,1.5,0.264
9,12.5,26.75,1.5,0.24
10,12.5,27.0,1.5,0.248
11,12.5,27.25,1.5,0.216
12,12.5,27.5,1.5,0.208
13,12.5,27.75,1.5,0.2
14,12.5,28.0,1.5,0.208
15,12.5,28.25,1.5,0.208
16,12.5,28.5,1.5,0.216
17,12.5,28.75,1.5,0.2
18,12.5,29.0,1.5,0.2
19,12.5,29.25,1.5,0.208
20,12.5,29.5,1.5,0.208
21,12.5,29.75,1.5,0.208
22,12.5,30.0,1.5,0.208
23,12.5,30.25,1.5,0.208
24,12.5,30.5,1.5,0.208
25,12.5,30.75,1.5,0.208
26,12.5,31.0,1.5,0.2
27,12.5,31.25,1.5,0.2
28,12.5,31.5,1.5,0.216
29,12.5,31.75,1.5,0.208
30,12.5,32.0,1.5,0.208
31,12.5,32.25,1.5,0.2
32,12.5,32.5,1.5,0.208
33,12.5,32.75,1.5,0.216
34,12.5,33.0,1.5,0.248
35,12.5,33.25,1.5,0.24
36,12.5,33.5,1.5,0.264
37,12.5,33.75,1.5,0.28
38,12.5,34.0,1.5,0.304
39,12.5,34.25,1.5,0.32
40,12.5,34.5,1.5,0.32
41,12.5,34.75,1.5,0.312
42,12.5,35.0,1.5,0.32
43,12.5,35.25,1.5,0.304
44,12.5,35.5,1.5,0.328
45,12.75,24.5,1.5,0.312
46,12.75,24.75,1.5,0.296
47,12.75,25.0,1.5,0.312
48,12.75,25.25,1.5,0.32
49,12.75,25.5,1.5,0.32
50,12.75,25.75,1.5,0.32
51,12.75,26.0,1.5,0.304
52,12.75,26.25,1.5,0.28
53,12.75,26.5,1.5,0.264
54,12.75,26.75,1.5,0.248
55,12.75,27.0,1.5,0.232
56,12.75,27.25,1.5,0.216
57,12.75,27.5,1.5,0.2
58,12.75,27.75,1.5,0.208
59,12.75,28.0,1.5,0.2
60,12.75,28.25,1.5,0.2
61,12.75,28.5,1.5,0.2
62,12.75,28.75,1.5,0.184
63,12.75,29.0,1.5,0.176
64,12.75,29.25,1.5,0.192
65,12.75,29.5,1.5,0.192
66,12.75,29.75,1.5,0.2
67,12.75,30.0,1.5,0.208
68,12.75,30.25,1.5,0.2
69,12.75,30.5,1.5,0.192
70,12.75,30.75,1.5,0.192
71,12.75,31.0,1.5,0.176
72,12.75,31.25,1.5,0.184
73,12.75,31.5,1.5,0.2
74,12.75,31.75,1.5,0.2
75,12.75,32.0,1.5,0.2
76,12.75,32.25,1.5,0.208
77,12.75,32.5,1.5,0.2
78,12.75,32.75,1.5,0.216
79,12.75,33.0,1.5,0.232
80,12.75,33.25,1.5,0.248
81,12.75,33.5,1.5,0.264
82,12.75,33.75,1.5,0.28
83,12.75,34.0,1.5,0.304
84,12.75,34.25,1.5,0.32
85,12.75,34.5,1.5,0.32
86,12.75,34.75,1.5,0.32
87,12.75,35.0,1.5,0.312
88,12.75,35.25,1.5,0.296
89,12.75,35.5,1.5,0.312
90,13.0,24.5,1.5,0.336
91,13.0,24.75,1.5,0.312
92,13.0,25.0,1.5,0.32
93,13.0,25.25,1.5,0.32
94,13.0,25.5,1.5,0.32
95,13.0,25.75,1.5,0.32
96,13.0,26.0,1.5,0.304
97,13.0,26.25,1.5,0.28
98,13.0,26.5,1.5,0.24
99,13.0,26.75,1.5,0.224
100,13.0,27.0,1.5,0.216
101,13.0,27.25,1.5,0.224
102,13.0,27.5,1.5,0.2
103,13.0,27.75,1.5,0.192
104,13.0,28.0,1.5,0.2
105,13.0,28.25,1.5,0.184
106,13.0,28.5,1.5,0.184
107,13.0,28.75,1.5,0.184
108,13.0,29.0,1.5,0.192
109,13.0,29.25,1.5,0.2
110,13.0,29.5,1.5,0.192
111,13.0,29.75,1.5,0.2
