,x,y,z,v
0,8.5,16.5,1.5,359.195214741
1,8.5,16.75,1.5,352.888358058
2,8.5,17.0,1.5,354.806435832
3,8.5,17.25,1.5,360.545430658
4,8.5,17.5,1.5,371.863086744
5,8.5,17.75,1.5,378.482110708
6,8.5,18.0,1.5,379.070411585
7,8.5,18.25,1.5,398.909117079
8,8.5,18.5,1.5,398.502768454
9,8.5,18.75,1.5,395.359329933
10,8.5,19.0,1.5,424.459162446
11,8.5,19.25,1.5,419.931912032
12,8.5,19.5,1.5,432.242490532
13,8.5,19.75,1.5,434.982461113
14,8.5,20.0,1.5,232.478862677
15,8.5,20.25,1.5,601.817553438
16,8.5,20.5,1.5,610.512525045
17,8.5,20.75,1.5,624.627129503
18,8.5,21.0,1.5,635.850374092
19,8.5,21.25,1.5,619.242352421
20,8.5,21.5,1.5,627.064458041
21,8.5,21.75,1.5,640.632868199
22,8.5,22.0,1.5,630.030621172
23,8.5,22.25,1.5,631.737495323
24,8.5,22.5,1.5,631.872728605
25,8.5,22.75,1.5,620.955897487
26,8.5,23.0,1.5,624.006284613
27,8.5,23.25,1.5,617.782415612
28,8.5,23.5,1.5,617.336373969
29,8.75,16.5,1.5,359.298284835
30,8.75,16.75,1.5,350.668036507
31,8.75,17.0,1.5,346.064451179
32,8.75,17.25,1.5,365.151305044
33,8.75,17.5,1.5,371.710614783
34,8.75,17.75,1.5,374.148447765
35,8.75,18.0,1.5,376.538245033
36,8.75,18.25,1.5,390.161487727
37,8.75,18.5,1.5,403.051293228
38,8.75,18.75,1.5,397.406856232
39,8.75,19.0,1.5,415.642552396
40,8.75,19.25,1.5,420.054821219
41,8.75,19.5,1.5,428.089736131
42,8.75,19.75,1.5,433.049103623
43,8.75,20.0,1.5,232.478862677
44,8.75,20.25,1.5,600.02496606
45,8.75,20.5,1.5,606.58840261
46,8.75,20.75,1.5,622.927433688
47,8.75,21.0,1.5,620.585552998
48,8.75,21.25,1.5,617.40245911
49,8.75,21.5,1.5,634.012978934
50,8.75,21.75,1.5,632.225318218
51,8.75,22.0,1.5,625.492594908
52,8.75,22.25,1.5,627.545367874
53,8.75,22.5,1.5,632.265385947
54,8.75,22.75,1.5,632.0827299
55,8.75,23.0,1.5,617.366096502
56,8.75,23.25,1.5,615.602361127
57,8.75,23.5,1.5,619.815338252
58,9.0,16.5,1.5,359.020344733
59,9.0,16.75,1.5,348.471676393
60,9.0,17.0,1.5,352.766591194
61,9.0,17.25,1.5,351.882903395
62,9.0,17.5,1.5,369.629061753
63,9.0,17.75,1.5,376.377898901
64,9.0,18.0,1.5,379.037323711
65,9.0,18.25,1.5,390.073993115
