,x,y,z,v
0,12.5,24.5,1.5,0.408
1,12.5,24.75,1.5,0.4
2,12.5,25.0,1.5,0.416
3,12.5,25.25,1.5,0.352
4,12.5,25.5,1.5,0.328
5,12.5,25.75,1.5,0.32
6,12.5,26.0,1.5,0.312
7,12.5,26.25,1.5,0.304
8,12.5,26.5,1.5,0.296
9,12.5,26.75,1.5,0.296
10,12.5,27.0,1.5,0.296
11,12.5,27.25,1.5,0.32
12,12.5,27.5,1.5,0.328
13,12.5,27.75,1.5,0.336
14,12.5,28.0,1.5,0.384
15,12.5,28.25,1.5,0.408
16,12.5,28.5,1.5,0.456
17,12.5,28.75,1.5,0.52
18,12.5,29.0,1.5,0.608
19,12.5,29.25,1.5,0.632
20,12.5,29.5,1.5,0.656
21,12.5,29.75,1.5,0.696
22,12.5,30.0,1.5,0.704
23,12.5,30.25,1.5,0.736
24,12.5,30.5,1.5,0.744
25,12.5,30.75,1.5,0.76
26,12.5,31.0,1.5,0.8
27,12.5,31.25,1.5,0.808
28,12.5,31.5,1.5,0.808
29,12.5,31.75,1.5,0.816
30,12.5,32.0,1.5,0.824
31,12.5,32.25,1.5,0.848
32,12.5,32.5,1.5,0.864
33,12.5,32.75,1.5,0.864
34,12.5,33.0,1.5,0.88
35,12.5,33.25,1.5,0.888
36,12.5,33.5,1.5,0.896
37,12.5,33.75,1.5,0.896
38,12.5,34.0,1.5,0.904
39,12.5,34.25,1.5,0.904
40,12.5,34.5,1.5,0.904
41,12.5,34.75,1.5,0.904
42,12.5,35.0,1.5,0.92
43,12.5,35.25,1.5,0.92
44,12.5,35.5,1.5,0.92
45,12.75,24.5,1.5,0.392
46,12.75,24.75,1.5,0.384
47,12.75,25.0,1.5,0.424
48,12.75,25.25,1.5,0.328
49,12.75,25.5,1.5,0.296
50,12.75,25.75,1.5,0.28
51,12.75,26.0,1.5,0.264
52,12.75,26.25,1.5,0.272
53,12.75,26.5,1.5,0.272
54,12.75,26.75,1.5,0.28
55,12.75,27.0,1.5,0.28
56,12.75,27.25,1.5,0.304
57,12.75,27.5,1.5,0.312
58,12.75,27.75,1.5,0.328
59,12.75,28.0,1.5,0.328
60,12.75,28.25,1.5,0.36
61,12.75,28.5,1.5,0.4
62,12.75,28.75,1.5,0.472
63,12.75,29.0,1.5,0.6
64,12.75,29.25,1.5,0.624
65,12.75,29.5,1.5,0.648
66,12.75,29.75,1.5,0.696
67,12.75,30.0,1.5,0.704
68,12.75,30.25,1.5,0.728
69,12.75,30.5,1.5,0.736
70,12.75,30.75,1.5,0.752
71,12.75,31.0,1.5,0.8
72,12.75,31.25,1.5,0.808
73,12.75,31.5,1.5,0.816
74,12.75,31.75,1.5,0.824
75,12.75,32.0,1.5,0.832
76,12.75,32.25,1.5,0.848
77,12.75,32.5,1.5,0.864
78,12.75,32.75,1.5,0.864
79,12.75,33.0,1.5,0.88
80,12.75,33.25,1.5,0.88
81,12.75,33.5,1.5,0.896
82,12.75,33.75,1.5,0.896
83,12.75,34.0,1.5,0.904
84,12.75,34.25,1.5,0.904
85,12.75,34.5,1.5,0.904
86,12.75,34.75,1.5,0.92
87,12.75,35.0,1.5,0.92
88,12.75,35.25,1.5,0.92
89,12.75,35.5,1.5,0.92
90,13.0,24.5,1.5,0.392
91,13.0,24.75,1.5,0.4
92,13.0,25.0,1.5,1.0
93,13.0,25.25,1.5,0.968
94,13.0,25.5,1.5,0.968
95,13.0,25.75,1.5,0.968
96,13.0,26.0,1.5,0.968
97,13.0,26.25,1.5,0.968
98,13.0,26.5,1.5,0.968
99,13.0,26.75,1.5,0.968
100,13.0,27.0,1.5,0.968
101,13.0,27.25,1.5,0.968
102,13.0,27.5,1.5,0.968
103,13.0,27.75,1.5,0.968
104,13.0,28.0,1.5,0.968
105,13.0,28.25,1.5,0.968
106,13.0,28.5,1.5,0.968
107,13.0,28.75,1.5,0.968
108,13.0,29.0,1.5,1.0
109,13.0,29.25,1.5,0.616
110,13.0,29.5,1.5,0.64
111,13.0,29.75,1.5,0.688
112,13.0,30.0,1.5,0.696
113,13.0,30.25,1.5,0.72
114,13.0,30.5,1.5,0.728
115,13.0,30.75,1.5,0.76
116,13.0,31.0,1.5,0.792
117,13.0,31.25,1.5,0.8
118,13.0,31.5,1.5,0.808
119,13.0,31.75,1.5,0.816
120,13.0,32.0,1.5,0.824
121,13.0,32.25,1.5,0.856
122,13.0,32.5,1.5,0.856
123,13.0,32.75,1.5,0.856
124,13.0,33.0,1.5,0.872
125,13.0,33.25,1.5,0.872
126,13.0,33.5,1.5,0.88
127,13.0,33.75,1.5,0.896
128,13.0,34.0,1.5,0.904
129,13.0,34.25,1.5,0.92
130,13.0,34.5,1.5,0.92
131,13.0,34.75,1.5,0.92
132,13.0,35.0,1.5,0.92
133,13.0,35.25,1.5,0.92
134,13.0,35.5,1.5,0.92
135,13.25,24.5,1.5,0.328
136,13.25,24.75,1.5,0.304
137,13.25,25.0,1.5,0.976
138,13.25,25.25,1.5,0.0
139,13.25,25.5,1.5,0.0
140,13.25,25.75,1.5,0.0
141,13.25,26.0,1.5,0.0
142,13.25,26.25,1.5,0.0
143,13.25,26.5,1.5,0.0
144,13.25,26.75,1.5,0.0
145,13.25,27.0,1.5,0.0
146,13.25,27.25,1.5,0.0
147,13.25,27.5,1.5,0.0
148,13.25,27.75,1.5,0.0
149,13.25,28.0,1.5,0.0
150,13.25,28.25,1.5,0.0
151,13.25,28.5,1.5,0.0
152,13.25,28.75,1.5,0.0
153,13.25,29.0,1.5,0.976
154,13.25,29.25,1.5,0.544
155,13.25,29.5,1.5,0.608
156,13.25,29.75,1.5,0.656
157,13.25,30.0,1.5,0.68
158,13.25,30.25,1.5,0.696
159,13.25,30.5,1.5,0.72
160,13.25,30.75,1.5,0.76
161,13.25,31.0,1.5,0.792
162,13.25,31.25,1.5,0.792
163,13.25,31.5,1.5,0.792
164,13.25,31.75,1.5,0.808
165,13.25,32.0,1.5,0.832
166,13.25,32.25,1.5,0.856
167,13.25,32.5,1.5,0.856
168,13.25,32.75,1.5,0.856
169,13.25,33.0,1.5,0.872
170,13.25,33.25,1.5,0.872
171,13.25,33.5,1.5,0.88
172,13.25,33.75,1.5,0.888
173,13.25,34.0,1.5,0.912
174,13.25,34.25,1.5,0.92
175,13.25,34.5,1.5,0.92
176,13.25,34.75,1.5,0.92
177,13.25,35.0,1.5,0.92
178,13.25,35.25,1.5,0.92
179,13.25,35.5,1.5,0.92
180,13.5,24.5,1.5,0.304
181,13.5,24.75,1.5,0.296
