,x,y,z,v
0,12.5,24.5,1.5,305.640293808
1,12.5,24.75,1.5,306.450292066
2,12.5,25.0,1.5,305.952682188
3,12.5,25.25,1.5,307.386920756
4,12.5,25.5,1.5,306.974619963
5,12.5,25.75,1.5,307.044115662
6,12.5,26.0,1.5,303.692602364
7,12.5,26.25,1.5,302.318298238
8,12.5,26.5,1.5,297.200408395
9,12.5,26.75,1.5,293.376925149
10,12.5,27.0,1.5,284.997490719
11,12.5,27.25,1.5,275.284986375
12,12.5,27.5,1.5,270.833737498
13,12.5,27.75,1.5,263.674967174
14,12.5,28.0,1.5,264.65548657
15,12.5,28.25,1.5,261.093926427
16,12.5,28.5,1.5,295.328011388
17,12.5,28.75,1.5,297.065247984
18,12.5,29.0,1.5,300.276240324
19,12.5,29.25,1.5,302.083435118
20,12.5,29.5,1.5,305.587768047
21,12.5,29.75,1.5,305.930671618
22,12.5,30.0,1.5,306.365777614
23,12.5,30.25,1.5,308.563163112
24,12.5,30.5,1.5,309.72911757
25,12.5,30.75,1.5,309.445719591
26,12.5,31.0,1.5,308.708340275
27,12.5,31.25,1.5,309.183095844
28,12.5,31.5,1.5,309.117599008
29,12.5,31.75,1.5,310.586653213
30,12.5,32.0,1.5,310.742688409
31,12.5,32.25,1.5,310.565660223
32,12.5,32.5,1.5,311.806551619
33,12.5,32.75,1.5,311.805313934
34,12.5,33.0,1.5,311.22725136
35,12.5,33.25,1.5,311.59059054
36,12.5,33.5,1.5,311.747633342
37,12.5,33.75,1.5,312.707698945
38,12.5,34.0,1.5,313.446855021
39,12.5,34.25,1.5,313.733330833
40,12.5,34.5,1.5,313.718290438
41,12.5,34.75,1.5,313.718290438
42,12.5,35.0,1.5,313.136268536
43,12.5,35.25,1.5,314.018847122
44,12.5,35.5,1.5,314.020678408
45,12.75,24.5,1.5,307.144630175
46,12.75,24.75,1.5,305.599775022
47,12.75,25.0,1.5,304.090683029
48,12.75,25.25,1.5,305.8829854
49,12.75,25.5,1.5,306.063795646
50,12.75,25.75,1.5,304.331122804
51,12.75,26.0,1.5,304.738468601
52,12.75,26.25,1.5,302.427338401
53,12.75,26.5,1.5,299.416791651
54,12.75,26.75,1.5,295.233312147
55,12.75,27.0,1.5,282.907029481
