,x,y,z,v
0,12.5,24.5,1.5,44.7896718358
1,12.5,24.75,1.5,44.7897465526
2,12.5,25.0,1.5,44.7897805083
3,12.5,25.25,1.5,44.7898073581
4,12.5,25.5,1.5,44.7897650779
5,12.5,25.75,1.5,44.789901435
6,12.5,26.0,1.5,44.7898380261
7,12.5,26.25,1.5,44.7900478701
8,12.5,26.5,1.5,44.7901908591
9,12.5,26.75,1.5,44.7902405655
10,12.5,27.0,1.5,44.7903219092
11,12.5,27.25,1.5,44.7905898977
12,12.5,27.5,1.5,44.7907255271
13,12.5,27.75,1.5,44.7907880572
14,12.5,28.0,1.5,44.7907084096
15,12.5,28.25,1.5,44.7907321092
16,12.5,28.5,1.5,44.7907488451
17,12.5,28.75,1.5,44.7908436417
18,12.5,29.0,1.5,44.7908530961
19,12.5,29.25,1.5,44.7907843773
20,12.5,29.5,1.5,44.79075871
21,12.5,29.75,1.5,44.7907411683
22,12.5,30.0,1.5,44.7907163969
23,12.5,30.25,1.5,44.7906876485
24,12.5,30.5,1.5,44.7906622277
25,12.5,30.75,1.5,44.7906439095
26,12.5,31.0,1.5,44.7906878036
27,12.5,31.25,1.5,44.7906474514
28,12.5,31.5,1.5,44.7905336128
29,12.5,31.75,1.5,44.7905090259
30,12.5,32.0,1.5,44.7905133538
31,12.5,32.25,1.5,44.8025856602
32,12.5,32.5,1.5,44.8024421025
33,12.5,32.75,1.5,44.8020573269
34,12.5,33.0,1.5,44.8010613056
35,12.5,33.25,1.5,44.8008549146
36,12.5,33.5,1.5,44.8007555161
37,12.5,33.75,1.5,44.8001418304
38,12.5,34.0,1.5,44.7991166142
39,12.5,34.25,1.5,44.7995335428
40,12.5,34.5,1.5,44.7988247681
41,12.5,34.75,1.5,44.7990713914
42,12.5,35.0,1.5,44.7989573548
43,12.5,35.25,1.5,44.7987245466
44,12.5,35.5,1.5,44.7896657494
45,12.75,24.5,1.5,44.7897219912
46,12.75,24.75,1.5,44.7897724843
47,12.75,25.0,1.5,44.7897507167
48,12.75,25.25,1.5,44.7897264219
49,12.75,25.5,1.5,44.7897142993
50,12.75,25.75,1.5,44.7898350262
51,12.75,26.0,1.5,44.7897736617
52,12.75,26.25,1.5,44.7900213525
53,12.75,26.5,1.5,44.7901243221
54,12.75,26.75,1.5,44.7901901471
55,12.75,27.0,1.5,44.7902444394
56,12.75,27.25,1.5,44.7904699404
57,12.75,27.5,1.5,44.7905471091
58,12.75,27.75,1.5,44.7905254792
59,12.75,28.0,1.5,44.7906266093
60,12.75,28.25,1.5,44.7906461239
61,12.75,28.5,1.5,44.7906257994
62,12.75,28.75,1.5,44.7907416972
63,12.75,29.0,1.5,44.7907712706
64,12.75,29.25,1.5,44.7906786741
65,12.75,29.5,1.5,44.7906702135
66,12.75,29.75,1.5,44.7906280117
67,12.75,30.0,1.5,44.7905721444
68,12.75,30.25,1.5,44.7905889751
69,12.75,30.5,1.5,44.790581113
70,12.75,30.75,1.5,44.7905611983
71,12.75,31.0,1.5,44.7906010644
72,12.75,31.25,1.5,44.7905524372
73,12.75,31.5,1.5,44.7904428082
74,12.75,31.75,1.5,44.7904402139
75,12.75,32.0,1.5,44.7904048928
76,12.75,32.25,1.5,44.7903073723
77,12.75,32.5,1.5,44.8018443289
78,12.75,32.75,1.5,44.8015782775
79,12.75,33.0,1.5,44.8007539195
80,12.75,33.25,1.5,44.8005528848
81,12.75,33.5,1.5,44.8003436552
82,12.75,33.75,1.5,44.7999355876
83,12.75,34.0,1.5,44.7986913536
84,12.75,34.25,1.5,44.7990387464
85,12.75,34.5,1.5,44.7983727606
86,12.75,34.75,1.5,44.7984735427
87,12.75,35.0,1.5,44.7986855971
88,12.75,35.25,1.5,44.7989000718
89,12.75,35.5,1.5,44.7896982178
90,13.0,24.5,1.5,44.7896514335
91,13.0,24.75,1.5,44.7897309656
92,13.0,25.0,1.5,44.7897103867
93,13.0,25.25,1.5,44.7897124844
94,13.0,25.5,1.5,44.7897390349
95,13.0,25.75,1.5,44.7898389637
96,13.0,26.0,1.5,44.789814544
