,x,y,z,v
0,16.5,32.5,1.5,38.8196570694
1,16.5,32.75,1.5,38.8105457374
2,16.5,33.0,1.5,38.8587048776
3,16.5,33.25,1.5,38.8105938014
4,16.5,33.5,1.5,38.7096390223
5,16.5,33.75,1.5,38.7046192068
6,16.5,34.0,1.5,38.6496089
7,16.5,34.25,1.5,38.6389894807
8,16.5,34.5,1.5,38.6489824947
9,16.5,34.75,1.5,38.6923570272
10,16.5,35.0,1.5,38.6843117994
11,16.5,35.25,1.5,38.6865529267
12,16.5,35.5,1.5,38.7838230291
13,16.5,35.75,1.5,38.7857461409
14,16.5,36.0,1.5,38.7461321347
15,16.5,36.25,1.5,38.7528899148
16,16.5,36.5,1.5,38.7633612742
17,16.5,36.75,1.5,38.9113652281
18,16.5,37.0,1.5,39.0039329193
19,16.5,37.25,1.5,38.8314607691
20,16.5,37.5,1.5,38.8411541377
21,16.5,37.75,1.5,38.8890575475
22,16.5,38.0,1.5,38.7483490947
23,16.5,38.25,1.5,38.7513788862
24,16.5,38.5,1.5,38.5901023419
25,16.5,38.75,1.5,38.7149532285
26,16.5,39.0,1.5,38.8459744639
27,16.5,39.25,1.5,38.8524603416
28,16.5,39.5,1.5,38.7230376061
29,16.5,39.75,1.5,38.6144926347
30,16.5,40.0,1.5,38.6173184325
31,16.5,40.25,1.5,38.6184876844
32,16.5,40.5,1.5,38.7190123964
33,16.5,40.75,1.5,38.8554099937
34,16.5,41.0,1.5,38.8614749898
35,16.5,41.25,1.5,38.7234800944
36,16.5,41.5,1.5,38.5944982266
37,16.5,41.75,1.5,38.7532440837
38,16.5,42.0,1.5,38.7537265724
39,16.5,42.25,1.5,38.8836662986
40,16.5,42.5,1.5,38.8490157702
41,16.5,42.75,1.5,38.8578062969
42,16.5,43.0,1.5,39.0144316335
43,16.5,43.25,1.5,38.9227295641
44,16.5,43.5,1.5,38.770288185
45,16.5,43.75,1.5,38.7645113187
46,16.5,44.0,1.5,38.7615049044
47,16.5,44.25,1.5,38.8118639971
48,16.5,44.5,1.5,38.8099569752
49,16.5,44.75,1.5,38.7055465613
50,16.5,45.0,1.5,38.7133884316
51,16.5,45.25,1.5,38.7131652418
52,16.5,45.5,1.5,38.6676549887
53,16.5,45.75,1.5,38.6560282678
54,16.5,46.0,1.5,38.6557728962
55,16.5,46.25,1.5,38.7082007254
56,16.5,46.5,1.5,38.7024410702
57,16.5,46.75,1.5,38.8009028292
58,16.5,47.0,1.5,38.8428876717
59,16.5,47.25,1.5,38.8041604759
60,16.5,47.5,1.5,38.8154630272
61,16.75,32.5,1.5,38.7657136387
62,16.75,32.75,1.5,38.7622494933
63,16.75,33.0,1.5,38.8146482262
