,x,y,z,v
0,8.5,16.5,1.5,40.2787743338
1,8.5,16.75,1.5,40.1472118125
2,8.5,17.0,1.5,40.2775090765
3,8.5,17.25,1.5,40.3791627667
4,8.5,17.5,1.5,40.44679814
5,8.5,17.75,1.5,40.6316789442
6,8.5,18.0,1.5,40.4697448101
7,8.5,18.25,1.5,40.6446660664
8,8.5,18.5,1.5,40.996966842
9,8.5,18.75,1.5,40.9933813575
10,8.5,19.0,1.5,41.0000824256
11,8.5,19.25,1.5,41.244851956
12,8.5,19.5,1.5,41.4196032592
13,8.5,19.75,1.5,41.3248563556
14,8.5,20.0,1.5,41.3675767942
15,8.5,20.25,1.5,41.3288820602
16,8.5,20.5,1.5,41.4473368972
17,8.5,20.75,1.5,41.298743369
18,8.5,21.0,1.5,41.0382985246
19,8.5,21.25,1.5,41.0679505695
20,8.5,21.5,1.5,41.0446350332
21,8.5,21.75,1.5,40.6623644111
22,8.5,22.0,1.5,40.5051662541
23,8.5,22.25,1.5,40.6650889906
24,8.5,22.5,1.5,40.4770603577
25,8.5,22.75,1.5,40.40492218
26,8.5,23.0,1.5,40.2940647549
27,8.5,23.25,1.5,40.1562594778
28,8.5,23.5,1.5,40.2908281013
29,8.75,16.5,1.5,40.2318667963
30,8.75,16.75,1.5,40.1853752553
31,8.75,17.0,1.5,40.1074345791
32,8.75,17.25,1.5,40.1822686399
33,8.75,17.5,1.5,40.2674245624
34,8.75,17.75,1.5,40.4162013016
35,8.75,18.0,1.5,40.3045464508
36,8.75,18.25,1.5,40.6178584258
37,8.75,18.5,1.5,40.8448283624
38,8.75,18.75,1.5,40.9083177598
39,8.75,19.0,1.5,41.0247440703
40,8.75,19.25,1.5,41.1139961998
41,8.75,19.5,1.5,41.192519502
42,8.75,19.75,1.5,41.1610844696
43,8.75,20.0,1.5,41.1886103025
44,8.75,20.25,1.5,41.1829569299
45,8.75,20.5,1.5,41.2282257142
46,8.75,20.75,1.5,41.1681168595
47,8.75,21.0,1.5,41.0856705659
48,8.75,21.25,1.5,40.9724295493
49,8.75,21.5,1.5,40.9164495126
50,8.75,21.75,1.5,40.6770116215
51,8.75,22.0,1.5,40.3474565273
52,8.75,22.25,1.5,40.4652551979
53,8.75,22.5,1.5,40.3028269683
54,8.75,22.75,1.5,40.2163470182
55,8.75,23.0,1.5,40.1210299549
56,8.75,23.25,1.5,40.201658295
57,8.75,23.5,1.5,40.2363878074
58,9.0,16.5,1.5,40.2076917019
59,9.0,16.75,1.5,40.1615083355
60,9.0,17.0,1.5,40.068922363
61,9.0,17.25,1.5,40.1985818078
62,9.0,17.5,1.5,40.3687496414
63,9.0,17.75,1.5,40.513990963
64,9.0,18.0,1.5,40.4480548123
65,9.0,18.25,1.5,40.7794121331
66,9.0,18.5,1.5,41.0059908303
67,9.0,18.75,1.5,41.1119122344
68,9.0,19.0,1.5,41.2621964182
69,9.0,19.25,1.5,41.4160654204
70,9.0,19.5,1.5,41.3828659385
71,9.0,19.75,1.5,41.3929588228
72,9.0,20.0,1.5,41.4287054911
73,9.0,20.25,1.5,41.4347564553
74,9.0,20.5,1.5,41.455949917
75,9.0,20.75,1.5,41.4797644307
76,9.0,21.0,1.5,41.3524543562
77,9.0,21.25,1.5,41.2077470769
78,9.0,21.5,1.5,41.1252710436
79,9.0,21.75,1.5,40.8800384438
80,9.0,22.0,1.5,40.5217412002
81,9.0,22.25,1.5,40.566472904
82,9.0,22.5,1.5,40.4307398191
83,9.0,22.75,1.5,40.249746716
