,x,y,z,v
0,12.5,24.5,1.5,27.8694718419
1,12.5,24.75,1.5,28.0782627676
2,12.5,25.0,1.5,28.1475342053
3,12.5,25.25,1.5,28.2144928324
4,12.5,25.5,1.5,28.1108418999
5,12.5,25.75,1.5,28.3869439064
6,12.5,26.0,1.5,28.2247808738
7,12.5,26.25,1.5,28.5820168265
8,12.5,26.5,1.5,28.7568852793
9,12.5,26.75,1.5,28.7825896067
10,12.5,27.0,1.5,28.8646639558
11,12.5,27.25,1.5,29.1890010643
12,12.5,27.5,1.5,29.34892527
13,12.5,27.75,1.5,29.4519566427
14,12.5,28.0,1.5,29.4009562316
15,12.5,28.25,1.5,29.4630910296
16,12.5,28.5,1.5,29.5168746813
17,12.5,28.75,1.5,29.6675686169
18,12.5,29.0,1.5,29.7075003472
19,12.5,29.25,1.5,29.6604486621
20,12.5,29.5,1.5,29.6531149541
21,12.5,29.75,1.5,29.6493130114
22,12.5,30.0,1.5,29.6342893027
23,12.5,30.25,1.5,29.6125516262
24,12.5,30.5,1.5,29.5911796814
25,12.5,30.75,1.5,29.5750871761
26,12.5,31.0,1.5,29.628455044
27,12.5,31.25,1.5,29.5845987435
28,12.5,31.5,1.5,29.4503877183
29,12.5,31.75,1.5,29.4216451636
30,12.5,32.0,1.5,29.4282579413
31,12.5,32.25,1.5,35.1355512314
32,12.5,32.5,1.5,35.1124483502
33,12.5,32.75,1.5,35.0229369048
34,12.5,33.0,1.5,34.7598405083
35,12.5,33.25,1.5,34.7166189332
36,12.5,33.5,1.5,34.6997275311
37,12.5,33.75,1.5,34.5175310468
38,12.5,34.0,1.5,34.1772282639
39,12.5,34.25,1.5,34.2813397063
40,12.5,34.5,1.5,34.0187872198
41,12.5,34.75,1.5,34.0635145491
42,12.5,35.0,1.5,33.9884012153
43,12.5,35.25,1.5,33.8810902071
44,12.5,35.5,1.5,27.8651287402
45,12.75,24.5,1.5,28.0360388466
46,12.75,24.75,1.5,28.1777081672
47,12.75,25.0,1.5,28.1160438524
48,12.75,25.25,1.5,28.0640702516
49,12.75,25.5,1.5,28.0270245874
50,12.75,25.75,1.5,28.2944311156
51,12.75,26.0,1.5,28.1239347817
52,12.75,26.25,1.5,28.5763690551
53,12.75,26.5,1.5,28.6896967454
54,12.75,26.75,1.5,28.7438079884
55,12.75,27.0,1.5,28.7954742073
56,12.75,27.25,1.5,29.0885033327
57,12.75,27.5,1.5,29.1933925208
58,12.75,27.75,1.5,29.2036560227
59,12.75,28.0,1.5,29.3551889707
60,12.75,28.25,1.5,29.4111883065
61,12.75,28.5,1.5,29.4212762557
62,12.75,28.75,1.5,29.5962808787
63,12.75,29.0,1.5,29.6540735163
64,12.75,29.25,1.5,29.5731580698
65,12.75,29.5,1.5,29.5811741955
66,12.75,29.75,1.5,29.5468079886
67,12.75,30.0,1.5,29.4920832791
68,12.75,30.25,1.5,29.5204159381
69,12.75,30.5,1.5,29.5164325656
70,12.75,30.75,1.5,29.4958705241
71,12.75,31.0,1.5,29.5451002813
72,12.75,31.25,1.5,29.4877170933
73,12.75,31.5,1.5,29.349942099
74,12.75,31.75,1.5,29.347913036
75,12.75,32.0,1.5,29.301730455
76,12.75,32.25,1.5,29.1753374832
77,12.75,32.5,1.5,34.9573832609
78,12.75,32.75,1.5,34.8960379073
79,12.75,33.0,1.5,34.6757243953
80,12.75,33.25,1.5,34.634585179
81,12.75,33.5,1.5,34.5874881317
82,12.75,33.75,1.5,34.4678135544
83,12.75,34.0,1.5,34.0520937573
84,12.75,34.25,1.5,34.1381784177
85,12.75,34.5,1.5,33.8831835962
86,12.75,34.75,1.5,33.88310763
87,12.75,35.0,1.5,33.9224834634
88,12.75,35.25,1.5,33.9676835197
89,12.75,35.5,1.5,27.9831510871
90,13.0,24.5,1.5,27.9190982779
91,13.0,24.75,1.5,28.1683432641
92,13.0,25.0,1.5,28.1134697888
93,13.0,25.25,1.5,28.1428538389
94,13.0,25.5,1.5,28.2122580829
95,13.0,25.75,1.5,28.4285943672
96,13.0,26.0,1.5,28.3416642367
97,13.0,26.25,1.5,28.8358509934
98,13.0,26.5,1.5,29.0910838946
99,13.0,26.75,1.5,29.1460602762
100,13.0,27.0,1.5,29.2822047778
101,13.0,27.25,1.5,29.3959563927
102,13.0,27.5,1.5,29.5057016018
103,13.0,27.75,1.5,29.650258803
104,13.0,28.0,1.5,29.6544402931
105,13.0,28.25,1.5,29.812086432
106,13.0,28.5,1.5,29.8562307468
107,13.0,28.75,1.5,29.8610654625
108,13.0,29.0,1.5,29.8290864221
109,13.0,29.25,1.5,29.7898104157
110,13.0,29.5,1.5,29.870745374
111,13.0,29.75,1.5,29.7832063355
112,13.0,30.0,1.5,29.8016107368
113,13.0,30.25,1.5,29.6982603842
114,13.0,30.5,1.5,29.7292548772
115,13.0,30.75,1.5,29.6370139179
116,13.0,31.0,1.5,29.6557655922
117,13.0,31.25,1.5,29.6611303699
118,13.0,31.5,1.5,29.644117544
119,13.0,31.75,1.5,29.6065595137
120,13.0,32.0,1.5,29.5028380244
121,13.0,32.25,1.5,29.54917104
122,13.0,32.5,1.5,29.4173725852
123,13.0,32.75,1.5,35.0723462914
124,13.0,33.0,1.5,35.0256941438
125,13.0,33.25,1.5,34.9372885653
126,13.0,33.5,1.5,34.8863666897
127,13.0,33.75,1.5,34.6384140722
128,13.0,34.0,1.5,34.1652785864
129,13.0,34.25,1.5,34.2033004946
130,13.0,34.5,1.5,33.9981615588
131,13.0,34.75,1.5,33.9348870983
132,13.0,35.0,1.5,33.9141988696
133,13.0,35.25,1.5,33.9521051139
134,13.0,35.5,1.5,27.8915773798
135,13.25,24.5,1.5,28.0484023345
136,13.25,24.75,1.5,28.101458864
137,13.25,25.0,1.5,28.1131606603
138,13.25,25.25,1.5,28.2491767407
139,13.25,25.5,1.5,28.3293688477
140,13.25,25.75,1.5,28.4491822416
141,13.25,26.0,1.5,28.3874799081
142,13.25,26.25,1.5,28.9016368721
143,13.25,26.5,1.5,29.1658279171
144,13.25,26.75,1.5,29.1504850927
145,13.25,27.0,1.5,29.3613736515
146,13.25,27.25,1.5,29.42682176
147,13.25,27.5,1.5,29.7054411443
148,13.25,27.75,1.5,29.8377971293
149,13.25,28.0,1.5,29.8813476364
150,13.25,28.25,1.5,29.9677282215
151,13.25,28.5,1.5,29.983406127
152,13.25,28.75,1.5,30.0716632951
153,13.25,29.0,1.5,30.0788330855
154,13.25,29.25,1.5,30.0575576577
155,13.25,29.5,1.5,30.0386438493
156,13.25,29.75,1.5,30.0307867343
157,13.25,30.0,1.5,30.0599750638
158,13.25,30.25,1.5,29.9382914896
159,13.25,30.5,1.5,29.845750916
160,13.25,30.75,1.5,29.7944397968
161,13.25,31.0,1.5,29.7484991565
162,13.25,31.25,1.5,29.7328463339
163,13.25,31.5,1.5,29.5819656735
164,13.25,31.75,1.5,29.5481964883
165,13.25,32.0,1.5,29.4556313377
166,13.25,32.25,1.5,29.4338633328
167,13.25,32.5,1.5,29.3783197049
168,13.25,32.75,1.5,29.1913658737
169,13.25,33.0,1.5,29.1857859448
170,13.25,33.25,1.5,34.8182160614
171,13.25,33.5,1.5,34.8675789655
172,13.25,33.75,1.5,34.6222261337
173,13.25,34.0,1.5,34.1402181829
174,13.25,34.25,1.5,34.1255586471
175,13.25,34.5,1.5,34.0096315605
176,13.25,34.75,1.5,33.9584716502
177,13.25,35.0,1.5,33.9248940919
178,13.25,35.25,1.5,33.9301652215
179,13.25,35.5,1.5,28.0011564369
180,13.5,24.5,1.5,28.4608482849
181,13.5,24.75,1.5,28.3081850115
182,13.5,25.0,1.5,28.4924922385
183,13.5,25.25,1.5,28.4210970298
184,13.5,25.5,1.5,28.5502039723
185,13.5,25.75,1.5,28.6006055166
186,13.5,26.0,1.5,28.4913766241
187,13.5,26.25,1.5,28.8738213335
188,13.5,26.5,1.5,28.9465729307
189,13.5,26.75,1.5,29.260765836
190,13.5,27.0,1.5,29.1826789597
191,13.5,27.25,1.5,29.2790097541
192,13.5,27.5,1.5,29.5011442343
193,13.5,27.75,1.5,29.6933054818
194,13.5,28.0,1.5,29.7078943465
195,13.5,28.25,1.5,29.7580809511
196,13.5,28.5,1.5,29.8173916409
197,13.5,28.75,1.5,29.883290697
198,13.5,29.0,1.5,29.8575270063
199,13.5,29.25,1.5,29.8238544358
200,13.5,29.5,1.5,29.7921989119
201,13.5,29.75,1.5,29.7485528821
202,13.5,30.0,1.5,29.7453739865
203,13.5,30.25,1.5,29.6144705378
204,13.5,30.5,1.5,29.5569842943
205,13.5,30.75,1.5,29.4810350597
206,13.5,31.0,1.5,29.4458709723
207,13.5,31.25,1.5,29.3840388236
208,13.5,31.5,1.5,29.2275280676
209,13.5,31.75,1.5,29.1404634909
210,13.5,32.0,1.5,29.0935516393
211,13.5,32.25,1.5,29.075809878
212,13.5,32.5,1.5,28.9389764062
213,13.5,32.75,1.5,28.7723752244
214,13.5,33.0,1.5,28.7838737741
215,13.5,33.25,1.5,28.9772761862
216,13.5,33.5,1.5,34.6229357152
217,13.5,33.75,1.5,34.4786258893
218,13.5,34.0,1.5,34.0847084624
219,13.5,34.25,1.5,34.1485800053
220,13.5,34.5,1.5,34.0987891513
221,13.5,34.75,1.5,34.0454155937
222,13.5,35.0,1.5,34.1858163496
223,13.5,35.25,1.5,34.1289775257
224,13.5,35.5,1.5,28.3753287012
225,13.75,24.5,1.5,28.7687093097
226,13.75,24.75,1.5,28.6092725077
227,13.75,25.0,1.5,28.8257029255
228,13.75,25.25,1.5,28.6967482838
229,13.75,25.5,1.5,28.8611461505
230,13.75,25.75,1.5,28.8078632878
231,13.75,26.0,1.5,28.5537076459
232,13.75,26.25,1.5,28.8077380109
233,13.75,26.5,1.5,28.9601966737
234,13.75,26.75,1.5,29.2412169605
235,13.75,27.0,1.5,29.129103228
236,13.75,27.25,1.5,29.2158912157
237,13.75,27.5,1.5,29.3209723461
238,13.75,27.75,1.5,29.5310148944
239,13.75,28.0,1.5,29.4962551961
240,13.75,28.25,1.5,29.5852946826
241,13.75,28.5,1.5,29.5617475588
242,13.75,28.75,1.5,29.5679794029
243,13.75,29.0,1.5,29.5139749662
244,13.75,29.25,1.5,29.4291640287
245,13.75,29.5,1.5,29.3788812949
246,13.75,29.75,1.5,29.2893800321
247,13.75,30.0,1.5,29.1963666874
248,13.75,30.25,1.5,29.1307842979
249,13.75,30.5,1.5,29.0927669235
250,13.75,30.75,1.5,29.0246763856
251,13.75,31.0,1.5,28.9604528685
252,13.75,31.25,1.5,28.896356358
253,13.75,31.5,1.5,28.8054419131
254,13.75,31.75,1.5,28.7530659337
255,13.75,32.0,1.5,28.6075854028
256,13.75,32.25,1.5,28.6064497544
257,13.75,32.5,1.5,28.3848304558
258,13.75,32.75,1.5,28.3463702705
259,13.75,33.0,1.5,28.4086656478
260,13.75,33.25,1.5,28.7292945163
261,13.75,33.5,1.5,28.5958383036
262,13.75,33.75,1.5,34.387819597
263,13.75,34.0,1.5,34.0534267666
264,13.75,34.25,1.5,34.2607348221
265,13.75,34.5,1.5,34.313134581
266,13.75,34.75,1.5,34.2839039633
267,13.75,35.0,1.5,34.5650993616
268,13.75,35.25,1.5,34.5013098373
269,13.75,35.5,1.5,28.6508878601
270,14.0,24.5,1.5,29.3883378959
271,14.0,24.75,1.5,29.247141666
272,14.0,25.0,1.5,29.4001870224
273,14.0,25.25,1.5,29.4432274356
274,14.0,25.5,1.5,29.4592278954
275,14.0,25.75,1.5,29.2668344639
276,14.0,34.25,1.5,34.7410902417
277,14.0,34.5,1.5,34.9596728074
278,14.0,34.75,1.5,35.0717114569
279,14.0,35.0,1.5,35.2367234038
280,14.0,35.25,1.5,35.2179023543
281,14.0,35.5,1.5,29.3139878073
282,14.25,24.5,1.5,30.5344882615
283,14.25,24.75,1.5,30.399988865
284,14.25,25.0,1.5,30.6185837503
285,14.25,25.25,1.5,30.7435223176
