,x,y,z,v
0,16.5,32.5,1.5,38.2801643425
1,16.5,32.75,1.5,38.2737140432
2,16.5,33.0,1.5,38.309912519
3,16.5,33.25,1.5,38.2745306796
4,16.5,33.5,1.5,38.1994580845
5,16.5,33.75,1.5,38.1958501545
6,16.5,34.0,1.5,38.1547686505
7,16.5,34.25,1.5,38.1467953225
8,16.5,34.5,1.5,38.1541874262
9,16.5,34.75,1.5,38.1864554169
10,16.5,35.0,1.5,38.1801945776
11,16.5,35.25,1.5,38.1815509223
12,16.5,35.5,1.5,38.2535212239
13,16.5,35.75,1.5,38.254416116
14,16.5,36.0,1.5,38.224366303
15,16.5,36.25,1.5,38.2285759544
16,16.5,36.5,1.5,38.2356038456
17,16.5,36.75,1.5,38.344158937
18,16.5,37.0,1.5,38.4112322942
19,16.5,37.25,1.5,38.2833101803
20,16.5,37.5,1.5,38.2892003541
21,16.5,37.75,1.5,38.3233492074
22,16.5,38.0,1.5,38.2189540855
23,16.5,38.25,1.5,38.2202268761
24,16.5,38.5,1.5,38.1004711445
25,16.5,38.75,1.5,38.19147262
26,16.5,39.0,1.5,38.2864098208
27,16.5,39.25,1.5,38.290257982
28,16.5,39.5,1.5,38.1951297621
29,16.5,39.75,1.5,38.1150659405
30,16.5,40.0,1.5,38.1167008659
31,16.5,40.25,1.5,38.1171935301
32,16.5,40.5,1.5,38.190194699
33,16.5,40.75,1.5,38.2890845579
34,16.5,41.0,1.5,38.2933326135
35,16.5,41.25,1.5,38.1930902697
36,16.5,41.5,1.5,38.0990789318
37,16.5,41.75,1.5,38.2150436835
38,16.5,42.0,1.5,38.2156654007
39,16.5,42.25,1.5,38.3104182253
40,16.5,42.5,1.5,38.2857184594
41,16.5,42.75,1.5,38.2927576689
42,16.5,43.0,1.5,38.4070047058
43,16.5,43.25,1.5,38.3412683549
44,16.5,43.5,1.5,38.2309277026
45,16.5,43.75,1.5,38.2274310841
46,16.5,44.0,1.5,38.2261589442
47,16.5,44.25,1.5,38.2638313527
48,16.5,44.5,1.5,38.2632428428
49,16.5,44.75,1.5,38.1874739153
50,16.5,45.0,1.5,38.1939975742
51,16.5,45.25,1.5,38.1945871761
52,16.5,45.5,1.5,38.1616742622
53,16.5,45.75,1.5,38.1537422259
54,16.5,46.0,1.5,38.1541993255
55,16.5,46.25,1.5,38.1939076028
56,16.5,46.5,1.5,38.1902673762
57,16.5,46.75,1.5,38.2639647714
58,16.5,47.0,1.5,38.2958858267
59,16.5,47.25,1.5,38.2677473855
60,16.5,47.5,1.5,38.2765451473
61,16.75,32.5,1.5,38.2401169015
62,16.75,32.75,1.5,38.2378519766
63,16.75,33.0,1.5,38.2772516537
64,16.75,33.25,1.5,38.0884368904
65,16.75,33.5,1.5,38.0869473556
66,16.75,33.75,1.5,38.1602590831
67,16.75,34.0,1.5,38.1218692198
68,16.75,34.25,1.5,38.1112904605
69,16.75,34.5,1.5,38.1146906614
70,16.75,34.75,1.5,38.2244038768
71,16.75,35.0,1.5,38.2957168182
72,16.75,35.25,1.5,38.2203370502
73,16.75,35.5,1.5,38.2149162387
74,16.75,35.75,1.5,38.2214070156
75,16.75,36.0,1.5,38.1923851684
76,16.75,36.25,1.5,38.2023666101
77,16.75,36.5,1.5,38.2007416691
78,16.75,36.75,1.5,38.2708446025
79,16.75,37.0,1.5,38.297315201
80,16.75,37.25,1.5,38.2926474506
81,16.75,37.5,1.5,38.2893678806
82,16.75,37.75,1.5,38.2846239805
83,16.75,38.0,1.5,38.1869742975
84,16.75,38.25,1.5,38.1133198749
85,16.75,38.5,1.5,38.106589343
