,x,y,z,v
0,16.5,32.5,1.5,0.9
1,16.5,32.75,1.5,0.893333333333
2,16.5,33.0,1.5,0.893333333333
3,16.5,33.25,1.5,0.9
4,16.5,33.5,1.5,0.893333333333
5,16.5,33.75,1.5,0.886666666667
6,16.5,34.0,1.5,0.893333333333
7,16.5,34.25,1.5,0.886666666667
8,16.5,34.5,1.5,0.88
9,16.5,34.75,1.5,0.88
10,16.5,35.0,1.5,0.886666666667
11,16.5,35.25,1.5,0.88
12,16.5,35.5,1.5,0.88
13,16.5,35.75,1.5,0.886666666667
14,16.5,36.0,1.5,0.9
15,16.5,36.25,1.5,0.886666666667
16,16.5,36.5,1.5,0.886666666667
17,16.5,36.75,1.5,0.886666666667
18,16.5,37.0,1.5,0.886666666667
19,16.5,37.25,1.5,0.886666666667
20,16.5,37.5,1.5,0.893333333333
21,16.5,37.75,1.5,0.9
22,16.5,38.0,1.5,0.893333333333
23,16.5,38.25,1.5,0.906666666667
24,16.5,38.5,1.5,0.9
25,16.5,38.75,1.5,0.886666666667
26,16.5,39.0,1.5,0.88
27,16.5,39.25,1.5,0.88
28,16.5,39.5,1.5,0.88
29,16.5,39.75,1.5,0.886666666667
30,16.5,40.0,1.5,0.893333333333
31,16.5,40.25,1.5,0.886666666667
32,16.5,40.5,1.5,0.88
33,16.5,40.75,1.5,0.88
34,16.5,41.0,1.5,0.88
35,16.5,41.25,1.5,0.886666666667
36,16.5,41.5,1.5,0.9
37,16.5,41.75,1.5,0.906666666667
38,16.5,42.0,1.5,0.893333333333
39,16.5,42.25,1.5,0.9
40,16.5,42.5,1.5,0.893333333333
41,16.5,42.75,1.5,0.886666666667
42,16.5,43.0,1.5,0.886666666667
43,16.5,43.25,1.5,0.886666666667
44,16.5,43.5,1.5,0.886666666667
45,16.5,43.75,1.5,0.886666666667
46,16.5,44.0,1.5,0.9
47,16.5,44.25,1.5,0.886666666667
48,16.5,44.5,1.5,0.88
49,16.5,44.75,1.5,0.88
50,16.5,45.0,1.5,0.886666666667
51,16.5,45.25,1.5,0.88
52,16.5,45.5,1.5,0.88
53,16.5,45.75,1.5,0.886666666667
54,16.5,46.0,1.5,0.893333333333
55,16.5,46.25,1.5,0.886666666667
56,16.5,46.5,1.5,0.893333333333
57,16.5,46.75,1.5,0.9
58,16.5,47.0,1.5,0.893333333333
59,16.5,47.25,1.5,0.893333333333
60,16.5,47.5,1.5,0.9
61,16.75,32.5,1.5,0.9
62,16.75,32.75,1.5,0.893333333333
63,16.75,33.0,1.5,0.893333333333
64,16.75,33.25,1.5,0.9
65,16.75,33.5,1.5,0.893333333333
66,16.75,33.75,1.5,0.886666666667
67,16.75,34.0,1.5,0.893333333333
68,16.75,34.25,1.5,0.886666666667
69,16.75,34.5,1.5,0.88
70,16.75,34.75,1.5,0.88
71,16.75,35.0,1.5,0.886666666667
72,16.75,35.25,1.5,0.88
73,16.75,35.5,1.5,0.88
74,16.75,35.75,1.5,0.886666666667
75,16.75,36.0,1.5,0.893333333333
76,16.75,36.25,1.5,0.893333333333
77,16.75,36.5,1.5,0.893333333333
78,16.75,36.75,1.5,0.886666666667
79,16.75,37.0,1.5,0.893333333333
80,16.75,37.25,1.5,0.886666666667
81,16.75,37.5,1.5,0.886666666667
82,16.75,37.75,1.5,0.9
83,16.75,38.0,1.5,0.893333333333
84,16.75,38.25,1.5,0.893333333333
85,16.75,38.5,1.5,0.893333333333
86,16.75,38.75,1.5,0.886666666667
87,16.75,39.0,1.5,0.873333333333
88,16.75,39.25,1.5,0.866666666667
89,16.75,39.5,1.5,0.873333333333
90,16.75,39.75,1.5,0.893333333333
91,16.75,40.0,1.5,0.893333333333
92,16.75,40.25,1.5,0.893333333333
93,16.75,40.5,1.5,0.873333333333
94,16.75,40.75,1.5,0.866666666667
95,16.75,41.0,1.5,0.873333333333
96,16.75,41.25,1.5,0.886666666667
97,16.75,41.5,1.5,0.893333333333
98,16.75,41.75,1.5,0.893333333333
99,16.75,42.0,1.5,0.893333333333
100,16.75,42.25,1.5,0.9
101,16.75,42.5,1.5,0.886666666667
102,16.75,42.75,1.5,0.886666666667
103,16.75,43.0,1.5,0.893333333333
104,16.75,43.25,1.5,0.886666666667
105,16.75,43.5,1.5,0.893333333333
106,16.75,43.75,1.5,0.893333333333
107,16.75,44.0,1.5,0.893333333333
108,16.75,44.25,1.5,0.886666666667
109,16.75,44.5,1.5,0.88
110,16.75,44.75,1.5,0.88
111,16.75,45.0,1.5,0.886666666667
112,16.75,45.25,1.5,0.88
113,16.75,45.5,1.5,0.88
114,16.75,45.75,1.5,0.886666666667
115,16.75,46.0,1.5,0.893333333333
116,16.75,46.25,1.5,0.886666666667
117,16.75,46.5,1.5,0.893333333333
118,16.75,46.75,1.5,0.9
119,16.75,47.0,1.5,0.893333333333
120,16.75,47.25,1.5,0.893333333333
121,16.75,47.5,1.5,0.9
122,17.0,32.5,1.5,0.873333333333
123,17.0,32.75,1.5,0.88
124,17.0,33.0,1.5,0.893333333333
125,17.0,33.25,1.5,0.893333333333
126,17.0,33.5,1.5,0.886666666667
127,17.0,33.75,1.5,0.886666666667
128,17.0,34.0,1.5,0.886666666667
129,17.0,34.25,1.5,0.88
130,17.0,34.5,1.5,0.873333333333
131,17.0,34.75,1.5,0.873333333333
132,17.0,35.0,1.5,0.88
133,17.0,35.25,1.5,0.873333333333
134,17.0,35.5,1.5,0.886666666667
135,17.0,35.75,1.5,0.886666666667
136,17.0,36.0,1.5,0.886666666667
137,17.0,36.25,1.5,0.886666666667
138,17.0,36.5,1.5,0.893333333333
139,17.0,36.75,1.5,0.9
140,17.0,37.0,1.5,0.9
141,17.0,37.25,1.5,0.886666666667
142,17.0,37.5,1.5,0.893333333333
143,17.0,37.75,1.5,0.893333333333
144,17.0,38.0,1.5,0.886666666667
145,17.0,38.25,1.5,0.893333333333
146,17.0,38.5,1.5,0.893333333333
147,17.0,38.75,1.5,0.893333333333
148,17.0,39.0,1.5,0.88
149,17.0,39.25,1.5,0.866666666667
150,17.0,39.5,1.5,0.88
151,17.0,39.75,1.5,0.886666666667
152,17.0,40.0,1.5,0.893333333333
153,17.0,40.25,1.5,0.886666666667
154,17.0,40.5,1.5,0.88
155,17.0,40.75,1.5,0.866666666667
156,17.0,41.0,1.5,0.88
157,17.0,41.25,1.5,0.893333333333
158,17.0,41.5,1.5,0.893333333333
159,17.0,41.75,1.5,0.893333333333
160,17.0,42.0,1.5,0.886666666667
161,17.0,42.25,1.5,0.893333333333
162,17.0,42.5,1.5,0.893333333333
163,17.0,42.75,1.5,0.886666666667
164,17.0,43.0,1.5,0.9
165,17.0,43.25,1.5,0.9
166,17.0,43.5,1.5,0.893333333333
167,17.0,43.75,1.5,0.886666666667
168,17.0,44.0,1.5,0.886666666667
169,17.0,44.25,1.5,0.886666666667
170,17.0,44.5,1.5,0.886666666667
171,17.0,44.75,1.5,0.873333333333
172,17.0,45.0,1.5,0.88
173,17.0,45.25,1.5,0.873333333333
174,17.0,45.5,1.5,0.873333333333
175,17.0,45.75,1.5,0.88
176,17.0,46.0,1.5,0.886666666667
177,17.0,46.25,1.5,0.886666666667
178,17.0,46.5,1.5,0.886666666667
179,17.0,46.75,1.5,0.893333333333
180,17.0,47.0,1.5,0.893333333333
181,17.0,47.25,1.5,0.88
182,17.0,47.5,1.5,0.873333333333
183,17.25,32.5,1.5,0.886666666667
184,17.25,32.75,1.5,0.873333333333
185,17.25,33.0,1.5,0.886666666667
186,17.25,33.25,1.5,0.893333333333
187,17.25,33.5,1.5,0.893333333333
188,17.25,33.75,1.5,0.893333333333
189,17.25,34.0,1.5,0.893333333333
190,17.25,34.25,1.5,0.88
191,17.25,34.5,1.5,0.88
192,17.25,34.75,1.5,0.88
193,17.25,35.0,1.5,0.886666666667
194,17.25,35.25,1.5,0.886666666667
195,17.25,35.5,1.5,0.886666666667
196,17.25,35.75,1.5,0.893333333333
197,17.25,36.0,1.5,0.893333333333
198,17.25,36.25,1.5,0.886666666667
199,17.25,36.5,1.5,0.9
200,17.25,36.75,1.5,0.906666666667
201,17.25,37.0,1.5,0.906666666667
202,17.25,37.25,1.5,0.9
203,17.25,37.5,1.5,0.88
204,17.25,37.75,1.5,0.886666666667
205,17.25,38.0,1.5,0.873333333333
206,17.25,38.25,1.5,0.88
207,17.25,38.5,1.5,0.886666666667
208,17.25,38.75,1.5,0.88
209,17.25,39.0,1.5,0.866666666667
210,17.25,39.25,1.5,0.846666666667
211,17.25,39.5,1.5,0.853333333333
212,17.25,39.75,1.5,0.866666666667
213,17.25,40.0,1.5,0.88
214,17.25,40.25,1.5,0.866666666667
215,17.25,40.5,1.5,0.853333333333
216,17.25,40.75,1.5,0.846666666667
217,17.25,41.0,1.5,0.866666666667
218,17.25,41.25,1.5,0.88
219,17.25,41.5,1.5,0.886666666667
220,17.25,41.75,1.5,0.88
221,17.25,42.0,1.5,0.873333333333
222,17.25,42.25,1.5,0.886666666667
223,17.25,42.5,1.5,0.88
224,17.25,42.75,1.5,0.9
225,17.25,43.0,1.5,0.906666666667
226,17.25,43.25,1.5,0.906666666667
227,17.25,43.5,1.5,0.9
228,17.25,43.75,1.5,0.886666666667
229,17.25,44.0,1.5,0.893333333333
230,17.25,44.25,1.5,0.893333333333
231,17.25,44.5,1.5,0.886666666667
232,17.25,44.75,1.5,0.886666666667
233,17.25,45.0,1.5,0.886666666667
234,17.25,45.25,1.5,0.88
235,17.25,45.5,1.5,0.88
236,17.25,45.75,1.5,0.88
237,17.25,46.0,1.5,0.893333333333
238,17.25,46.25,1.5,0.893333333333
239,17.25,46.5,1.5,0.893333333333
240,17.25,46.75,1.5,0.893333333333
241,17.25,47.0,1.5,0.886666666667
242,17.25,47.25,1.5,0.873333333333
243,17.25,47.5,1.5,0.886666666667
244,17.5,32.5,1.5,0.886666666667
245,17.5,32.75,1.5,0.88
246,17.5,33.0,1.5,0.893333333333
247,17.5,33.25,1.5,0.886666666667
248,17.5,33.5,1.5,0.886666666667
249,17.5,33.75,1.5,0.893333333333
250,17.5,34.0,1.5,0.9
251,17.5,34.25,1.5,0.88
252,17.5,34.5,1.5,0.88
253,17.5,34.75,1.5,0.88
254,17.5,35.0,1.5,0.893333333333
255,17.5,35.25,1.5,0.886666666667
256,17.5,35.5,1.5,0.886666666667
257,17.5,35.75,1.5,0.886666666667
258,17.5,36.0,1.5,0.893333333333
259,17.5,36.25,1.5,0.893333333333
260,17.5,36.5,1.5,0.886666666667
261,17.5,36.75,1.5,0.886666666667
262,17.5,37.0,1.5,0.9
263,17.5,37.25,1.5,0.886666666667
264,17.5,37.5,1.5,0.886666666667
265,17.5,37.75,1.5,0.886666666667
266,17.5,38.0,1.5,0.866666666667
267,17.5,38.25,1.5,0.866666666667
268,17.5,38.5,1.5,0.866666666667
269,17.5,38.75,1.5,0.866666666667
270,17.5,39.0,1.5,0.846666666667
271,17.5,39.25,1.5,0.846666666667
272,17.5,39.5,1.5,0.86
273,17.5,39.75,1.5,0.86
274,17.5,40.0,1.5,0.866666666667
275,17.5,40.25,1.5,0.86
276,17.5,40.5,1.5,0.86
277,17.5,40.75,1.5,0.846666666667
278,17.5,41.0,1.5,0.846666666667
279,17.5,41.25,1.5,0.866666666667
280,17.5,41.5,1.5,0.866666666667
281,17.5,41.75,1.5,0.866666666667
282,17.5,42.0,1.5,0.866666666667
283,17.5,42.25,1.5,0.886666666667
284,17.5,42.5,1.5,0.886666666667
285,17.5,42.75,1.5,0.886666666667
286,17.5,43.0,1.5,0.9
287,17.5,43.25,1.5,0.886666666667
288,17.5,43.5,1.5,0.886666666667
289,17.5,43.75,1.5,0.893333333333
290,17.5,44.0,1.5,0.893333333333
291,17.5,44.25,1.5,0.886666666667
292,17.5,44.5,1.5,0.886666666667
293,17.5,44.75,1.5,0.886666666667
294,17.5,45.0,1.5,0.893333333333
295,17.5,45.25,1.5,0.88
296,17.5,45.5,1.5,0.88
297,17.5,45.75,1.5,0.88
298,17.5,46.0,1.5,0.9
299,17.5,46.25,1.5,0.893333333333
300,17.5,46.5,1.5,0.886666666667
301,17.5,46.75,1.5,0.886666666667
302,17.5,47.0,1.5,0.893333333333
303,17.5,47.25,1.5,0.88
304,17.5,47.5,1.5,0.886666666667
305,17.75,32.5,1.5,0.886666666667
306,17.75,32.75,1.5,0.88
307,17.75,33.0,1.5,0.886666666667
308,17.75,33.25,1.5,0.893333333333
309,17.75,33.5,1.5,0.886666666667
310,17.75,33.75,1.5,0.886666666667
311,17.75,34.0,1.5,0.9
312,17.75,34.25,1.5,0.88
313,17.75,34.5,1.5,0.88
314,17.75,34.75,1.5,0.886666666667
315,17.75,35.0,1.5,0.893333333333
316,17.75,35.25,1.5,0.886666666667
317,17.75,35.5,1.5,0.886666666667
318,17.75,35.75,1.5,0.893333333333
319,17.75,36.0,1.5,0.893333333333
320,17.75,36.25,1.5,0.886666666667
321,17.75,36.5,1.5,0.886666666667
322,17.75,36.75,1.5,0.873333333333
323,17.75,37.0,1.5,0.886666666667
324,17.75,37.25,1.5,0.886666666667
325,17.75,37.5,1.5,0.873333333333
326,17.75,37.75,1.5,0.873333333333
327,17.75,38.0,1.5,0.86
