,x,y,z,v
0,16.5,32.5,1.5,48.6651050959
1,16.5,32.75,1.5,48.1126291106
2,16.5,33.0,1.5,48.3084436641
3,16.5,33.25,1.5,48.3361480078
4,16.5,33.5,1.5,48.1656749252
5,16.5,33.75,1.5,48.3702680479
6,16.5,34.0,1.5,48.5193204279
7,16.5,34.25,1.5,48.3774393304
8,16.5,34.5,1.5,48.5550531541
9,16.5,34.75,1.5,48.7548682797
10,16.5,35.0,1.5,48.6679615683
11,16.5,35.25,1.5,48.4406311088
12,16.5,35.5,1.5,48.6651050959
13,16.5,35.75,1.5,48.6045469147
14,16.5,36.0,1.5,48.4485506536
15,16.5,36.25,1.5,48.040528219
16,16.5,36.5,1.5,48.4468144902
17,16.5,36.75,1.5,48.4014161534
18,16.5,37.0,1.5,48.4052931549
19,16.5,37.25,1.5,48.3150528761
20,16.5,37.5,1.5,48.3228027573
21,16.5,37.75,1.5,48.1608662715
22,16.5,38.0,1.5,47.979991995
23,16.5,38.25,1.5,48.1764049554
24,16.5,38.5,1.5,47.8199319805
25,16.5,38.75,1.5,47.9957650092
26,16.5,39.0,1.5,48.293513329
27,16.5,39.25,1.5,48.4980227568
28,16.5,39.5,1.5,48.4712287297
29,16.5,39.75,1.5,48.4975228546
30,16.5,40.0,1.5,48.32000999
31,16.5,40.25,1.5,48.1749028477
32,16.5,40.5,1.5,48.3311017237
33,16.5,40.75,1.5,48.5356464644
34,16.5,41.0,1.5,48.5202314422
35,16.5,41.25,1.5,48.5337744528
36,16.5,41.5,1.5,48.3604077131
37,16.5,41.75,1.5,48.0434248538
38,16.5,42.0,1.5,47.863451793
39,16.5,42.25,1.5,48.2087148361
40,16.5,42.5,1.5,48.0096341477
41,16.5,42.75,1.5,48.193852091
42,16.5,43.0,1.5,48.3823019041
43,16.5,43.25,1.5,48.3647236831
44,16.5,43.5,1.5,48.4339724112
45,16.5,43.75,1.5,48.4473789149
46,16.5,44.0,1.5,48.4856150423
47,16.5,44.25,1.5,48.1172376896
48,16.5,44.5,1.5,48.5040439361
49,16.5,44.75,1.5,48.6532359518
50,16.5,45.0,1.5,48.7349194379
51,16.5,45.25,1.5,48.5171749129
52,16.5,45.5,1.5,48.7457426652
53,16.5,45.75,1.5,48.8275540844
54,16.5,46.0,1.5,48.6185132822
55,16.5,46.25,1.5,48.4326296402
56,16.5,46.5,1.5,48.5900050604
57,16.5,46.75,1.5,48.4549379686
58,16.5,47.0,1.5,48.2395247108
59,16.5,47.25,1.5,48.3715363518
60,16.5,47.5,1.5,48.3515079953
61,16.75,32.5,1.5,48.1510294518
62,16.75,32.75,1.5,48.109855787
63,16.75,33.0,1.5,48.2931759872
64,16.75,33.25,1.5,48.3607050083
65,16.75,33.5,1.5,48.1834624836
66,16.75,33.75,1.5,48.3512965016
67,16.75,34.0,1.5,48.4951322706
68,16.75,34.25,1.5,48.3700853127
69,16.75,34.5,1.5,48.5758318853
70,16.75,34.75,1.5,48.7280074315
71,16.75,35.0,1.5,48.7044069151
72,16.75,35.25,1.5,48.3856965864
73,16.75,35.5,1.5,48.5976736577
74,16.75,35.75,1.5,48.5837658989
75,16.75,36.0,1.5,48.4036825339
76,16.75,36.25,1.5,48.1937339668
77,16.75,36.5,1.5,48.2629142688
78,16.75,36.75,1.5,48.2507495323
79,16.75,37.0,1.5,48.4029249029
80,16.75,37.25,1.5,48.1534185243
81,16.75,37.5,1.5,48.3366849876
82,16.75,37.75,1.5,48.364363214
83,16.75,38.0,1.5,48.0072274852
84,16.75,38.25,1.5,48.190730148
85,16.75,38.5,1.5,48.1927402521
86,16.75,38.75,1.5,48.2003248166
87,16.75,39.0,1.5,48.3136601497
88,16.75,39.25,1.5,48.6911096643
89,16.75,39.5,1.5,48.8383106841
90,16.75,39.75,1.5,48.6642049166
91,16.75,40.0,1.5,48.2070407167
92,16.75,40.25,1.5,48.2068291258
93,16.75,40.5,1.5,48.2356470593
94,16.75,40.75,1.5,48.6754514333
95,16.75,41.0,1.5,48.8726086277
96,16.75,41.25,1.5,48.7127311661
97,16.75,41.5,1.5,48.3558810761
98,16.75,41.75,1.5,48.2277441176
99,16.75,42.0,1.5,48.2426003074
100,16.75,42.25,1.5,48.2363101703
