,x,y,z,v
0,8.5,16.5,1.5,362.128777767
1,8.5,16.75,1.5,361.999544195
2,8.5,17.0,1.5,359.651355873
3,8.5,17.25,1.5,364.574943146
4,8.5,17.5,1.5,371.756443523
5,8.5,17.75,1.5,367.778498347
6,8.5,18.0,1.5,373.540599197
7,8.5,18.25,1.5,375.119494919
8,8.5,18.5,1.5,384.632445455
9,8.5,18.75,1.5,388.327766306
10,8.5,19.0,1.5,397.668977223
11,8.5,19.25,1.5,400.403398215
12,8.5,19.5,1.5,400.875210631
13,8.5,19.75,1.5,408.841234098
14,8.5,20.0,1.5,412.808659615
15,8.5,20.25,1.5,409.516117443
16,8.5,20.5,1.5,402.506182292
17,8.5,20.75,1.5,403.253953683
18,8.5,21.0,1.5,401.135740086
19,8.5,21.25,1.5,392.50271205
20,8.5,21.5,1.5,388.358080668
21,8.5,21.75,1.5,379.49110702
22,8.5,22.0,1.5,377.782783087
23,8.5,22.25,1.5,371.739682327
24,8.5,22.5,1.5,375.025907954
25,8.5,22.75,1.5,367.703592715
26,8.5,23.0,1.5,362.753639656
27,8.5,23.25,1.5,364.223204006
28,8.5,23.5,1.5,363.498234987
29,8.75,16.5,1.5,365.149642486
30,8.75,16.75,1.5,361.651927521
31,8.75,17.0,1.5,361.178201929
32,8.75,17.25,1.5,364.085778818
33,8.75,17.5,1.5,371.243151179
34,8.75,17.75,1.5,372.735525372
35,8.75,18.0,1.5,379.872742557
36,8.75,18.25,1.5,380.331489328
37,8.75,18.5,1.5,392.959462322
38,8.75,18.75,1.5,397.318276091
39,8.75,19.0,1.5,405.026153062
40,8.75,19.25,1.5,411.127936077
41,8.75,19.5,1.5,413.529808262
42,8.75,19.75,1.5,414.467729793
43,8.75,20.0,1.5,420.023179539
44,8.75,20.25,1.5,415.304057467
45,8.75,20.5,1.5,416.110750887
46,8.75,20.75,1.5,414.129077345
47,8.75,21.0,1.5,409.267895836
48,8.75,21.25,1.5,401.883035595
49,8.75,21.5,1.5,398.140265612
50,8.75,21.75,1.5,384.932114408
51,8.75,22.0,1.5,384.669671525
52,8.75,22.25,1.5,376.667060739
53,8.75,22.5,1.5,374.658879674
54,8.75,22.75,1.5,367.271686367
