,x,y,z,v
0,12.5,24.5,1.5,32.1838915977
1,12.5,24.75,1.5,26.2021273201
2,12.5,25.0,1.5,26.2231586255
3,12.5,25.25,1.5,26.3672862822
4,12.5,25.5,1.5,26.4506058673
5,12.5,25.75,1.5,26.3039257965
6,12.5,26.0,1.5,26.1949608681
7,12.5,26.25,1.5,26.3471810341
8,12.5,26.5,1.5,26.2069365078
9,12.5,26.75,1.5,26.4038129806
10,12.5,27.0,1.5,26.4468063477
11,12.5,27.25,1.5,26.4748639689
12,12.5,27.5,1.5,26.5663829863
13,12.5,27.75,1.5,26.7108595724
14,12.5,28.0,1.5,26.7364849039
15,12.5,28.25,1.5,26.8374169248
16,12.5,28.5,1.5,26.901681496
17,12.5,28.75,1.5,26.9849364839
18,12.5,29.0,1.5,26.9994669774
19,12.5,29.25,1.5,26.9997246156
20,12.5,29.5,1.5,27.0763474051
21,12.5,29.75,1.5,27.0473485593
22,12.5,30.0,1.5,27.0662238651
23,12.5,30.25,1.5,26.9984675732
24,12.5,30.5,1.5,27.0434135935
25,12.5,30.75,1.5,26.9939457849
26,12.5,31.0,1.5,26.9764835335
27,12.5,31.25,1.5,26.8777985009
28,12.5,31.5,1.5,26.8582917482
29,12.5,31.75,1.5,26.8756579691
30,12.5,32.0,1.5,26.8089611731
31,12.5,32.25,1.5,26.779191486
32,12.5,32.5,1.5,32.8122949365
33,12.5,32.75,1.5,32.8606494742
34,12.5,33.0,1.5,32.7872285021
35,12.5,33.25,1.5,32.7546392731
36,12.5,33.5,1.5,32.7557667825
37,12.5,33.75,1.5,32.7314966449
38,12.5,34.0,1.5,32.531150774
39,12.5,34.25,1.5,32.6042164423
40,12.5,34.5,1.5,32.4415271875
41,12.5,34.75,1.5,32.4815153112
42,12.5,35.0,1.5,32.5819994886
43,12.5,35.25,1.5,32.4614273427
44,12.5,35.5,1.5,32.3460647707
45,12.75,24.5,1.5,26.1974619839
46,12.75,24.75,1.5,26.153138742
47,12.75,25.0,1.5,26.2225318469
48,12.75,25.25,1.5,26.3153784119
49,12.75,25.5,1.5,26.4810562116
50,12.75,25.75,1.5,26.3364191519
51,12.75,26.0,1.5,26.2398517307
52,12.75,26.25,1.5,26.422895638
53,12.75,26.5,1.5,26.2591678708
54,12.75,26.75,1.5,26.5254848148
55,12.75,27.0,1.5,26.5362336998
56,12.75,27.25,1.5,26.661267034
57,12.75,27.5,1.5,26.7861403897
58,12.75,27.75,1.5,26.8308376941
59,12.75,28.0,1.5,26.9005900834
60,12.75,28.25,1.5,26.9412218713
61,12.75,28.5,1.5,27.0700437597
62,12.75,28.75,1.5,27.1264278373
63,12.75,29.0,1.5,27.1210549222
64,12.75,29.25,1.5,27.1999342743
65,12.75,29.5,1.5,27.1360830577
66,12.75,29.75,1.5,27.1401472112
67,12.75,30.0,1.5,27.109615517
