,x,y,z,v
0,12.5,24.5,1.5,36.4226258114
1,12.5,24.75,1.5,36.575438807
2,12.5,25.0,1.5,37.1844400278
3,12.5,25.25,1.5,37.4876009617
4,12.5,25.5,1.5,37.1844400278
5,12.5,25.75,1.5,36.8803880214
6,12.5,26.0,1.5,37.5248206149
7,12.5,26.25,1.5,37.373405637
8,12.5,26.5,1.5,38.4286942998
9,12.5,26.75,1.5,38.7650221054
10,12.5,27.0,1.5,39.0269345681
11,12.5,27.25,1.5,39.3613366424
12,12.5,27.5,1.5,39.65821829
13,12.5,27.75,1.5,39.65821829
14,12.5,28.0,1.5,39.8063426776
15,12.5,28.25,1.5,39.9542570384
16,12.5,28.5,1.5,40.1019620661
17,12.5,28.75,1.5,40.1019620661
18,12.5,29.0,1.5,40.1019620661
19,12.5,29.25,1.5,40.2494584505
20,12.5,29.5,1.5,40.2494584505
21,12.5,29.75,1.5,40.3967468781
22,12.5,30.0,1.5,40.2494584505
23,12.5,30.25,1.5,40.3967468781
24,12.5,30.5,1.5,40.2494584505
25,12.5,30.75,1.5,40.2494584505
26,12.5,31.0,1.5,40.1019620661
27,12.5,31.25,1.5,40.1019620661
28,12.5,31.5,1.5,40.1019620661
29,12.5,31.75,1.5,39.9542570384
30,12.5,32.0,1.5,39.8063426776
31,12.5,32.25,1.5,60.2352069595
32,12.5,32.5,1.5,60.2352069595
33,12.5,32.75,1.5,59.9900526212
34,12.5,33.0,1.5,59.7141039867
35,12.5,33.25,1.5,59.4981138832
36,12.5,33.5,1.5,59.2209371276
37,12.5,33.75,1.5,58.3525752333
38,12.5,34.0,1.5,58.4770450893
39,12.5,34.25,1.5,57.9475834173
40,12.5,34.5,1.5,58.1972958561
41,12.5,34.75,1.5,58.4464449973
42,12.5,35.0,1.5,58.1972958561
43,12.5,35.25,1.5,57.6973047005
44,12.5,35.5,1.5,36.4226258114
45,12.75,24.5,1.5,36.2695861829
46,12.75,24.75,1.5,36.575438807
47,12.75,25.0,1.5,37.0325257906
48,12.75,25.25,1.5,37.6388491757
49,12.75,25.5,1.5,37.3361314979
50,12.75,25.75,1.5,37.0325257906
51,12.75,26.0,1.5,37.8269881294
52,12.75,26.25,1.5,37.5248206149
53,12.75,26.5,1.5,38.8776968846
54,12.75,26.75,1.5,38.9144214223
55,12.75,27.0,1.5,39.4733681165
56,12.75,27.25,1.5,39.9178972641
57,12.75,27.5,1.5,39.9542570384
58,12.75,27.75,1.5,39.9542570384
59,12.75,28.0,1.5,39.9542570384
60,12.75,28.25,1.5,40.2494584505
61,12.75,28.5,1.5,40.2494584505
62,12.75,28.75,1.5,40.2494584505
63,12.75,29.0,1.5,40.3967468781
64,12.75,29.25,1.5,40.2494584505
65,12.75,29.5,1.5,40.2494584505
66,12.75,29.75,1.5,40.2494584505
67,12.75,30.0,1.5,40.2494584505
68,12.75,30.25,1.5,40.2494584505
69,12.75,30.5,1.5,40.2494584505
70,12.75,30.75,1.5,40.2494584505
71,12.75,31.0,1.5,40.3967468781
